x	MP_E611_1B_WCOA21	MP_E614_WCOA21	MP_E619_WCOA21	MP_E624_WCOA21	MP_E645_WCOA21	MP_E668_WCOA21	MP_E671_WCOA21	MP_E678_WCOA21	MP_E697_WCOA21	MP_E731_WCOA21	MP_E754_WCOA21	MP_E777_WCOA21	MP_E782_WCOA21	MP_E786_WCOA21	MP_E790_WCOA21	MP_E806_1B_WCOA21	MP_E815_WCOA21	MP_E820_WCOA21	MP_E828_WCOA21	MP_E834_WCOA21	MP_E882_1B_WCOA21	MP_E888_WCOA21	MP_E893_WCOA21	MP_E897_WCOA21	MP_E902_1B_WCOA21	MP_E969_1T_NA128	MP_E970_1T_NA128	MP_E971_1T_NA128	MP_E972_1T_NA128	MP_E973_1T_NA128	MP_E977_2T_NA128	MP_E978_2T_NA128	MP_E979_1T_NA128	MP_E980_1T_NA128	MP_E985_1T_NA128	MP_E991_1T_NA128	MP_E994_2T_NA128	MP_E995_1T_NA128	MP_E996_1T_NA128	MP_E1005_1T_NA128	MP_E1011_2T_NA128	MP_E1012_1T_NA128	MP_E1013_1T_NA128	MP_E1014_1T_NA128	MP_E1015_1T_NA128	MP_E1020_1T_NA128	MP_E1021_1T_NA128	MP_E1022_1T_NA128	MP_E1024_1T_NA128	MP_E1025_1T_NA128	MP_E1623_1B_Chaba22	MP_E1624_1B_Chaba22	MP_E1625_1B_Chaba22	MP_E1626_1B_Chaba22	MP_E1627_1B_Chaba22	MP_E1631_Chaba22	MP_E1632_Chaba22	MP_E1634_Chaba22	MP_E1635_Chaba22	MP_E1637_Chaba22	MP_E2084_SKQ23_12S	MP_E2090_SKQ23_12S	MP_E2097_SKQ23_12S	MP_E2138_1T_QiavacTest	MP_E2138_2T_QiavacTest	MP_E2139_1T_QiavacTest	MP_E2139_2T_QiavacTest	MP_E2139_3T_QiavacTest	MP_E2139_4T_QiavacTest	MP_E2140_Kotzebue23	MP_E2141_Kotzebue23
ASV_11	0	0	0	0	0	0	0.11687107910963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00121932632220698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56.4179421585601	0	0.0373054223079387	0	0.813077193791488	0	0	0	0	0	0	0	0	0	0.00101560476724878	0
ASV_12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.270226667742196	0	0	0.0259121900659141	0	0	0	0	0	0	0	0	0	0	0	0.0347103188207062	0	0	0	0	0	0.510288065843621	11.2494501501329	46.1054855227205	0.186873972193153	0	0	0	0	0	0	0	0	0	0	0.0972234628042957	0.00467349776256295	0	21.1904111603673	0	0	6.30083657243277	0	0.109049229926821	0	0	0	0	0	0	0	0	0	0	0	0
ASV_13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000464039276284345	0	0	0	0	0	47.313045529606	0.123900099808414	0.261535396670532	69.5244538149944	0.0859853352483181	0	0
ASV_14	0	0.203100265822407	0.00643200566016498	0.118321979204016	0	0	0.0429870635805537	0.0984786060252829	0	0	0.305592833928889	0.0495000495000495	0	29.9140803086095	0	15.8506090183109	5.88968460189704	14.2197258046635	2.1280386091632	0	8.5123016107145	0	0	0	0	0.640131576564011	0	0.149263588930718	10.5427436905807	0.163906914298501	0.0569934864586904	0	0.188437476445315	0.276243093922652	13.8140437732623	0	0.0118884316415181	1.15755350278272	1.41259672567794	2.87785917177456	0.600666839290452	0.538468718642802	0.328186118904749	1.59546647382807	3.02181677930005	0.180437224746245	1.83937848171425	2.91509603302818	0	0	0.0515318707443263	0.446903223545082	2.23598081742365	0	11.9829410281429	0	4.32564695544992	0	2.01068218414007	14.4060289067146	0	0	19.0959067992138	1.00311520198405	2.02878037272942	1.2986566016956	1.292352643704	0.622966332425792	0.273546753344924	0	0.119905981005622
ASV_15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82.146807397817	53.3219168673706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_16	0	1.48044164351921	1.65463345607744	14.5374686267479	6.89575645756458	1.03524299453622	13.7021265163015	3.53317121209076	0	0	1.50047698352386	5.27340527340527	0	0	0	6.98354440590465	4.98341677757357	6.57157286624047	6.28775487068198	0	4.37193934745413	29.0461985620315	0.962994367391436	45.4488778054863	13.5450243467526	0.790111470563729	5.55502254629185	6.88329700812364	4.87667519376885	1.36943387782502	2.14346931779225	0.534726781689331	0.927112384110952	0.834128169597063	1.56002350720353	0.323531652766137	0.00274348422496571	0.145829747355939	0.037197768133912	0.353521585043047	0.163992596357638	2.40998296501995	1.41207069569313	0.703587980334102	0.418392500796539	0.78537414627842	1.62143373822206	0.769460898701609	0.555607953424963	0.780226925154992	0	8.41404853427427	0	1.44630964136395	11.8480918290156	0.0203849013916284	0.843894729776731	0	0.563807720685479	0	0	0	0	0	0	0	0	0	0	0	0
ASV_17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53.8799398889988	0	0.2111573607757	0	0	0	0.00100815598189352	0	0	0	0	0	0	0
ASV_18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.140513286771087	0	0.197094494460183	0.0707714083510262	0.291968290752234	0.285543528786772	0.0801016003718706	64.9623932270013	0	0
ASV_19	0	0	0	0	0	0	0	0	0	0	0.0145520397108995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0141285407391038	0.00359781252998177	0	0.00477263182009087	0	0.0111415838189921	0.00304591204759745	0	0	0	0	0	0.0525943351119781	0	0	0.00191804206266243	0.0845915105126829	0	0	0	0.0223682510016006	0	0	0	0	0.216433857126171	0.0198623654908925	32.7853941429786	0	0	0.130348524391539	0.00427133991933269	0.291052681591182	0	0.821572030144534	0	0	0	0	0	0	0	0	0	0	0
ASV_20	0	0	0	20.5826461097167	0	0	0	0	0	0	0	5.51265551265551	0	0	0	14.2998306041784	0	0	0	0	0	0	0	0	0	1.48929310201169	9.19241101410343	0	2.71467297926769	0	0	0.208475757924448	0	0	0	0	0	0	0	0	0.248386447114785	0	5.29244915931107	1.14338731904327	2.16029715090638	9.29077732157592	0.822459581583669	6.50391910488841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.357641478761451	0	0	0	0	0	0	0	0	0	0	0	0	19.109735401021	1.34421479395717	0	0	0	0	1.24479049077696	0.648621635033311	5.79121016802862	0	0	0	0	0	0.00471809389006841	0	0	0	0	0	0
ASV_22	0	0.403213763029778	0.935052822846484	3.71280028684116	2.97509225092251	0.131002971530818	5.52115097862737	1.81682979279297	0	0	0.394521965495497	1.03290103290103	0.258941576306846	0	0	2.88981205130273	3.18355620339269	3.59681214047276	5.70877937389671	0.256467631719366	2.05838102542923	11.8976594768242	0.804009448246623	10.3335411471322	1.0150195459845	0.286555787811054	2.03995970449966	2.02364440922	2.28895422091558	0.151599910494518	0.233973260198834	0.119805873872166	0.616190547976182	0.0836827613511617	0.537816323259666	0.128357666586565	0.00213382106386222	0.102798018627957	0.00321462193749856	0.0787069200531162	0.0169427048868515	0.314447063216111	0.212988183251756	0.201479945241116	0.0658192611473513	0.256986350396167	0.168155642608197	0.63902351462933	0.192062008591345	0.360809164919093	0.432180622642417	6.50258794938602	0	1.2147824442717	7.22155833050113	0.0195235675300103	0.949457844925953	0.0309705392745151	0.542925953252683	0.0230574129582661	0	0	0	0	0	0	0	0	0	0	0
ASV_23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.45934236875354	21.4970835131486	0	0	0	28.2108981114877	0	0	0	0	0	0	2.1987843210936	0
