Sample_Name,Biological_Replicate,Technical_Replicate,Negative_control,Cruise_ID_short,Cruise_ID_long,Collection_Date_UTC,Collection_Date_local,Collection_Time_UTC,Field_Sample_Name,Cast_No.,Rosette_position,Field_collection_method,Preservation,Area within region,Station,Depth_m,Lat,Lon,Sample_volume_ml,Personnel_responsible_for_Collecting_Sample,Field_Notes
E41.NC.DY2012,1,1,TRUE,DY2012,DY20-12 Dyson 2020,9/9/20,,,Control-2,NA,NA,0.22µm swinex filter,95% EtOH,NA,NA,NA,NA,NA,1000,"Sarah Donohoe, Penelope Adams",Filter stored in 50cc tube
E42.1B.DY2012,1,1,FALSE,DY2012,DY20-12 Dyson 2020,9/9/20,,22:31,DBO2-3 0mR1 33,32,8,Niskin; 0.22 µm swinex filter,95% EtOH,Chukchi Sea,DBO2-3,0,64˚ 40.11' N,168˚ 14.14' W,1000,"Sarah Donohoe, Penelope Adams",Filter stored in 50cc tube
E42.2B.DY2012,2,1,FALSE,DY2012,DY20-12 Dyson 2020,9/9/20,,22:31,DBO2-3 0mR2 34,32,8,Niskin; 0.22 µm swinex filter,95% EtOH,Chukchi Sea,DBO2-3,0,64˚ 40.11' N,168˚ 14.14' W,1000,"Sarah Donohoe, Penelope Adams",Filter stored in 50cc tube
E43.1B.DY2012,1,1,FALSE,DY2012,DY20-12 Dyson 2020,9/9/20,,22:31,DBO2-3 34mR1 35,32,2,Niskin; 0.22 µm swinex filter,95% EtOH,Chukchi Sea,DBO2-3,34,64˚ 40.11' N,168˚ 14.14' W,1000,"Sarah Donohoe, Penelope Adams",Filter stored in 50cc tube
E43.2B.DY2012,2,1,FALSE,DY2012,DY20-12 Dyson 2020,9/9/20,,22:31,DBO2-3 34mR2 36,32,2,Niskin; 0.22 µm swinex filter,95% EtOH,Chukchi Sea,DBO2-3,34,64˚ 40.11' N,168˚ 14.14' W,1000,"Sarah Donohoe, Penelope Adams",Filter stored in 50cc tube
E44.DY2012,1,1,FALSE,DY2012,DY20-12 Dyson 2020,9/10/20,,3:02,DBO2-5 0mR1 37,34,8,Niskin; 0.22 µm swinex filter,95% EtOH,Chukchi Sea,DBO2-5,0,64˚ 59.30' N,169˚ 08.33' W,1000,"Sarah Donohoe, Penelope Adams",DBO2-5 0mR2 lost because water was filtered without an inserted filter. Filter stored in 50cc tube
E45.1B.DY2012,1,1,FALSE,DY2012,DY20-12 Dyson 2020,9/10/20,,3:02,DBO2-5 43mR1 39,34,2,Niskin; 0.22 µm swinex filter,95% EtOH,Chukchi Sea,DBO2-5,43,64˚ 59.30' N,169˚ 08.33' W,1000,"Sarah Donohoe, Penelope Adams",Filter stored in 50cc tube
E45.2B.DY2012,2,1,FALSE,DY2012,DY20-12 Dyson 2020,9/10/20,,3:02,DBO2-5 43mR2 40,34,2,Niskin; 0.22 µm swinex filter,95% EtOH,Chukchi Sea,DBO2-5,43,64˚ 59.30' N,169˚ 08.33' W,1000,"Sarah Donohoe, Penelope Adams",Filter stored in 50cc tube
E46.1B.DY2012,1,1,FALSE,DY2012,DY20-12 Dyson 2020,9/10/20,,5:32,DBO2-4 0mR1 41,35,7,Niskin; 0.22 µm swinex filter,95% EtOH,Chukchi Sea,DBO2-4,0,64˚ 57.567' N,169˚ 52.749' W,1000,"Sarah Donohoe, Penelope Adams",Filter stored in 50cc tube
E46.2B.DY2012,2,1,FALSE,DY2012,DY20-12 Dyson 2020,9/10/20,,5:32,DBO2-4 0mR2 42,35,7,Niskin; 0.22 µm swinex filter,95% EtOH,Chukchi Sea,DBO2-4,0,64˚ 57.567' N,169˚ 52.749' W,1000,"Sarah Donohoe, Penelope Adams",Filter stored in 50cc tube
E47.1B.DY2012,1,1,FALSE,DY2012,DY20-12 Dyson 2020,9/10/20,,5:32,DBO2-4 45mR1 43,35,2,Niskin; 0.22 µm swinex filter,95% EtOH,Chukchi Sea,DBO2-4,45,64˚ 57.567' N,169˚ 52.749' W,1000,"Sarah Donohoe, Penelope Adams",Filter stored in 50cc tube
E47.2B.DY2012,2,1,FALSE,DY2012,DY20-12 Dyson 2020,9/10/20,,5:32,DBO2-4 45mR2 44,35,2,Niskin; 0.22 µm swinex filter,95% EtOH,Chukchi Sea,DBO2-4,45,64˚ 57.567' N,169˚ 52.749' W,1000,"Sarah Donohoe, Penelope Adams",Filter stored in 50cc tube
E48.1B.DY2012,1,1,FALSE,DY2012,DY20-12 Dyson 2020,9/10/20,,21:54,DBO3-8 0mR1 45,36,7,Niskin; 0.22 µm swinex filter,95% EtOH,Chukchi Sea,DBO3-8,0,67˚ 40.374' N,168˚ 56.526' W,1000,"Sarah Donohoe, Penelope Adams",Filter stored in 50cc tube
E48.2B.DY2012,2,1,FALSE,DY2012,DY20-12 Dyson 2020,9/10/20,,21:54,DBO3-8 0mR2 46,36,7,Niskin; 0.22 µm swinex filter,95% EtOH,Chukchi Sea,DBO3-8,0,67˚ 40.374' N,168˚ 56.526' W,1000,"Sarah Donohoe, Penelope Adams",Filter stored in 50cc tube
E49.1B.DY2012,1,1,FALSE,DY2012,DY20-12 Dyson 2020,9/10/20,,21:54,DBO3-8 45mR1 47,36,1,Niskin; 0.22 µm swinex filter,95% EtOH,Chukchi Sea,DBO3-8,45,67˚ 40.374' N,168˚ 56.526' W,1000,"Sarah Donohoe, Penelope Adams",Filter stored in 50cc tube
E49.2B.DY2012,2,1,FALSE,DY2012,DY20-12 Dyson 2020,9/10/20,,21:54,DBO3-8 45mR2 48,36,1,Niskin; 0.22 µm swinex filter,95% EtOH,Chukchi Sea,DBO3-8,45,67˚ 40.374' N,168˚ 56.526' W,1000,"Sarah Donohoe, Penelope Adams",Filter stored in 50cc tube
E50.1B.DY2012,1,1,FALSE,DY2012,DY20-12 Dyson 2020,9/11/20,,6:14,DBO3-6 0mR1 49,39,7,Niskin; 0.22 µm swinex filter,95% EtOH,Chukchi Sea,DBO3-6,0,67˚ 53.86' N,168˚ 13.89' W,1000,"Sarah Donohoe, Penelope Adams",Filter stored in Whirlpak
E50.2B.DY2012,2,1,FALSE,DY2012,DY20-12 Dyson 2020,9/11/20,,6:14,DBO3-6 0mR2 50,39,7,Niskin; 0.22 µm swinex filter,95% EtOH,Chukchi Sea,DBO3-6,0,67˚ 53.86' N,168˚ 13.89' W,1000,"Sarah Donohoe, Penelope Adams",Filter stored in Whirlpak
E51.1B.DY2012,1,1,FALSE,DY2012,DY20-12 Dyson 2020,9/11/20,,6:14,DBO3-6 54mR1 51,39,2,Niskin; 0.22 µm swinex filter,95% EtOH,Chukchi Sea,DBO3-6,54,67˚ 53.86' N,168˚ 13.89' W,1000,"Sarah Donohoe, Penelope Adams",Filter stored in Whirlpak
E51.2B.DY2012,2,1,FALSE,DY2012,DY20-12 Dyson 2020,9/11/20,,6:14,DBO3-6 54mR2 52,39,2,Niskin; 0.22 µm swinex filter,95% EtOH,Chukchi Sea,DBO3-6,54,67˚ 53.86' N,168˚ 13.89' W,1000,"Sarah Donohoe, Penelope Adams",Filter stored in Whirlpak
E52.1B.DY2012,1,1,FALSE,DY2012,DY20-12 Dyson 2020,9/11/20,,11:04,DBO3-3 0mR1 53,42,7,Niskin; 0.22 µm swinex filter,95% EtOH,Chukchi Sea,DBO3-3,0,68˚ 11.22' N,167˚ 17.39' W,1000,"Sarah Donohoe, Penelope Adams",Filter stored in Whirlpak
E52.2B.DY2012,2,1,FALSE,DY2012,DY20-12 Dyson 2020,9/11/20,,11:04,DBO3-3 0mR2 54,42,7,Niskin; 0.22 µm swinex filter,95% EtOH,Chukchi Sea,DBO3-3,0,68˚ 11.22' N,167˚ 17.39' W,1000,"Sarah Donohoe, Penelope Adams",Filter stored in Whirlpak
E53.1B.DY2012,1,1,FALSE,DY2012,DY20-12 Dyson 2020,9/11/20,,11:04,DBO3-3 43mR1 55,42,2,Niskin; 0.22 µm swinex filter,95% EtOH,Chukchi Sea,DBO3-3,43,68˚ 11.22' N,167˚ 17.39' W,1000,"Sarah Donohoe, Penelope Adams",Filter stored in Whirlpak
E53.2B.DY2012,2,1,FALSE,DY2012,DY20-12 Dyson 2020,9/11/20,,11:04,DBO3-3 43mR2 56,42,2,Niskin; 0.22 µm swinex filter,95% EtOH,Chukchi Sea,DBO3-3,43,68˚ 11.22' N,167˚ 17.39' W,1000,"Sarah Donohoe, Penelope Adams",Filter stored in Whirlpak
E54.1B.DY2012,1,1,FALSE,DY2012,DY20-12 Dyson 2020,9/11/20,,13:00,DBO3-1 0mR1 57,43,7,Niskin; 0.22 µm swinex filter,95% EtOH,Chukchi Sea,DBO3-1,0,68˚ 18.18' N,166˚ 55.49' W,1000,"Sarah Donohoe, Penelope Adams",Filter stored in Whirlpak
E54.2B.DY2012,2,1,FALSE,DY2012,DY20-12 Dyson 2020,9/11/20,,13:00,DBO3-1 0mR2 58,43,7,Niskin; 0.22 µm swinex filter,95% EtOH,Chukchi Sea,DBO3-1,0,68˚ 18.18' N,166˚ 55.49' W,1000,"Sarah Donohoe, Penelope Adams",Filter stored in Whirlpak
E55.1B.DY2012,1,1,FALSE,DY2012,DY20-12 Dyson 2020,9/11/20,,13:00,DBO3-1 29mR1 59,43,1,Niskin; 0.22 µm swinex filter,95% EtOH,Chukchi Sea,DBO3-1,29,68˚ 18.18' N,166˚ 55.49' W,1000,"Sarah Donohoe, Penelope Adams",Filter stored in Whirlpak
E55.2B.DY2012,2,1,FALSE,DY2012,DY20-12 Dyson 2020,9/11/20,,13:00,DBO3-1 29mR2 60,43,1,Niskin; 0.22 µm swinex filter,95% EtOH,Chukchi Sea,DBO3-1,29,68˚ 18.18' N,166˚ 55.49' W,1000,"Sarah Donohoe, Penelope Adams",Filter stored in Whirlpak
E56.NC.DY2012,,1,TRUE,DY2012,DY20-12 Dyson 2020,9/13/20,,-,Control-3,NA,NA,0.22µm swinex filter,95% EtOH,NA,NA,NA,NA,NA,1000,"Sarah Donohoe, Penelope Adams",Filter stored in Whirlpak
E57.1B.DY2012,1,1,FALSE,DY2012,DY20-12 Dyson 2020,9/13/20,,8:32,IC10 0mR1 61,50,7,Niskin; 0.22 µm swinex filter,95% EtOH,Chukchi Sea,IC10,0,71˚ 42.31' N,165˚ 35.05' W,1000,"Sarah Donohoe, Penelope Adams",Filter stored in Whirlpak
