reads.in	reads.out
MP_E699_R1_trimmed.fq.gz	120946	112922
MP_E700_R1_trimmed.fq.gz	112981	103710
MP_E707_R1_trimmed.fq.gz	121217	113315
MP_E709_R1_trimmed.fq.gz	86531	81093
MP_E713_R1_trimmed.fq.gz	107694	100823
MP_E715_R1_trimmed.fq.gz	124672	116440
MP_E716_R1_trimmed.fq.gz	80243	74279
MP_E718_R1_trimmed.fq.gz	53343	49944
MP_E721_R1_trimmed.fq.gz	139625	130120
MP_E724_R1_trimmed.fq.gz	92523	85820
MP_E725_1B_R1_trimmed.fq.gz	145574	136513
MP_E730_1B_R1_trimmed.fq.gz	114813	105979
MP_E733_R1_trimmed.fq.gz	111228	95896
MP_E737_R1_trimmed.fq.gz	136068	124066
MP_E742_1B_R1_trimmed.fq.gz	136514	126107
MP_E742_2T_R1_trimmed.fq.gz	87622	81819
MP_E742_3T_R1_trimmed.fq.gz	126512	117500
MP_E746_R1_trimmed.fq.gz	110832	104486
MP_E747_R1_trimmed.fq.gz	57354	53412
MP_E748_R1_trimmed.fq.gz	129000	119437
MP_E749_R1_trimmed.fq.gz	108817	99811
MP_E750_R1_trimmed.fq.gz	121260	113114
MP_E753_R1_trimmed.fq.gz	134633	111399
MP_E756_R1_trimmed.fq.gz	94908	88233
MP_E757_R1_trimmed.fq.gz	86415	78032
MP_E758_R1_trimmed.fq.gz	118461	110541
MP_E759_R1_trimmed.fq.gz	124956	115463
MP_E760_R1_trimmed.fq.gz	112765	104597
MP_E761_R1_trimmed.fq.gz	106824	100428
MP_E768_1B_R1_trimmed.fq.gz	110591	103388
MP_E769_1B_R1_trimmed.fq.gz	99116	91912
MP_E769_2T_R1_trimmed.fq.gz	102140	94467
MP_E769_3T_R1_trimmed.fq.gz	105847	98652
MP_E770_R1_trimmed.fq.gz	142697	132310
MP_E771_R1_trimmed.fq.gz	125241	114359
MP_E772_1B_R1_trimmed.fq.gz	106506	99773
MP_E772_2B_R1_trimmed.fq.gz	118877	108515
MP_E772_3B_R1_trimmed.fq.gz	134265	124601
MP_E773_R1_trimmed.fq.gz	135480	124601
MP_E774_R1_trimmed.fq.gz	110738	103667
MP_E775_R1_trimmed.fq.gz	101146	93530
MP_E780_R1_trimmed.fq.gz	91576	85498
MP_E781_R1_trimmed.fq.gz	136153	126701
MP_E784_R1_trimmed.fq.gz	118051	109468
MP_E785_R1_trimmed.fq.gz	105626	98414
MP_E788_1B_R1_trimmed.fq.gz	120686	112094
MP_E788_2B_R1_trimmed.fq.gz	138601	126410
MP_E788_3B_R1_trimmed.fq.gz	124667	115595
MP_E789_R1_trimmed.fq.gz	127051	117050
MP_E792_R1_trimmed.fq.gz	106407	99783
MP_E798_R1_trimmed.fq.gz	135010	124912
MP_E800_R1_trimmed.fq.gz	101343	94897
MP_E801_R1_trimmed.fq.gz	112155	104089
MP_E804_R1_trimmed.fq.gz	127541	118550
MP_E805_R1_trimmed.fq.gz	103811	95677
MP_E809_1B_R1_trimmed.fq.gz	98077	91604
MP_E809_2T_R1_trimmed.fq.gz	109247	100588
MP_E809_3T_R1_trimmed.fq.gz	94508	88381
MP_E810_1B_R1_trimmed.fq.gz	118732	109542
MP_E810_2B_R1_trimmed.fq.gz	101078	90656
MP_E810_3B_R1_trimmed.fq.gz	111384	103525
MP_E811_1B_R1_trimmed.fq.gz	117065	109978
MP_E811_2B_R1_trimmed.fq.gz	138043	129003
MP_E811_3B_R1_trimmed.fq.gz	147104	134753
MP_E812_R1_trimmed.fq.gz	113924	106483
MP_E813_1B_R1_trimmed.fq.gz	91434	84213
MP_E813_2B_R1_trimmed.fq.gz	91704	84659
MP_E813_3B_R1_trimmed.fq.gz	69768	63603
MP_E814_1B_R1_trimmed.fq.gz	52788	43543
MP_E814_2B_R1_trimmed.fq.gz	65969	61704
MP_E814_3B_R1_trimmed.fq.gz	103538	96460
MP_E819_R1_trimmed.fq.gz	90180	84246
MP_E822_R1_trimmed.fq.gz	90086	84006
MP_E823_R1_trimmed.fq.gz	97416	90056
MP_E824_R1_trimmed.fq.gz	125691	112572
MP_E825_R1_trimmed.fq.gz	95251	89135
MP_E826_R1_trimmed.fq.gz	99236	92223
MP_E829_R1_trimmed.fq.gz	140493	132079
MP_E831_R1_trimmed.fq.gz	115415	107509
MP_E832_R1_trimmed.fq.gz	78155	73419
MP_E833_R1_trimmed.fq.gz	99530	92536
MP_E840_R1_trimmed.fq.gz	130770	121121
MP_E841_R1_trimmed.fq.gz	103168	96186
MP_E843_R1_trimmed.fq.gz	87171	81482
MP_E846_R1_trimmed.fq.gz	128822	120416
MP_E852_R1_trimmed.fq.gz	168803	155810
MP_E853_R1_trimmed.fq.gz	23258	21664
MP_E854_R1_trimmed.fq.gz	83286	77700
MP_E855_R1_trimmed.fq.gz	92467	79743
MP_E856_R1_trimmed.fq.gz	159092	149001
MP_E857_R1_trimmed.fq.gz	97732	91132
MP_E858_R1_trimmed.fq.gz	50903	47736
MP_E859_R1_trimmed.fq.gz	119879	111771
MP_E860_1B_R1_trimmed.fq.gz	145537	136218
MP_E860_2B_R1_trimmed.fq.gz	149978	140514
MP_E860_3B_R1_trimmed.fq.gz	126776	118276
MP_E861_1B_R1_trimmed.fq.gz	109682	101806
MP_E861_2B_R1_trimmed.fq.gz	75050	70632
MP_E861_3B_R1_trimmed.fq.gz	109999	103416
MP_E862_1B_R1_trimmed.fq.gz	94355	87979
MP_E862_2B_R1_trimmed.fq.gz	105965	99524
MP_E862_3B_R1_trimmed.fq.gz	94083	87561
MP_E866_R1_trimmed.fq.gz	62742	58115
MP_E867_R1_trimmed.fq.gz	91945	86335
MP_E868_R1_trimmed.fq.gz	98695	92859
MP_E869_R1_trimmed.fq.gz	55490	52037
MP_E870_R1_trimmed.fq.gz	93879	87764
MP_E871_R1_trimmed.fq.gz	102630	95685
MP_E872_1B_R1_trimmed.fq.gz	173941	162475
MP_E872_2B_R1_trimmed.fq.gz	151378	141946
MP_E872_3B_R1_trimmed.fq.gz	165546	155236
MP_E873_1B_R1_trimmed.fq.gz	114570	107722
MP_E873_2B_R1_trimmed.fq.gz	116365	108053
MP_E873_3B_R1_trimmed.fq.gz	110057	102871
MP_E874_1B_R1_trimmed.fq.gz	101132	93879
MP_E874_2B_R1_trimmed.fq.gz	109156	100239
MP_E874_3B_R1_trimmed.fq.gz	70512	64754
MP_E875_R1_trimmed.fq.gz	189118	175841
MP_E876_R1_trimmed.fq.gz	113730	104303
MP_E880_R1_trimmed.fq.gz	88819	83570
MP_E881_R1_trimmed.fq.gz	95768	88943
MP_E885_1B_R1_trimmed.fq.gz	105103	98789
MP_E885_2T_R1_trimmed.fq.gz	97259	91267
MP_E885_3T_R1_trimmed.fq.gz	94492	89345
MP_E886_1B_R1_trimmed.fq.gz	108616	101561
MP_E886_2B_R1_trimmed.fq.gz	41297	38612
MP_E886_3B_R1_trimmed.fq.gz	116031	107880
MP_E892_R1_trimmed.fq.gz	84266	77475
MP_E895_R1_trimmed.fq.gz	111290	103684
MP_E896_R1_trimmed.fq.gz	118907	110486
MP_E901_R1_trimmed.fq.gz	73336	65762
MP_E903_1B_R1_trimmed.fq.gz	111388	104640
MP_E904_1B_R1_trimmed.fq.gz	107272	99877
MP_E904_2B_R1_trimmed.fq.gz	120972	112589
MP_E904_3B_R1_trimmed.fq.gz	124427	116403
MP_E907_R1_trimmed.fq.gz	104289	97854
