Sample	lat	long	sites	controls	group1	group2	group3	group4	group5	group6	samp_vol	depth
E1132.SKQ2021	63.60483333	-172.5931667	DBO1.10	NA	surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	10.5
E1133.SKQ2021	64.67016667	-169.9187	DBO2.1	NA	deep	2021	Nov	2021_Nov	SKQ21	Niskin	1000	42.6
E1134.SKQ2021	64.67016667	-169.9187	DBO2.1	NA	mid	2021	Nov	2021_Nov	SKQ21	Niskin	1000	30.1
E1135.SKQ2021	64.67016667	-169.9187	DBO2.1	NA	surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	10.4
E1136.SKQ2021	64.68	-169.1006667	DBO2.2	NA	deep	2021	Nov	2021_Nov	SKQ21	Niskin	1000	40.8
E1137.SKQ2021	64.68	-169.1006667	DBO2.2	NA	mid	2021	Nov	2021_Nov	SKQ21	Niskin	1000	30.2
E1138.SKQ2021	64.68	-169.1006667	DBO2.2	NA	surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	10
E1139.SKQ2021	64.98983333	-169.1398333	DBO2.5	NA	deep	2021	Nov	2021_Nov	SKQ21	Niskin	1000	44.4
E1140.SKQ2021	64.98983333	-169.1398333	DBO2.5	NA	mid	2021	Nov	2021_Nov	SKQ21	Niskin	1000	30.5
E1141.SKQ2021	64.98983333	-169.1398333	DBO2.5	NA	surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	10.4
E1142.SKQ2021	64.95883333	-169.8803333	DBO2.4	NA	deep	2021	Nov	2021_Nov	SKQ21	Niskin	1000	44
E1143.SKQ2021	64.95883333	-169.8803333	DBO2.4	NA	mid	2021	Nov	2021_Nov	SKQ21	Niskin	1000	30.4
E1144.SKQ2021	64.95883333	-169.8803333	DBO2.4	NA	surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	10.2
E1145.SKQ2021	64.66983333	-168.2356667	DBO2.3	NA	deep	2021	Nov	2021_Nov	SKQ21	Niskin	1000	33.7
E1146.SKQ2021	64.66983333	-168.2356667	DBO2.3	NA	surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	10.2
E1172.OC0622	47.87831667	-124.73645	TeahwhiteHead	NA	deep	2022	Jun	2022_Jun	OCNMS	Niskin	1000	32.4282
E1173.OC0622	47.87831667	-124.73645	TeahwhiteHead	NA	deep	2022	Jun	2022_Jun	OCNMS	Niskin	1000	32.1612
E1174.OC0622	47.87831667	-124.73645	TeahwhiteHead	NA	deep	2022	Jun	2022_Jun	OCNMS	Niskin	1000	32.4816
E1229.OC0822	47.87553333	-124.7332	TeahwhiteHead	NA	deep	2022	Aug	2022_Aug	OCNMS	Niskin	1000	32.802
E1230.OC0822	47.87553333	-124.7332	TeahwhiteHead	NA	deep	2022	Aug	2022_Aug	OCNMS	Niskin	1000	32.8554
E1231.OC0822	47.87553333	-124.7332	TeahwhiteHead	NA	deep	2022	Aug	2022_Aug	OCNMS	Niskin	1000	33.0154
E1240.OC0922	47.87445	-124.7345	TeahwhiteHead	NA	deep	2022	Aug	2022_Aug	OCNMS	PPS	1000	34
E1241.OC0922	47.87445	-124.7345	TeahwhiteHead	NA	deep	2022	Aug	2022_Aug	OCNMS	PPS	1000	34
E1242.OC0922	47.87445	-124.7345	TeahwhiteHead	NA	deep	2022	Aug	2022_Aug	OCNMS	PPS	1000	34
E1243.OC0922	47.87445	-124.7345	TeahwhiteHead	NA	deep	2022	Aug	2022_Aug	OCNMS	PPS	1000	34
E1244.OC0922	47.87445	-124.7345	TeahwhiteHead	NA	deep	2022	Aug	2022_Aug	OCNMS	PPS	1000	34
E1245.OC0922	47.87445	-124.7345	TeahwhiteHead	NA	deep	2022	Aug	2022_Aug	OCNMS	PPS	1000	34
E1246.OC0922	47.87445	-124.7345	TeahwhiteHead	NA	deep	2022	Aug	2022_Aug	OCNMS	PPS	1000	34
E1247.OC0922	47.87445	-124.7345	TeahwhiteHead	NA	deep	2022	Aug	2022_Aug	OCNMS	PPS	1000	34
E1248.OC0922	47.87445	-124.7345	TeahwhiteHead	NA	deep	2022	Aug	2022_Aug	OCNMS	PPS	1000	34
E1249.OC0922	47.87445	-124.7345	TeahwhiteHead	NA	deep	2022	Sep	2022_Sep	OCNMS	PPS	1000	34
E1250.OC0922	47.87445	-124.7345	TeahwhiteHead	NA	deep	2022	Sep	2022_Sep	OCNMS	PPS	1000	34
E1251.OC0922	47.87445	-124.7345	TeahwhiteHead	NA	deep	2022	Sep	2022_Sep	OCNMS	PPS	1000	34
E1252.OC0922	47.87445	-124.7345	TeahwhiteHead	NA	deep	2022	Sep	2022_Sep	OCNMS	PPS	1000	34
E1253.OC0922	47.87445	-124.7345	TeahwhiteHead	NA	deep	2022	Sep	2022_Sep	OCNMS	PPS	1000	34
E1254.OC0922	47.87445	-124.7345	TeahwhiteHead	NA	deep	2022	Sep	2022_Sep	OCNMS	PPS	1000	34
E1255.OC0922	47.87445	-124.7345	TeahwhiteHead	NA	deep	2022	Sep	2022_Sep	OCNMS	PPS	1000	34
E1256.OC0922	47.87445	-124.7345	TeahwhiteHead	NA	deep	2022	Sep	2022_Sep	OCNMS	PPS	1000	34
E1257.OC0922	47.87445	-124.7345	TeahwhiteHead	NA	deep	2022	Sep	2022_Sep	OCNMS	PPS	1000	34
E1258.OC0922	47.87445	-124.7345	TeahwhiteHead	NA	deep	2022	Sep	2022_Sep	OCNMS	PPS	1000	34
E1259.OC0922	47.87445	-124.7345	TeahwhiteHead	NA	deep	2022	Sep	2022_Sep	OCNMS	PPS	1000	34
E1260.OC0922	47.87445	-124.7345	TeahwhiteHead	NA	deep	2022	Sep	2022_Sep	OCNMS	PPS	1000	34
E1261.OC0922	47.87445	-124.7345	TeahwhiteHead	NA	deep	2022	Sep	2022_Sep	OCNMS	PPS	1000	34
E1262.OC0922	47.87445	-124.7345	TeahwhiteHead	NA	deep	2022	Sep	2022_Sep	OCNMS	PPS	1000	34
E1263.OC0922	47.87445	-124.7345	TeahwhiteHead	NA	deep	2022	Sep	2022_Sep	OCNMS	PPS	1000	34
E1265.OC0922	47.87445	-124.7345	TeahwhiteHead	NA	deep	2022	Sep	2022_Sep	OCNMS	Niskin	1000	33.2286
E1266.OC0922	47.87445	-124.7345	TeahwhiteHead	NA	deep	2022	Sep	2022_Sep	OCNMS	Niskin	1000	32.6952
E1267.OC0922	47.87445	-124.7345	TeahwhiteHead	NA	deep	2022	Sep	2022_Sep	OCNMS	Niskin	1000	33.0688
E1275.OC1021	47.87788333	-124.739	TeahwhiteHead	NA	deep	2021	Aug	2021_Aug	OCNMS	PPS	1000	34
E1276.OC1021	47.87788333	-124.739	TeahwhiteHead	NA	deep	2021	Aug	2021_Aug	OCNMS	PPS	1000	34
E1277.OC1021	47.87788333	-124.739	TeahwhiteHead	NA	deep	2021	Aug	2021_Aug	OCNMS	PPS	1000	34
E1278.OC1021	47.87788333	-124.739	TeahwhiteHead	NA	deep	2021	Aug	2021_Aug	OCNMS	PPS	1000	34
E1279.OC1021	47.87788333	-124.739	TeahwhiteHead	NA	deep	2021	Sep	2021_Sep	OCNMS	PPS	1000	34
E1280.OC1021	47.87788333	-124.739	TeahwhiteHead	NA	deep	2021	Sep	2021_Sep	OCNMS	PPS	1000	34
E1281.OC1021	47.87788333	-124.739	TeahwhiteHead	NA	deep	2021	Sep	2021_Sep	OCNMS	PPS	1000	34
E1282.OC1021	47.87788333	-124.739	TeahwhiteHead	NA	deep	2021	Sep	2021_Sep	OCNMS	PPS	1000	34
E1283.OC1021	47.87788333	-124.739	TeahwhiteHead	NA	deep	2021	Sep	2021_Sep	OCNMS	PPS	1000	34
E1284.OC1021	47.87788333	-124.739	TeahwhiteHead	NA	deep	2021	Sep	2021_Sep	OCNMS	PPS	1000	34
E1285.OC1021	47.87788333	-124.739	TeahwhiteHead	NA	deep	2021	Sep	2021_Sep	OCNMS	PPS	1000	34
E1286.OC1021	47.87788333	-124.739	TeahwhiteHead	NA	deep	2021	Sep	2021_Sep	OCNMS	PPS	1000	34
E1287.OC1021	47.87788333	-124.739	TeahwhiteHead	NA	deep	2021	Sep	2021_Sep	OCNMS	PPS	1000	34
E1288.OC1021	47.87788333	-124.739	TeahwhiteHead	NA	deep	2021	Sep	2021_Sep	OCNMS	PPS	1000	34
E1289.OC1021	47.87788333	-124.739	TeahwhiteHead	NA	deep	2021	Sep	2021_Sep	OCNMS	PPS	1000	34
E1290.OC1021	47.87788333	-124.739	TeahwhiteHead	NA	deep	2021	Sep	2021_Sep	OCNMS	PPS	1000	34
E1291.OC1021	47.87788333	-124.739	TeahwhiteHead	NA	deep	2021	Sep	2021_Sep	OCNMS	PPS	1000	34
E1292.OC1021	47.87788333	-124.739	TeahwhiteHead	NA	deep	2021	Sep	2021_Sep	OCNMS	PPS	1000	34
E1293.OC1021	47.87788333	-124.739	TeahwhiteHead	NA	deep	2021	Sep	2021_Sep	OCNMS	PPS	1000	34
E1294.OC1021	47.87788333	-124.739	TeahwhiteHead	NA	deep	2021	Sep	2021_Sep	OCNMS	PPS	1000	34
E1295.OC1021	47.87788333	-124.739	TeahwhiteHead	NA	deep	2021	Sep	2021_Sep	OCNMS	PPS	1000	34
E1296.OC1021	47.87788333	-124.739	TeahwhiteHead	NA	deep	2021	Sep	2021_Sep	OCNMS	PPS	1000	34
E1297.OC1021	47.87788333	-124.739	TeahwhiteHead	NA	deep	2021	Sep	2021_Sep	OCNMS	PPS	1000	34
E1298.OC1021	47.87788333	-124.739	TeahwhiteHead	NA	deep	2021	Sep	2021_Sep	OCNMS	PPS	1000	34
E1299.OC1021	47.35015	-124.4854333	CapeElizabeth	NA	deep	2021	Aug	2021_Aug	OCNMS	PPS	1000	34
E1300.OC1021	47.35015	-124.4854333	CapeElizabeth	NA	deep	2021	Aug	2021_Aug	OCNMS	PPS	1000	34
E1301.OC1021	47.35015	-124.4854333	CapeElizabeth	NA	deep	2021	Aug	2021_Aug	OCNMS	PPS	1000	34
E1302.OC1021	47.35015	-124.4854333	CapeElizabeth	NA	deep	2021	Aug	2021_Aug	OCNMS	PPS	1000	34
E1303.OC1021	47.35015	-124.4854333	CapeElizabeth	NA	deep	2021	Sep	2021_Sep	OCNMS	PPS	1000	34
E1304.OC1021	47.35015	-124.4854333	CapeElizabeth	NA	deep	2021	Sep	2021_Sep	OCNMS	PPS	1000	34
E1305.OC1021	47.35015	-124.4854333	CapeElizabeth	NA	deep	2021	Sep	2021_Sep	OCNMS	PPS	1000	34
E1306.OC1021	47.35015	-124.4854333	CapeElizabeth	NA	deep	2021	Sep	2021_Sep	OCNMS	PPS	1000	34
E1307.OC1021	47.35015	-124.4854333	CapeElizabeth	NA	deep	2021	Sep	2021_Sep	OCNMS	PPS	1000	34
E1308.OC1021	47.35015	-124.4854333	CapeElizabeth	NA	deep	2021	Sep	2021_Sep	OCNMS	PPS	1000	34
