ASV	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_2110	Bacteria	Pseudomonadota	Gammaproteobacteria	Candidatus Pseudothioglobus__f__o	Candidatus Pseudothioglobus__f	NA	NA
ASV_2112	Eukaryota	Annelida	Polychaeta	Chaetopteridae__o	NA	NA	NA
ASV_2114	Eukaryota	Gastrotricha	Chaetonotida__c	Chaetonotida	Chaetonotidae	Lepidodermella	Lepidodermella squamata
ASV_212	Eukaryota	Echinodermata	Holothuroidea	Aspidochirotida	Stichopodidae	NA	NA
ASV_2120	Eukaryota	Mollusca	Gastropoda	Nudibranchia	Chromodorididae	Cadlina	Cadlina luteomarginata
ASV_2124	Eukaryota	Picozoa	NA	NA	NA	NA	NA
ASV_2125	Eukaryota	Porifera	Demospongiae	NA	NA	NA	NA
ASV_2127	Eukaryota	Mollusca	Gastropoda	Neogastropoda	Columbellidae	NA	NA
ASV_2128	Eukaryota	Arthropoda	Insecta	Diptera	Ceratopogonidae	NA	NA
ASV_2129	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	NA	NA	NA
ASV_213	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
ASV_2130	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	NA	NA	NA
ASV_2132	Eukaryota	Picozoa	NA	NA	NA	NA	NA
ASV_2134	Bacteria	Pseudomonadota	Gammaproteobacteria	Candidatus Pseudothioglobus__f__o	Candidatus Pseudothioglobus__f	NA	NA
ASV_2136	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Paracalanidae	NA	NA
ASV_2137	Eukaryota	Mollusca	Bivalvia	Adapedonta	NA	NA	NA
ASV_214	Eukaryota	Echinodermata	Echinoidea	Camarodonta	Strongylocentrotidae	Strongylocentrotus	NA
ASV_2140	Eukaryota	Arthropoda	Branchiopoda	Diplostraca	Chydoridae	NA	NA
ASV_2141	Eukaryota	Arthropoda	Malacostraca	Decapoda	Crangonidae	Crangon	NA
ASV_2142	Bacteria	Candidatus Moranbacteria	NA	NA	NA	NA	NA
ASV_2145	Eukaryota	Bryozoa	Gymnolaemata	Cheilostomatida	Smittinidae	Parasmittina	NA
ASV_2146	Eukaryota	Rotifera	Eurotatoria	Ploima	Synchaetidae	NA	NA
ASV_2147	Eukaryota	Bryozoa	Gymnolaemata	Ctenostomatida	Nolellidae	Anguinella	Anguinella palmata
ASV_215	Eukaryota	Chordata	Actinopteri	NA	NA	NA	NA
ASV_2151	Eukaryota	Arthropoda	Hexanauplia	Calanoida	NA	NA	NA
ASV_2155	Eukaryota	Picozoa	NA	NA	NA	NA	NA
ASV_2156	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_216	Eukaryota	Mollusca	Bivalvia	Mytilida	Mytilidae	Modiolus	NA
ASV_2162	Eukaryota	Echinodermata	Holothuroidea	Aspidochirotida	NA	NA	NA
ASV_2163	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Actinomyces	NA
ASV_217	Eukaryota	Chordata	Mammalia	Artiodactyla	Delphinidae	Orcinus	Orcinus orca
ASV_2170	Eukaryota	Porifera	Demospongiae	Polymastiida	NA	NA	NA
ASV_2174	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
ASV_2178	Bacteria	Candidatus Woesebacteria	NA	NA	NA	NA	NA
ASV_2179	Eukaryota	Bryozoa	Gymnolaemata	Cheilostomatida	NA	NA	NA
ASV_218	Eukaryota	Nemertea	Palaeonemertea	Tubulaniformes	Tubulanidae	Carinina	Carinina sp_ chocolate
ASV_2181	Eukaryota	Chaetognatha	Sagittoidea	Aphragmophora	Sagittidae	Parasagitta	NA
ASV_2185	Eukaryota	Nemertea	Enopla	Monostilifera	NA	NA	NA
ASV_2186	Eukaryota	Arthropoda	Malacostraca	Decapoda	Pandalidae	Bitias	NA
ASV_2187	Eukaryota	Porifera	Demospongiae	Poecilosclerida	Latrunculiidae	NA	NA
