All percentages range 0-100% of the total count for either Eukaryotes or Prokaryotes, with exception of the first three data rows (% Known, % Eukaryote, % Prokaryote), which represent %s of total reads.
Taxonomy String (K->S)	Terminal Taxa	MP_E370	MP_E378	MP_E384_3B	MP_E388_1B	MP_E392	MP_E396	MP_E400	MP_E404	MP_E408	MP_E411_1T	MP_E423	MP_E427	MP_E431	MP_E435	MP_E438	MP_E442	MP_E446_1B_PCR1	MP_E446_2B_PCR1	MP_E446_3B_PCR1	MP_E449_1B_PCR1	MP_E449_2B_PCR1	MP_E449_3B_PCR1	MP_E451	MP_E455	MP_E458_1B	MP_E467	MP_E471	MP_E472	MP_E475_PCR1	MP_E486_PCR1	MP_E492_1B_PCR1	MP_E499	MP_E501	MP_E506	MP_E516	MP_E520_1B	MP_E524	MP_E528	MP_E529	MP_E532	MP_E536	MP_E540	MP_E543	MP_E552	MP_E555	MP_E560	MP_E561	MP_E562	MP_E565	MP_E566	MP_E569	MP_E570	MP_E573_1B_PCR1	MP_E573_2B_PCR1	MP_E573_3B_PCR1	MP_E579	MP_E583	MP_E588	MP_E590	MP_E594	MP_E598_1B_PCR1	MP_E598_2B_PCR1	MP_E598_3B_PCR1	MP_E601	MP_E604	MP_E607	MP_E632	MP_E635	MP_E638	MP_E655	MP_E658_1B	MP_E658_2T	MP_E658_3T	MP_E661	MP_E675_1B	MP_E685	MP_E688	MP_E691_1B	MP_E691_2B	MP_E691_3B	MP_E694_1B	MP_E694_2B	MP_E694_3B	MP_E707	MP_E713	MP_E716	MP_E721	MP_E725_1B	MP_E750	MP_E758	MP_E761	MP_E768_1B	MP_E773	MP_E811_1B	MP_E811_2B	MP_E811_3B	MP_E824	MP_E829	MP_E840	MP_E846	MP_E852	MP_E856	MP_E860_1B	MP_E860_2B	MP_E860_3B	MP_E872_1B	MP_E872_2B	MP_E872_3B	MP_E875	MP_POSITIVE
Eukaryota;Echinodermata;Holothuroidea;Aspidochirotida;Stichopodidae;Apostichopus;Apostichopus japonicus	Apostichopus japonicus	0	0	0	0.101582694662374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Echinodermata;Holothuroidea;Aspidochirotida;Stichopodidae;NA;NA	Stichopodidae	0	0	0.442023026315789	0	0	0	0	1.42937841709202	0.0186890658581915	0	0.04288843727731	0	0	0	0	0	0.0447434847576676	0.0125195618153365	0.0485094776536057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33426815104388	0	0	0	0	0	0	0	0	0	0	0	0	0.11245220781168	0	0	0	0	0	0	0.0017915581778659	0	0	0.0436436186794688	0	0	0.0191693290734824	0	0	0	0	0	0	0	0.153374233128834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Echinodermata;Holothuroidea;Aspidochirotida;Synallactidae;NA;NA	Synallactidae	0	0	0	0	0	0	0.455090183704737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Echinodermata;Holothuroidea;Dendrochirotida;Cucumariidae;Cucumaria;NA	Cucumaria	0	0	0	0	0	0	0	0	0	0	0.0527857689566893	0	0	0	0	0	0	0	0	0	0.0228597554006172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0256790005494112	0	0	0.0452023193465927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Echinodermata;Holothuroidea;Dendrochirotida;Cucumariidae;Pseudocnus;NA	Pseudocnus	0	0	0	0	0	0	0	0	0	0	0.00725804323154478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.131830746332128	0	0	0	0	0	0
Eukaryota;Echinodermata;Holothuroidea;Dendrochirotida;NA;NA;NA	Dendrochirotida	0	0	0	0	0	0	0	0.238061613573547	0	0	0.0118767980152551	0	0	0	0	0	0	0.0744218396800556	0	0.00697252823873937	0.00152398369337448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00274102144164023	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00801688891264263	0	0	0	0.0362346002948747	0	0	0	0	0	0	0	0	0	0.0296153126753538	0	0	0	0.111301661574805	0	0	0.0177321313312575	0.198148193033909	0	0	0.364427665041162	0	0	0	0	0.00585741975334938	0	0	0	0	0	0	0.204240140379139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Echinodermata;Holothuroidea;Dendrochirotida;Psolidae;Psolus;NA	Psolus	0	0	0	0	0	0	0	0	0	0	0.0336509277098894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Echinodermata;Holothuroidea;Dendrochirotida;Sclerodactylidae;NA;NA	Sclerodactylidae	0	0	0.370065789473684	0	0	0	0	0	0.113172676585715	0	0.00791786534350339	0	0	0	0	0	0	0	0	0	0.0213357717072427	0.00857689516395065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0280954697768123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.277764241508698	0	0	0	0.197991614472799	0.0159744408945687	0	0	0	0	0	0	0	0	0.0630103841113015	0	0	0	0	0	0	0	0	0	0	0	0	0.0665117847641174	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0447394274275752	0
Eukaryota;Echinodermata;Holothuroidea;Elasipodida;Elpidiidae;NA;NA	Elpidiidae	0	0	0	0	0	2.30870244179444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.5340818872632	0	3.21151403979117	0	0	0	0	0	0	0	0	0	0	0.441936629444028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.70670327156257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Echinodermata;Holothuroidea;Elasipodida;Elpidiidae;Peniagone;Peniagone leander	Peniagone leander	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.57488017216081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
