Sample	controls
E1961.SKQ23-12S	NA
E1962.SKQ23-12S	NA
E1963.SKQ23-12S	NA
E1964.SKQ23-12S	NA
E1965.SKQ23-12S	NA
E1966.SKQ23-12S	NA
E1967.SKQ23-12S	NA
E1968.SKQ23-12S	NA
E1969.SKQ23-12S	NA
E1970.SKQ23-12S	NA
E1971.SKQ23-12S	NA
E1972.SKQ23-12S	NA
E1973.SKQ23-12S	NA
E1974.SKQ23-12S	NA
E1975.SKQ23-12S	NA
E1976.SKQ23-12S	NA
E1977.SKQ23-12S	NA
E1978.SKQ23-12S	NA
E1979.SKQ23-12S	NA
E1980.SKQ23-12S	NA
E1981.SKQ23-12S	NA
E1982.SKQ23-12S	NA
E1983.SKQ23-12S	NA
E1984.SKQ23-12S	NA
E1985.SKQ23-12S	NA
E1986.SKQ23-12S	NA
E1987.SKQ23-12S	NA
E1988.SKQ23-12S	NA
E1989.SKQ23-12S	NA
E1990.SKQ23-12S	NA
E1991.SKQ23-12S	NA
E1992.SKQ23-12S	NA
E1993.SKQ23-12S	NA
E1994.SKQ23-12S	NA
E1995.SKQ23-12S	NA
E1996.SKQ23-12S	NA
E1997.SKQ23-12S	NA
E1998.SKQ23-12S	NA
E1999.SKQ23-12S	NA
E2000.SKQ23-12S	NA
E2001.SKQ23-12S	NA
E2002.SKQ23-12S	NA
E2003.SKQ23-12S	NA
E2004.SKQ23-12S	NA
E2005.SKQ23-12S	NA
E2006.SKQ23-12S	NA
E2007.SKQ23-12S	NA
E2008.SKQ23-12S	NA
E2009.SKQ23-12S	NA
E2010.SKQ23-12S	NA
E2011.SKQ23-12S	NA
E2012.SKQ23-12S	NA
E2013.SKQ23-12S	NA
E2014.SKQ23-12S	NA
E2015.SKQ23-12S	NA
E2016.SKQ23-12S	NA
E2017.SKQ23-12S	NA
E2018.SKQ23-12S	NA
E2019.SKQ23-12S	NA
E2020.SKQ23-12S	NA
E2021.SKQ23-12S	NA
E2022.SKQ23-12S	NA
E2023.SKQ23-12S	NA
E2024.SKQ23-12S	NA
E2025.SKQ23-12S	NA
E2026.SKQ23-12S	NA
E2030.NC	negative
POSITIVE	positive
