reads.in	reads.out
MP_E250_1B_NO20_R1_trimmed.fq.gz	168029	154188
MP_E250_2B_NO20_R1_trimmed.fq.gz	167315	117200
MP_E251_1B_NO20_R1_trimmed.fq.gz	163699	150469
MP_E251_2B_NO20_R1_trimmed.fq.gz	128989	118546
MP_E252_1B_NO20_R1_trimmed.fq.gz	170841	156954
MP_E252_2B_NO20_R1_trimmed.fq.gz	131775	105142
MP_E253_NO20_R1_trimmed.fq.gz	132791	122834
MP_E254_NO20_R1_trimmed.fq.gz	146276	127424
MP_E255_1B_NO20_R1_trimmed.fq.gz	169574	73889
MP_E255_2B_NO20_R1_trimmed.fq.gz	143777	109747
MP_E256_1B_NO20_R1_trimmed.fq.gz	161263	137704
MP_E256_2B_NO20_R1_trimmed.fq.gz	189994	127875
MP_E257_1B_NO20_R1_trimmed.fq.gz	126130	114707
MP_E257_2B_NO20_R1_trimmed.fq.gz	168347	152672
MP_E258_1B_NO20_R1_trimmed.fq.gz	143272	112054
MP_E258_2B_NO20_R1_trimmed.fq.gz	148433	115210
MP_E259_1B_NO20_R1_trimmed.fq.gz	138470	57106
MP_E259_2B_NO20_R1_trimmed.fq.gz	142340	107637
MP_E260_1B_NO20_R1_trimmed.fq.gz	150694	127353
MP_E260_2B_NO20_R1_trimmed.fq.gz	166286	154994
MP_E261_1B_NO20_R1_trimmed.fq.gz	107195	97361
MP_E261_2B_NO20_R1_trimmed.fq.gz	129888	88193
MP_E262_1B_NO20_R1_trimmed.fq.gz	149260	139528
MP_E262_2B_NO20_R1_trimmed.fq.gz	162801	153200
MP_E263_2B_NO20_R1_trimmed.fq.gz	162063	148639
MP_E264_1B_NO20_R1_trimmed.fq.gz	187478	172679
MP_E264_2B_NO20_R1_trimmed.fq.gz	155511	142236
MP_E265_1B_NO20_R1_trimmed.fq.gz	139205	124311
MP_E265_2B_NO20_R1_trimmed.fq.gz	171247	157408
MP_E266_1B_NO20_R1_trimmed.fq.gz	145164	135007
MP_E266_2B_NO20_R1_trimmed.fq.gz	164960	152285
MP_E267_1B_NO20_R1_trimmed.fq.gz	154139	116540
MP_E267_2B_NO20_R1_trimmed.fq.gz	150527	90116
MP_E268_1B_NO20_R1_trimmed.fq.gz	144445	104801
MP_E268_2B_NO20_R1_trimmed.fq.gz	153525	56612
MP_E269_1B_NO20_R1_trimmed.fq.gz	159158	144737
MP_E269_2B_NO20_R1_trimmed.fq.gz	170828	148679
MP_E270_1B_NO20_R1_trimmed.fq.gz	139531	103786
MP_E270_2B_NO20_R1_trimmed.fq.gz	134665	118577
MP_E271_1B_NO20_R1_trimmed.fq.gz	172274	151100
MP_E271_2B_NO20_R1_trimmed.fq.gz	167980	152003
MP_E272_1B_NO20_R1_trimmed.fq.gz	148767	124921
MP_E272_2B_NO20_R1_trimmed.fq.gz	131529	113603
MP_E273_1B_NO20_R1_trimmed.fq.gz	145659	124329
MP_E273_2B_NO20_R1_trimmed.fq.gz	139901	118743
MP_E274_1B_NO20_R1_trimmed.fq.gz	149224	95243
MP_E274_2B_NO20_R1_trimmed.fq.gz	133016	103166
MP_E275_1B_NO20_R1_trimmed.fq.gz	146033	91314
MP_E275_2B_NO20_R1_trimmed.fq.gz	144476	133931
MP_E276_1B_NO20_R1_trimmed.fq.gz	160913	144974
MP_E276_2B_NO20_R1_trimmed.fq.gz	156517	136133
MP_E277_1B_NO20_R1_trimmed.fq.gz	139492	129379
MP_E277_2B_NO20_R1_trimmed.fq.gz	167143	156126
MP_E277_3B_NO20_R1_trimmed.fq.gz	174207	101997
MP_E278_1B_NO20_R1_trimmed.fq.gz	170813	97674
MP_E278_2B_NO20_R1_trimmed.fq.gz	191566	159023
MP_E278_3B_NO20_R1_trimmed.fq.gz	181095	140382
MP_E279_1B_NO20_R1_trimmed.fq.gz	150899	54367
MP_E279_2B_NO20_R1_trimmed.fq.gz	161313	81282
MP_E280_1B_NO20_R1_trimmed.fq.gz	165815	89101
MP_E280_2B_NO20_R1_trimmed.fq.gz	161079	147475
MP_E280_3B_NO20_R1_trimmed.fq.gz	185390	165963
MP_E281_1B_NO20_R1_trimmed.fq.gz	145621	119424
MP_E281_2B_NO20_R1_trimmed.fq.gz	176733	146960
MP_E281_3B_NO20_R1_trimmed.fq.gz	158734	79965
MP_E282_1B_NO20_R1_trimmed.fq.gz	183231	169745
MP_E282_2B_NO20_R1_trimmed.fq.gz	157789	133638
MP_E282_3B_NO20_R1_trimmed.fq.gz	164444	152045
MP_E283_1B_NO20_R1_trimmed.fq.gz	133968	56826
MP_E283_2B_NO20_R1_trimmed.fq.gz	182112	155504
MP_E283_3B_NO20_R1_trimmed.fq.gz	174163	145164
MP_E284_1B_NO20_R1_trimmed.fq.gz	152484	141144
MP_E284_2B_NO20_R1_trimmed.fq.gz	154105	129479
MP_E284_3B_NO20_R1_trimmed.fq.gz	127578	118245
MP_E285_1B_NO20_R1_trimmed.fq.gz	159815	119237
MP_E285_2B_NO20_R1_trimmed.fq.gz	168471	142566
MP_E285_3B_NO20_R1_trimmed.fq.gz	162314	147185
MP_E286_1B_NO20_R1_trimmed.fq.gz	160580	121529
MP_E286_2B_NO20_R1_trimmed.fq.gz	151353	96893
MP_E286_3B_NO20_R1_trimmed.fq.gz	180863	137368
MP_E287_1B_NO20_R1_trimmed.fq.gz	186053	172841
MP_E287_2B_NO20_R1_trimmed.fq.gz	140634	128182
MP_E287_3B_NO20_R1_trimmed.fq.gz	145640	128828
MP_E288_1B_NO20_R1_trimmed.fq.gz	134187	125187
MP_E288_2B_NO20_R1_trimmed.fq.gz	204746	190879
MP_E289_1B_NO20_R1_trimmed.fq.gz	159667	110001
MP_E289_2B_NO20_R1_trimmed.fq.gz	181265	83547
MP_E289_3B_NO20_R1_trimmed.fq.gz	161885	141538
MP_E290_1B_NO20_R1_trimmed.fq.gz	173244	127843
MP_E290_2B_NO20_R1_trimmed.fq.gz	157919	132156
MP_E290_3B_NO20_R1_trimmed.fq.gz	143692	112368
MP_E291_1B_NO20_R1_trimmed.fq.gz	193092	164951
MP_E291_2B_NO20_R1_trimmed.fq.gz	176286	163291
MP_E291_3B_NO20_R1_trimmed.fq.gz	173656	151774
MP_E292_1B_NO20_R1_trimmed.fq.gz	184131	168742
MP_E292_2B_NO20_R1_trimmed.fq.gz	156895	144939
MP_E292_3B_NO20_R1_trimmed.fq.gz	156915	136146
MP_E293_1B_NO20_R1_trimmed.fq.gz	192049	173051
MP_E293_2B_NO20_R1_trimmed.fq.gz	198696	178421
MP_E293_3B_NO20_R1_trimmed.fq.gz	187432	173098
MP_E294_1B_NO20_R1_trimmed.fq.gz	177417	157212
MP_E294_2B_NO20_R1_trimmed.fq.gz	200897	116063
MP_E294_3B_NO20_R1_trimmed.fq.gz	178371	120422
MP_E295_1B_NO20_R1_trimmed.fq.gz	170904	160461
MP_E295_2B_NO20_R1_trimmed.fq.gz	168683	152581
MP_E295_3B_NO20_R1_trimmed.fq.gz	219321	189403
MP_E296_1B_NO20_R1_trimmed.fq.gz	201359	188213
MP_E296_2B_NO20_R1_trimmed.fq.gz	196843	175996
MP_E296_3B_NO20_R1_trimmed.fq.gz	184202	170662
MP_E297_1B_NO20_R1_trimmed.fq.gz	153198	132689
MP_E297_2B_NO20_R1_trimmed.fq.gz	177248	130260
MP_E297_3B_NO20_R1_trimmed.fq.gz	207454	167350
MP_E298_1B_NO20_R1_trimmed.fq.gz	162844	140716
MP_E298_2B_NO20_R1_trimmed.fq.gz	202697	175062
MP_E298_3B_NO20_R1_trimmed.fq.gz	198930	152622
MP_E299_1B_NO20_R1_trimmed.fq.gz	169377	125193
MP_E299_2B_NO20_R1_trimmed.fq.gz	166682	152339
MP_E299_3B_NO20_R1_trimmed.fq.gz	139974	124940
MP_E300_1B_NO20_R1_trimmed.fq.gz	158971	148629
MP_E300_2B_NO20_R1_trimmed.fq.gz	146817	114703
MP_E300_3B_NO20_R1_trimmed.fq.gz	151820	121503
MP_E611_1B_WCOA21_R1_trimmed.fq.gz	124342	114046
MP_E614_WCOA21_R1_trimmed.fq.gz	125185	108247
MP_E619_WCOA21_R1_trimmed.fq.gz	149059	133489
MP_E624_WCOA21_R1_trimmed.fq.gz	124578	116159
MP_E645_WCOA21_R1_trimmed.fq.gz	102051	94314
MP_E668_WCOA21_R1_trimmed.fq.gz	121153	113225
MP_E671_WCOA21_R1_trimmed.fq.gz	133863	124108
MP_E678_WCOA21_R1_trimmed.fq.gz	130754	121667
MP_E697_WCOA21_R1_trimmed.fq.gz	124773	115131
MP_E731_WCOA21_R1_trimmed.fq.gz	162996	152397
