Percent	Sample	TerminalTaxa
0.022387892627667	MP_E51_1B_DY20	zzOther
0.0296063831362042	MP_E51_2B_DY20	zzOther
0.00102343670044008	MP_E52_2B_DY20	zzOther
0.0108352796706075	MP_E53_1B_DY20	zzOther
0.0348253833512902	MP_E53_2B_DY20	zzOther
0.00352174678640606	MP_E55_1B_DY20	zzOther
0.00650378303379799	MP_E55_2B_DY20	zzOther
0.00231000231000231	MP_E64_1B_DY20	zzOther
0.00112676056338028	MP_E65_2B_DY20	zzOther
0.0963070411147837	MP_E72_1B_DY20	zzOther
0.0620432068892777	MP_E72_2B_DY20	zzOther
0.00342225492376927	MP_E239_1B_NO20	zzOther
0.00202232648438764	MP_E241_1B_NO20	zzOther
0.00291919663708547	MP_E243_2B_NO20	zzOther
0.0122115032360484	MP_E253_NO20	zzOther
0.0341458025770038	MP_E255_1B_NO20	zzOther
0.00967977542921004	MP_E261_2B_NO20	zzOther
0.00914014121518177	MP_E263_2B_NO20	zzOther
0.00643624895410955	MP_E267_1B_NO20	zzOther
0.00369689183818704	MP_E267_2B_NO20	zzOther
0.00267367764359877	MP_E268_1B_NO20	zzOther
0.00527509627050694	MP_E268_2B_NO20	zzOther
0.0238577020614822	MP_E269_2B_NO20	zzOther
0.012618663974685	MP_E271_1B_NO20	zzOther
0.00334389446669063	MP_E281_2B_NO20	zzOther
0.0336945633366724	MP_E283_1B_NO20	zzOther
0.00716662400819043	MP_E287_2B_NO20	zzOther
0.00822105503539621	MP_E287_3B_NO20	zzOther
0.00834611331935359	MP_E288_1B_NO20	zzOther
0.00253513271419759	MP_E289_1B_NO20	zzOther
0.00510013260344769	MP_E289_2B_NO20	zzOther
0.00242058465187958	MP_E289_3B_NO20	zzOther
0.0153515505066012	MP_E290_2B_NO20	zzOther
0.0179992800287988	MP_E293_1B_NO20	zzOther
0.0076705298244146	MP_E293_3B_NO20	zzOther
0.00191349106878044	MP_E295_2B_NO20	zzOther
0.0634099107976795	MP_E297_1B_NO20	zzOther
0.0813720027241931	MP_E297_2B_NO20	zzOther
0.0828463737320078	MP_E297_3B_NO20	zzOther
0.00369160344795762	MP_E299_1B_NO20	zzOther
0.00275973727301161	MP_E299_2B_NO20	zzOther
0.0111518774185634	MP_E300_1B_NO20	zzOther
0.0113735882533581	MP_E300_2B_NO20	zzOther
0.0198454699407282	MP_E63_1B_DY20	zzOther
0.00342850285851426	MP_E25_2B_DY20	zzOther
0.0216436162153973	MP_E26_1B_DY20	zzOther
0.0156617071260767	MP_E26_2B_DY20	zzOther
0.0537979030264182	MP_E27_2B_DY20	zzOther
0.0129267289499971	MP_E28_1B_DY20	zzOther
0.0308554068166714	MP_E28_2B_DY20	zzOther
0.00432666306111412	MP_E29_1B_DY20	zzOther
0.00314225786939205	MP_E29_2B_DY20	zzOther
0.00974222083666192	MP_E31_1B_DY20	zzOther
0.00684429234905891	MP_E31_2B_DY20	zzOther
0.0314963464238148	MP_E32_2B_DY20	zzOther
0.00775928959393051	MP_E33_2B_DY20	zzOther
0.0280747724773647	MP_E34_1B_DY20	zzOther
0.0259621575591418	MP_E35_1B_DY20	zzOther
0.012203249819298	MP_E35_2B_DY20	zzOther
0.00353020086842941	MP_E36_2B_DY20	zzOther
0.0230970219277352	MP_E37_1B_DY20	zzOther
0.0113709193905187	MP_E37_2B_DY20	zzOther
0.0540602714515758	MP_E38_1B_DY20	zzOther
0.0269505457485514	MP_E38_2B_DY20	zzOther
0.0124105873592527	MP_E39_1B_DY20	zzOther
0.00307307778984245	MP_E39_2B_DY20	zzOther
0.0117153635277303	MP_E40_2B_DY20	zzOther
0.00113605380350813	MP_E42_2B_DY20	zzOther
0.0118966891514092	MP_E43_1B_DY20	zzOther
0.0161386433608104	MP_E43_2B_DY20	zzOther
0.0378709632995937	MP_E44_DY20	zzOther
0.014566907627597	MP_E47_1B_DY20	zzOther
0.0108688563789318	MP_E47_2B_DY20	zzOther
0.00387829897806822	MP_E48_1B_DY20	zzOther
0.00822969066650207	MP_E48_2B_DY20	zzOther
0.0770955985421923	MP_E49_1B_DY20	zzOther
0.0694578429480996	MP_E49_2B_DY20	zzOther
0.0096185702529684	MP_E50_1B_DY20	zzOther
0.0156032454750588	MP_E50_2B_DY20	zzOther
0.0100745516824501	MP_E51_1B_DY20	zzOther
0.0207244681953429	MP_E51_2B_DY20	zzOther
0.000928746563637715	MP_E52_1B_DY20	zzOther
0.04334111868243	MP_E53_1B_DY20	zzOther
0.0587678344053022	MP_E53_2B_DY20	zzOther
0.0077555452148286	MP_E54_1B_DY20	zzOther
0.0074961715980767	MP_E54_2B_DY20	zzOther
0.0316957210776545	MP_E55_1B_DY20	zzOther
0.0140915299065623	MP_E55_2B_DY20	zzOther
0.00565329474017457	MP_E57_2B_DY20	zzOther
0.0154455063230042	MP_E58_1B_DY20	zzOther
0.0244589904260523	MP_E58_2B_DY20	zzOther
0.00371885459278542	MP_E59_1B_DY20	zzOther
0.0367858938359104	MP_E60_1B_DY20	zzOther
0.0360464277990051	MP_E60_2B_DY20	zzOther
0.00451309361284426	MP_E61_1B_DY20	zzOther
0.00210422212168717	MP_E61_2B_DY20	zzOther
0.048099585381574	MP_E62_1B_DY20	zzOther
0.0167518217606165	MP_E62_2B_DY20	zzOther
0.00225237907539839	MP_E63_2B_DY20	zzOther
0.00577500577500578	MP_E64_1B_DY20	zzOther
0.0169836956521739	MP_E64_2B_DY20	zzOther
0.00455518607935134	MP_E65_1B_DY20	zzOther
0.00788732394366197	MP_E65_2B_DY20	zzOther
0.00777496151394051	MP_E66_2B_DY20	zzOther
0.00296897421940719	MP_E67_1B_DY20	zzOther
0.0131741260165036	MP_E67_2B_DY20	zzOther
0.0234390494563944	MP_E68_1B_DY20	zzOther
0.103899998928866	MP_E69_2B_DY20	zzOther
0.0363297286169272	MP_E70_1B_DY20	zzOther
0.0259968153901147	MP_E70_2B_DY20	zzOther
0.00382621338792064	MP_E71_1B_DY20	zzOther
0.00847681121199563	MP_E71_2B_DY20	zzOther
0.0594487908115949	MP_E72_1B_DY20	zzOther
0.0124086413778555	MP_E72_2B_DY20	zzOther
0.0586011190405472	MP_E233_1B_NO20	zzOther
0.0223560271849291	MP_E233_2B_NO20	zzOther
0.0028952568454729	MP_E234_3B_NO20	zzOther
0.0017620990123435	MP_E235_1B_NO20	zzOther
0.0980617874532075	MP_E235_3B_NO20	zzOther
0.121354247808654	MP_E237_1B_NO20	zzOther
0.069089510171075	MP_E238_1B_NO20	zzOther
0.0402114953542889	MP_E239_1B_NO20	zzOther
0.00696524343525806	MP_E239_2B_NO20	zzOther
0.0129092223484457	MP_E240_1B_NO20	zzOther
0.0033687898464674	MP_E240_2B_NO20	zzOther
0.0269643531251685	MP_E241_1B_NO20	zzOther
0.015845805903283	MP_E241_2B_NO20	zzOther
0.00993226197334181	MP_E242_1B_NO20	zzOther
0.00214253576249277	MP_E242_2B_NO20	zzOther
0.0687365068300853	MP_E243_1B_NO20	zzOther
0.0340572940993305	MP_E243_2B_NO20	zzOther
0.00694818391842832	MP_E245_1B_NO20	zzOther
0.00689073024513773	MP_E245_2B_NO20	zzOther
0.0367829327192183	MP_E247_1B_NO20	zzOther
0.0123735030270891	MP_E247_2B_NO20	zzOther
0.0216194513292102	MP_E248_1B_NO20	zzOther
0.0264944852219649	MP_E248_2B_NO20	zzOther
0.0287632556977739	MP_E249_2B_NO20	zzOther
0.0560368981421613	MP_E250_1B_NO20	zzOther
0.0420124837094451	MP_E250_2B_NO20	zzOther
0.0148524799273102	MP_E251_1B_NO20	zzOther
0.00676041103299081	MP_E251_2B_NO20	zzOther
0.00412340527301066	MP_E252_1B_NO20	zzOther
0.00844083676828496	MP_E252_2B_NO20	zzOther
0.0480827939919404	MP_E253_NO20	zzOther
0.00231715700283466	MP_E254_NO20	zzOther
0.00524086124819845	MP_E255_2B_NO20	zzOther
0.0521157305448616	MP_E256_1B_NO20	zzOther
0.0283715538694746	MP_E256_2B_NO20	zzOther
0.0140819727279128	MP_E259_1B_NO20	zzOther
0.0320993866414499	MP_E259_2B_NO20	zzOther
0.0144900536131984	MP_E261_1B_NO20	zzOther
0.0043998979223682	MP_E261_2B_NO20	zzOther
0.0426539923375149	MP_E263_2B_NO20	zzOther
0.01688813148178	MP_E264_1B_NO20	zzOther
0.0297125699809214	MP_E265_1B_NO20	zzOther
