ASV	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_10090	Eukaryota	Dinophyceae__p	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gyrodinium	Gyrodinium sp_
ASV_10091	Eukaryota	Ciliophora	NA	NA	NA	NA	NA
ASV_10092	Eukaryota	Tubulinea	Elardia	Euamoebida	Hartmannellidae	Nolandella	NA
ASV_10093	Eukaryota	Ciliophora	Nassophorea	Microthoracida	NA	NA	NA
ASV_10094	Eukaryota	Ciliophora	Spirotrichea	Choreotrichida	NA	NA	NA
ASV_10095	Eukaryota	Ciliophora	Spirotrichea	Choreotrichida	NA	NA	NA
ASV_10096	Eukaryota	Annelida	Polychaeta	Sabellida	Sabellidae	NA	NA
ASV_10097	Unknown	NA	NA	NA	NA	NA	NA
ASV_10098	Eukaryota	Picozoa	NA	NA	NA	NA	NA
ASV_10099	Eukaryota	Dinophyceae__p	Dinophyceae	Gymnodiniales	Ceratoperidiniaeceae	Pseliodinium	NA
ASV_101	Eukaryota	Annelida	Polychaeta	Phyllodocida	Goniadidae	Glycinde	Glycinde armigera
ASV_1010	Eukaryota	Arthropoda	Hexanauplia	Siphonostomatoida	Asterocheridae	Asterocheres	Asterocheres aesthetes
ASV_10100	Unknown	NA	NA	NA	NA	NA	NA
ASV_10101	Eukaryota	Dinophyceae__p	Dinophyceae	Gymnodiniales	NA	NA	NA
ASV_10102	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Microcalanus	NA
ASV_10103	Eukaryota	Dinophyceae__p	Dinophyceae	Syndiniales	Syndiniaceae	NA	NA
ASV_10104	Eukaryota	Cercozoa	Imbricatea	Thaumatomonadida	Thaumatomastigidae	Protaspis	Protaspis grandis
ASV_10105	Unknown	NA	NA	NA	NA	NA	NA
ASV_10106	Eukaryota	Dinophyceae__p	Dinophyceae	Coutea__f__o	NA	NA	NA
ASV_10107	Eukaryota	Dinophyceae__p	Dinophyceae	Gymnodiniales	Kareniaceae	Takayama	Takayama acrotrocha
ASV_10108	Eukaryota	Cercozoa	Glissomonadida__c	Glissomonadida	Viridiraptoridae	NA	NA
ASV_10109	Eukaryota	Choanoflagellata__p	Choanoflagellata	Acanthoecida	Stephanoecidae	NA	NA
ASV_1011	Eukaryota	Dinophyceae__p	Dinophyceae	NA	NA	NA	NA
ASV_10110	Eukaryota	Cnidaria	Hydrozoa	Trachymedusae	Rhopalonematidae	NA	NA
ASV_10111	Eukaryota	Dinophyceae__p	Dinophyceae	NA	NA	NA	NA
ASV_10112	Eukaryota	Ciliophora	Oligohymenophorea	Philasterida	Orchitophryidae	Mesanophrys	Mesanophrys sp_
ASV_10113	Eukaryota	Dinophyceae__p	Dinophyceae	Gymnodiniales	Kareniaceae	Karenia	NA
ASV_10114	Eukaryota	Telonemida__c__p	Telonemida__c	Telonemida	Telonema__f	NA	NA
ASV_10115	Unknown	NA	NA	NA	NA	NA	NA
ASV_10116	Eukaryota	Ciliophora	Spirotrichea	Strombidiidae__o	Strombidiidae	Strombidium	NA
ASV_10117	Unknown	NA	NA	NA	NA	NA	NA
ASV_10118	Unknown	NA	NA	NA	NA	NA	NA
ASV_10119	Eukaryota	Dinophyceae__p	Dinophyceae	Gymnodiniales	NA	NA	NA
ASV_1012	Eukaryota	Bigyra__p	Bigyra	Oblongichytrida	Oblongichytrium__f	NA	NA
ASV_10120	Unknown	NA	NA	NA	NA	NA	NA
ASV_10121	Eukaryota	Cercozoa	Cercomonadida__c	Cercomonadida	NA	NA	NA
ASV_10122	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Chaetocerotales	Chaetocerotaceae	Chaetoceros	NA
ASV_10123	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Chaetocerotales	Chaetocerotaceae	NA	NA
ASV_10124	Eukaryota	Cercozoa	Cercomonadida__c	Cercomonadida	Cercomonadidae	Cercomonas	Cercomonas sp_ SIC_7235
ASV_10125	Eukaryota	Cercozoa	Glissomonadida__c	Glissomonadida	Viridiraptoridae	NA	NA
ASV_10126	Unknown	NA	NA	NA	NA	NA	NA
ASV_10127	Eukaryota	Dinophyceae__p	Dinophyceae	Peridiniales	Peridiniaceae	NA	NA
ASV_10128	Eukaryota	Dinophyceae__p	Dinophyceae	Gymnodiniales	NA	NA	NA
ASV_10129	Eukaryota	Bacillariophyta	Fragilariophyceae	Fragilariales	Fragilariaceae	NA	NA
ASV_1013	Eukaryota	Annelida	Polychaeta	Nerillidae__o	Nerillidae	Paranerilla	Paranerilla limicola
ASV_10130	Unknown	NA	NA	NA	NA	NA	NA
ASV_10131	Eukaryota	Mucoromycota	NA	NA	NA	NA	NA
ASV_10132	Eukaryota	Dinophyceae__p	Dinophyceae	NA	NA	NA	NA
ASV_10133	Eukaryota	Annelida	Polychaeta	Maldanidae__o	Maldanidae	NA	NA
ASV_10134	Eukaryota	Dinophyceae__p	Dinophyceae	Prorocentrales	Prorocentraceae	Prorocentrum	Prorocentrum mariae_labouriae
ASV_10135	Eukaryota	Picozoa	Picomonadea	Picomonadida	Picomonadidae	NA	NA
ASV_10136	Eukaryota	Mucoromycota	Endogonomycetes	Endogonales	Endogonaceae	NA	NA
ASV_10137	Unknown	NA	NA	NA	NA	NA	NA
ASV_10138	Environmental Unknown	NA	NA	NA	NA	NA	NA
ASV_10139	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Chaetocerotales	Chaetocerotaceae	Chaetoceros	NA
ASV_1014	Eukaryota	Ciliophora	Heterotrichea	Heterotrichida	Peritromidae	NA	NA
ASV_10140	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	NA
ASV_10141	Eukaryota	Dinophyceae__p	Dinophyceae	Prorocentrales	Prorocentraceae	Prorocentrum	Prorocentrum mariae_labouriae
ASV_10142	Eukaryota	Dinophyceae__p	Dinophyceae	Blastodiniales	Blastodinium__f	NA	NA
ASV_10143	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Chaetocerotales	NA	NA	NA
ASV_10144	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Chaetocerotales	Chaetocerotaceae	NA	NA
ASV_10145	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Chaetocerotales	Chaetocerotaceae	Chaetoceros	NA
ASV_10146	Eukaryota	Dinophyceae__p	Dinophyceae	NA	NA	NA	NA
ASV_10147	Eukaryota	Dinophyceae__p	Dinophyceae	Gymnodiniales	NA	NA	NA
ASV_10148	Eukaryota	Annelida	Polychaeta	Sabellida	Sabellidae	Chone	Chone infundibuliformis
