x	MP_E446_1B_PCR2	MP_E446_1B_PCR3	MP_E446_2B_PCR2	MP_E446_2B_PCR3	MP_E446_3B_PCR2	MP_E446_3B_PCR3	MP_E449_1B_PCR2	MP_E449_1B_PCR3	MP_E449_2B_PCR2	MP_E449_2B_PCR3	MP_E449_3B_PCR2	MP_E449_3B_PCR3	MP_E475_PCR2	MP_E475_PCR3	MP_E486_PCR2	MP_E486_PCR3	MP_E492_1B_PCR2	MP_E492_1B_PCR3	MP_E573_1B_PCR2	MP_E573_1B_PCR3	MP_E573_2B_PCR2	MP_E573_2B_PCR3	MP_E573_3B_PCR2	MP_E573_3B_PCR3	MP_E598_1B_PCR2	MP_E598_1B_PCR3	MP_E598_2B_PCR2	MP_E598_2B_PCR3	MP_E598_3B_PCR2	MP_E598_3B_PCR3
ASV_109	0	0	71	0	0	284	53	41	48	41	0	28	0	0	0	0	0	0	0	0	0	0	0	0	458	112	0	0	0	0
ASV_11	769	9	79	93	0	0	67384	89865	115	184	10859	12249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11702	12054	632	124
ASV_110	0	0	0	0	0	0	34	5	28	38	102	44	396	480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_111	0	0	290	0	0	0	0	0	0	0	0	0	0	0	0	821	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_113	5910	550	3305	5587	4814	5780	404	578	529	538	536	584	9	15	1418	1656	2459	1298	1797	1033	1809	1735	2477	2515	1628	1406	2152	2006	2247	1747
ASV_114	99989	9097	115303	143083	35107	36823	3807	3886	5609	4368	8967	15187	1596	1725	122822	60363	0	183	115988	78517	60977	47608	19086	22631	1866	0	37386	0	7587	15171
ASV_115	23955	2873	15163	16003	51495	50182	52142	64921	11486	24063	13361	16877	0	14	8145	20495	0	3221	17909	16484	64254	55157	38610	39568	51770	34398	17713	4101	18445	0
ASV_116	789	34	353	994	1630	860	14	51	48	7	47	38	0	0	5989	7069	20515	13448	2374	0	0	287	485	633	6092	8432	16625	6765	8560	8164
ASV_118	0	0	0	0	0	0	660	319	1536	130	785	718	0	0	0	0	0	0	4756	0	510	0	7797	0	0	0	0	0	0	0
ASV_12	10377	891	5863	10233	6147	9655	443	516	497	618	430	555	0	0	2119	2709	1336	782	5743	2608	4727	5150	4590	4666	3510	2226	4023	3608	5100	3403
ASV_121	801	0	233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_126	0	0	0	0	824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0	0	0	0	0	0	0
ASV_127	0	0	288	0	0	0	216	24	50	77	200	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_128	20	12	18	304	604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_129	0	0	526	423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_133	681	62	0	310	367	533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_134	0	0	146	285	398	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_135	191	0	0	0	0	519	0	0	76	54	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
