Sample_Name,Biological_Replicate,Technical_Replicate,Negative_control,Cruise_ID_short,Cruise_ID_long,Collection_Date_UTC,Collection_Date_local,Collection_Time_UTC,Collection_Time_local,Field_Sample_Name,Cast_No.,Rosette_position,Field_collection_method,Preservation,Area.within.region,Station,Depth_m,Lat,Lon,Sample_volume_ml,Personnel_responsible_for_Collecting_Sample,Field_Notes
E1757.DY2306,1,1,FALSE,DY2306,EcoFOCI Spring Mooring,4/27/2023,NA,17:25,NA,NA,32,4,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,M4,30,57°51.25' N,168°54.18' W,1000,Shannon Brown,Stored in fridge for 4-10 hours before filtering
E1758.DY2306,1,1,FALSE,DY2306,EcoFOCI Spring Mooring,4/27/2023,NA,17:25,NA,NA,32,6,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,M4,10,57°51.25' N,168°54.18' W,1000,Shannon Brown,Stored in fridge for 4-10 hours before filtering
E1759.DY2306,1,1,FALSE,DY2306,EcoFOCI Spring Mooring,4/27/2023,NA,19:40,NA,NA,33,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,70M19,62,57°39.24' N,169°00.63' W,1000,Shannon Brown,Stored in fridge for 4-10 hours before filtering
E1760.DY2306,1,1,FALSE,DY2306,EcoFOCI Spring Mooring,4/27/2023,NA,19:40,NA,NA,33,4,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,70M19,30,57°39.24' N,169°00.63' W,1000,Shannon Brown,Stored in fridge for 4-10 hours before filtering
E1761.DY2306,1,1,FALSE,DY2306,EcoFOCI Spring Mooring,4/27/2023,NA,19:40,NA,NA,33,6,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,70M19,10,57°39.24' N,169°00.63' W,1000,Shannon Brown,Stored in fridge for 4-10 hours before filtering
E1762.DY2306,1,1,FALSE,DY2306,EcoFOCI Spring Mooring,4/27/2023,NA,21:42,NA,NA,34,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,70M18,66,57°31.41' N,168°36.68' W,1000,Shannon Brown,Stored in fridge for 4-10 hours before filtering
E1763.DY2306,1,1,FALSE,DY2306,EcoFOCI Spring Mooring,4/27/2023,NA,21:42,NA,NA,34,4,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,70M18,30,57°31.41' N,168°36.68' W,1000,Shannon Brown,Stored in fridge for 4-10 hours before filtering
E1764.DY2306,1,1,FALSE,DY2306,EcoFOCI Spring Mooring,4/27/2023,NA,21:42,NA,NA,34,6,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,70M18,10,57°31.41' N,168°36.68' W,1000,Shannon Brown,Stored in fridge for 4-10 hours before filtering
E1765.DY2306,1,1,FALSE,DY2306,EcoFOCI Spring Mooring,4/28/2023,NA,0:34,NA,NA,36,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,70M16,67,57°30.05' N,167°59.30' W,1000,Shannon Brown,Stored in fridge for 4-10 hours before filtering
E1766.DY2306,1,1,FALSE,DY2306,EcoFOCI Spring Mooring,4/28/2023,NA,0:34,NA,NA,36,4,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,70M16,30,57°30.05' N,167°59.30' W,1000,Shannon Brown,Stored in fridge for 4-10 hours before filtering
E1767.DY2306,1,1,FALSE,DY2306,EcoFOCI Spring Mooring,4/28/2023,NA,0:34,NA,NA,36,6,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,70M16,10,57°30.05' N,167°59.30' W,1000,Shannon Brown,Stored in fridge for 4-10 hours before filtering
E1768.DY2306,1,1,FALSE,DY2306,EcoFOCI Spring Mooring,4/28/2023,NA,3:31,NA,NA,38,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,70M14,64,57°29.87' N,167°20.57' W,1000,Shannon Brown,
E1769.DY2306,1,1,FALSE,DY2306,EcoFOCI Spring Mooring,4/28/2023,NA,3:31,NA,NA,38,4,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,70M14,30,57°29.87' N,167°20.57' W,1000,Shannon Brown,
E1770.DY2306,1,1,FALSE,DY2306,EcoFOCI Spring Mooring,4/28/2023,NA,3:31,NA,NA,38,6,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,70M14,10,57°29.87' N,167°20.57' W,1000,Shannon Brown,
E1771.NC.DY2306,NA,NA,TRUE,DY2306,EcoFOCI Spring Mooring,4/28/2023,NA,NA,NA,NA,NA,NA,Sterivex 0.22µm filter,95% EtOH,Beiring Sea,NA,NA,NA,NA,1000,Shannon Brown,
E1772.DY2306,1,1,FALSE,DY2306,EcoFOCI Spring Mooring,4/28/2023,NA,6:15,NA,NA,40,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,70M12,63,57°25.86' N,166°48.78' W,1000,Shannon Brown,
E1773.DY2306,1,1,FALSE,DY2306,EcoFOCI Spring Mooring,4/28/2023,NA,6:15,NA,NA,40,4,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,70M12,30,57°25.86' N,166°48.78' W,1000,Shannon Brown,
