ASVs_new	ASVs_original
ASV_276	ASV_206;ASV_385
ASV_277	ASV_238;ASV_325
ASV_278	ASV_251;ASV_301
ASV_279	ASV_472;ASV_224
ASV_280	ASV_258;ASV_297
ASV_281	ASV_172;ASV_612
ASV_282	ASV_208;ASV_391
ASV_283	ASV_270;ASV_295
ASV_284	ASV_220;ASV_359
ASV_285	ASV_266;ASV_300
ASV_286	ASV_221;ASV_362
ASV_287	ASV_471;ASV_228
ASV_288	ASV_314;ASV_273
ASV_289	ASV_559;ASV_221
ASV_290	ASV_236;ASV_353
ASV_291	ASV_192;ASV_528
ASV_292	ASV_460;ASV_232
ASV_293	NA;ASV_203
ASV_294	ASV_203;ASV_466
ASV_295	ASV_226;ASV_379
ASV_296	ASV_288;ASV_307
ASV_297	ASV_448;ASV_237
ASV_298	ASV_1060;ASV_206
ASV_299	ASV_294;ASV_306
ASV_300	ASV_320;ASV_285
ASV_301	ASV_273;ASV_330
ASV_302	ASV_316;ASV_291
ASV_303	ASV_262;ASV_336
ASV_304	ASV_335;ASV_278
ASV_305	ASV_546;ASV_231
ASV_306	ASV_338;ASV_279
ASV_307	ASV_261;ASV_345
ASV_308	ASV_489;ASV_244
ASV_309	ASV_250;ASV_358
ASV_310	ASV_351;ASV_276
ASV_311	NA;ASV_209
ASV_312	ASV_214;ASV_449
ASV_313	ASV_229;ASV_408
ASV_314	ASV_241;ASV_386
ASV_315	ASV_253;ASV_361
ASV_316	NA;ASV_213
ASV_317	ASV_237;ASV_396
ASV_318	ASV_965;ASV_219
ASV_319	ASV_254;ASV_369
ASV_320	ASV_361;ASV_283
ASV_321	ASV_326;ASV_310
ASV_322	ASV_301;ASV_331
ASV_323	ASV_231;ASV_427
ASV_324	ASV_341;ASV_298
ASV_325	ASV_418;ASV_265
ASV_326	NA;ASV_217
ASV_327	ASV_274;ASV_368
ASV_328	ASV_358;ASV_296
ASV_329	ASV_394;ASV_274
ASV_330	ASV_248;ASV_398
ASV_331	ASV_268;ASV_377
ASV_332	ASV_597;ASV_246
ASV_333	ASV_381;ASV_284
ASV_334	ASV_198;ASV_616
ASV_335	ASV_227;ASV_469
ASV_336	ASV_189;ASV_824
ASV_337	NA;ASV_223
ASV_338	ASV_602;ASV_248
ASV_339	ASV_306;ASV_356
ASV_340	NA;ASV_226
ASV_341	ASV_296;ASV_365
ASV_342	ASV_230;ASV_498
ASV_343	ASV_247;ASV_433
ASV_344	ASV_228;ASV_511
ASV_345	ASV_601;ASV_257
ASV_346	ASV_308;ASV_372
ASV_347	ASV_372;ASV_322
ASV_348	ASV_277;ASV_411
ASV_349	ASV_249;ASV_455
ASV_350	ASV_412;ASV_299
ASV_351	ASV_286;ASV_404
ASV_352	ASV_354;ASV_343
ASV_353	ASV_209;ASV_707
ASV_354	ASV_368;ASV_338
ASV_355	ASV_278;ASV_437
ASV_356	ASV_295;ASV_406
ASV_357	NA;ASV_233
ASV_358	ASV_383;ASV_332
ASV_359	ASV_803;ASV_253
ASV_360	ASV_321;ASV_381
ASV_361	ASV_517;ASV_282
ASV_362	ASV_347;ASV_355
ASV_363	ASV_315;ASV_390
ASV_364	ASV_259;ASV_478
ASV_365	ASV_290;ASV_426
ASV_366	ASV_318;ASV_387
ASV_367	ASV_235;ASV_565
ASV_368	ASV_4104;ASV_239
ASV_369	NA;ASV_241
ASV_370	NA;ASV_242
ASV_371	ASV_3018;ASV_243
ASV_372	ASV_336;ASV_380
ASV_373	ASV_433;ASV_320
ASV_374	ASV_272;ASV_490
ASV_375	ASV_284;ASV_461
ASV_376	ASV_223;ASV_647
ASV_377	ASV_481;ASV_309
ASV_378	ASV_422;ASV_333
ASV_379	ASV_265;ASV_513
ASV_380	ASV_449;ASV_326
ASV_381	ASV_379;ASV_357
ASV_382	ASV_252;ASV_555
ASV_383	ASV_710;ASV_272
ASV_384	ASV_355;ASV_384
ASV_385	ASV_269;ASV_525
ASV_386	ASV_305;ASV_452
ASV_387	ASV_501;ASV_315
ASV_388	ASV_342;ASV_401
ASV_389	ASV_386;ASV_360
ASV_390	ASV_377;ASV_370
ASV_391	ASV_298;ASV_484
ASV_392	ASV_311;ASV_468
ASV_393	ASV_271;ASV_542
ASV_394	ASV_302;ASV_479
ASV_395	ASV_520;ASV_319
ASV_396	ASV_325;ASV_445
ASV_397	ASV_346;ASV_413
ASV_398	ASV_300;ASV_496
ASV_399	ASV_465;ASV_342
ASV_400	NA;ASV_261
ASV_401	ASV_344;ASV_428
ASV_402	ASV_328;ASV_456
ASV_403	ASV_1016;ASV_271
ASV_404	ASV_289;ASV_539
ASV_405	ASV_369;ASV_407
ASV_406	ASV_360;ASV_423
ASV_407	ASV_387;ASV_389
ASV_408	ASV_317;ASV_500
ASV_409	ASV_234;ASV_834
ASV_410	ASV_331;ASV_472
ASV_411	NA;ASV_267
ASV_412	ASV_476;ASV_348
ASV_413	ASV_437;ASV_367
ASV_414	ASV_356;ASV_441
ASV_415	ASV_528;ASV_341
ASV_416	ASV_431;ASV_378
ASV_417	ASV_365;ASV_438
ASV_418	ASV_364;ASV_443
ASV_419	ASV_672;ASV_316
ASV_420	NA;ASV_277
ASV_421	ASV_725;ASV_317
ASV_422	ASV_851;ASV_302
ASV_423	ASV_525;ASV_354
ASV_424	ASV_304;ASV_572
ASV_425	ASV_260;ASV_727
ASV_426	ASV_404;ASV_416
ASV_427	ASV_307;ASV_576
ASV_428	ASV_390;ASV_429
ASV_429	ASV_373;ASV_448
ASV_430	ASV_1872;ASV_288
ASV_431	ASV_359;ASV_483
ASV_432	ASV_2541;ASV_287
ASV_433	ASV_297;ASV_607
ASV_434	ASV_292;ASV_621
ASV_435	ASV_312;ASV_585
ASV_436	ASV_257;ASV_799
ASV_437	ASV_349;ASV_515
ASV_438	ASV_370;ASV_480
ASV_439	ASV_392;ASV_446
ASV_440	ASV_721;ASV_334
ASV_441	ASV_283;ASV_716
ASV_442	ASV_375;ASV_471
ASV_443	ASV_650;ASV_344
ASV_444	NA;ASV_294
ASV_445	ASV_282;ASV_732
ASV_446	ASV_446;ASV_415
ASV_447	ASV_350;ASV_529
ASV_448	ASV_343;ASV_541
ASV_449	ASV_378;ASV_486
ASV_450	ASV_492;ASV_400
ASV_451	ASV_323;ASV_603
ASV_452	NA;ASV_311
ASV_453	ASV_239;ASV_2566
ASV_454	ASV_348;ASV_564
ASV_455	ASV_267;ASV_998
ASV_456	ASV_454;ASV_435
ASV_457	ASV_488;ASV_417
ASV_458	ASV_405;ASV_474
ASV_459	ASV_319;ASV_638
ASV_460	ASV_429;ASV_465
ASV_461	ASV_293;ASV_793
ASV_462	ASV_1779;ASV_323
ASV_463	ASV_263;ASV_1100
ASV_464	ASV_340;ASV_606
ASV_465	NA;ASV_321
ASV_466	ASV_558;ASV_403
ASV_467	ASV_330;ASV_658
ASV_468	NA;ASV_328
ASV_469	ASV_439;ASV_477
ASV_470	ASV_584;ASV_397
ASV_471	ASV_518;ASV_434
ASV_472	ASV_374;ASV_557
ASV_473	ASV_395;ASV_531
ASV_474	ASV_420;ASV_509
ASV_475	ASV_310;ASV_825
ASV_476	ASV_367;ASV_579
ASV_477	ASV_578;ASV_409
ASV_478	ASV_332;ASV_689
ASV_479	ASV_458;ASV_470
ASV_480	NA;ASV_337
ASV_481	ASV_634;ASV_395
ASV_482	ASV_435;ASV_507
ASV_483	ASV_1000;ASV_352
ASV_484	ASV_411;ASV_534
ASV_485	ASV_463;ASV_485
ASV_486	NA;ASV_340
ASV_487	ASV_434;ASV_514
ASV_488	ASV_256;ASV_3372
ASV_489	ASV_445;ASV_508
ASV_490	ASV_371;ASV_599
ASV_491	ASV_521;ASV_453
ASV_492	ASV_493;ASV_467
ASV_493	ASV_389;ASV_573
ASV_494	NA;ASV_346
ASV_495	ASV_417;ASV_552
ASV_496	ASV_653;ASV_412
ASV_497	ASV_322;ASV_883
ASV_498	NA;ASV_347
ASV_499	ASV_475;ASV_510
ASV_500	NA;ASV_349
ASV_501	NA;ASV_350
ASV_502	NA;ASV_351
ASV_503	ASV_333;ASV_844
ASV_504	ASV_464;ASV_523
ASV_505	ASV_484;ASV_512
ASV_506	ASV_523;ASV_491
ASV_507	ASV_453;ASV_537
ASV_508	ASV_309;ASV_1231
ASV_509	ASV_664;ASV_425
ASV_510	ASV_413;ASV_574
ASV_511	ASV_443;ASV_544
ASV_512	ASV_324;ASV_973
ASV_513	ASV_494;ASV_519
ASV_514	ASV_542;ASV_499
ASV_515	ASV_425;ASV_583
ASV_516	NA;ASV_366
ASV_517	ASV_507;ASV_520
ASV_518	ASV_2483;ASV_371
ASV_519	ASV_339;ASV_922
ASV_520	ASV_552;ASV_501
ASV_521	ASV_613;ASV_460
ASV_522	ASV_391;ASV_649
ASV_523	ASV_385;ASV_678
ASV_524	NA;ASV_374
ASV_525	ASV_457;ASV_566
ASV_526	NA;ASV_375
ASV_527	NA;ASV_376
ASV_528	ASV_766;ASV_430
ASV_529	ASV_421;ASV_619
ASV_530	ASV_380;ASV_721
ASV_531	ASV_780;ASV_431
ASV_532	ASV_384;ASV_722
ASV_533	NA;ASV_382
ASV_534	ASV_299;ASV_3182
ASV_535	ASV_470;ASV_569
ASV_536	ASV_396;ASV_686
ASV_537	NA;ASV_383
ASV_538	ASV_447;ASV_590
ASV_539	ASV_441;ASV_605
ASV_540	ASV_1364;ASV_393
ASV_541	ASV_645;ASV_473
ASV_542	ASV_1109;ASV_405
ASV_543	ASV_362;ASV_875
ASV_544	ASV_533;ASV_540
ASV_545	ASV_352;ASV_964
ASV_546	ASV_442;ASV_613
ASV_547	ASV_621;ASV_492
ASV_548	ASV_427;ASV_650
ASV_549	NA;ASV_388
ASV_550	ASV_536;ASV_546
ASV_551	ASV_505;ASV_568
ASV_552	NA;ASV_392
ASV_553	ASV_376;ASV_822
ASV_554	ASV_644;ASV_493
ASV_555	ASV_1023;ASV_422
ASV_556	ASV_426;ASV_673
ASV_557	NA;ASV_394
ASV_558	ASV_564;ASV_536
ASV_559	ASV_357;ASV_1054
ASV_560	ASV_785;ASV_451
ASV_561	NA;ASV_399
ASV_562	ASV_659;ASV_497
ASV_563	NA;ASV_402
ASV_564	ASV_514;ASV_575
ASV_565	ASV_698;ASV_488
ASV_566	ASV_399;ASV_759
ASV_567	ASV_438;ASV_674
ASV_568	ASV_401;ASV_785
ASV_569	ASV_1008;ASV_442
ASV_570	NA;ASV_410
ASV_571	ASV_419;ASV_740
ASV_572	ASV_732;ASV_489
ASV_573	ASV_432;ASV_715
ASV_574	ASV_658;ASV_517
ASV_575	ASV_440;ASV_701
ASV_576	ASV_436;ASV_714
ASV_577	ASV_345;ASV_1517
ASV_578	ASV_467;ASV_648
ASV_579	ASV_509;ASV_614
ASV_580	ASV_461;ASV_659
ASV_581	NA;ASV_418
ASV_582	ASV_641;ASV_530
ASV_583	NA;ASV_419
ASV_584	ASV_576;ASV_562
ASV_585	ASV_522;ASV_601
ASV_586	NA;ASV_420
ASV_587	ASV_366;ASV_1181
ASV_588	NA;ASV_421
ASV_589	ASV_452;ASV_697
ASV_590	NA;ASV_424
ASV_591	ASV_473;ASV_672
ASV_592	ASV_477;ASV_669
ASV_593	ASV_402;ASV_889
ASV_594	ASV_510;ASV_634
ASV_595	NA;ASV_432
ASV_596	ASV_451;ASV_726
ASV_597	ASV_588;ASV_571
ASV_598	ASV_1054;ASV_462
ASV_599	NA;ASV_436
ASV_600	ASV_503;ASV_655
ASV_601	ASV_534;ASV_627
ASV_602	ASV_524;ASV_636
ASV_603	ASV_570;ASV_591
ASV_604	NA;ASV_440
ASV_605	ASV_655;ASV_549
ASV_606	ASV_561;ASV_602
ASV_607	ASV_407;ASV_920
ASV_608	NA;ASV_444
ASV_609	ASV_1562;ASV_454
ASV_610	ASV_468;ASV_742
ASV_611	ASV_666;ASV_559
ASV_612	ASV_1372;ASV_463
ASV_613	ASV_513;ASV_681
ASV_614	NA;ASV_447
ASV_615	ASV_1122;ASV_482
ASV_616	ASV_400;ASV_1042
ASV_617	NA;ASV_450
ASV_618	ASV_812;ASV_521
ASV_619	ASV_701;ASV_547
ASV_620	ASV_406;ASV_1020
ASV_621	ASV_496;ASV_718
ASV_622	ASV_353;ASV_3721
ASV_623	ASV_604;ASV_594
ASV_624	NA;ASV_457
ASV_625	NA;ASV_458
ASV_626	ASV_499;ASV_731
ASV_627	ASV_585;ASV_617
ASV_628	ASV_543;ASV_675
ASV_629	ASV_482;ASV_756
ASV_630	ASV_718;ASV_558
ASV_631	ASV_928;ASV_516
ASV_632	ASV_535;ASV_690
ASV_633	ASV_486;ASV_764
ASV_634	NA;ASV_464
ASV_635	ASV_498;ASV_748
ASV_636	ASV_625;ASV_595
ASV_637	ASV_462;ASV_832
ASV_638	ASV_497;ASV_762
ASV_639	ASV_540;ASV_705
ASV_640	ASV_619;ASV_609
ASV_641	ASV_504;ASV_763
ASV_642	ASV_563;ASV_665
ASV_643	ASV_515;ASV_745
ASV_644	NA;ASV_475
ASV_645	NA;ASV_476
ASV_646	ASV_502;ASV_780
ASV_647	ASV_567;ASV_671
ASV_648	ASV_609;ASV_625
ASV_649	ASV_430;ASV_1102
ASV_650	ASV_487;ASV_812
ASV_651	ASV_607;ASV_629
ASV_652	ASV_551;ASV_703
ASV_653	NA;ASV_481
ASV_654	ASV_490;ASV_814
ASV_655	ASV_512;ASV_773
ASV_656	ASV_544;ASV_720
ASV_657	ASV_424;ASV_1147
ASV_658	ASV_722;ASV_577
ASV_659	ASV_913;ASV_538
ASV_660	ASV_674;ASV_596
ASV_661	NA;ASV_487
ASV_662	ASV_1049;ASV_524
ASV_663	ASV_680;ASV_597
ASV_664	ASV_1140;ASV_518
ASV_665	ASV_861;ASV_550
ASV_666	ASV_423;ASV_1253
ASV_667	NA;ASV_495
ASV_668	ASV_586;ASV_679
ASV_669	ASV_720;ASV_589
ASV_670	ASV_2803;ASV_502
ASV_671	ASV_884;ASV_556
ASV_672	ASV_891;ASV_554
ASV_673	ASV_549;ASV_752
ASV_674	ASV_403;ASV_1585
ASV_675	NA;ASV_503
ASV_676	NA;ASV_504
ASV_677	ASV_581;ASV_710
ASV_678	NA;ASV_505
ASV_679	NA;ASV_506
ASV_680	ASV_550;ASV_776
ASV_681	ASV_599;ASV_700
ASV_682	ASV_478;ASV_960
ASV_683	ASV_479;ASV_955
ASV_684	ASV_393;ASV_2314
ASV_685	ASV_568;ASV_739
ASV_686	ASV_727;ASV_611
ASV_687	ASV_572;ASV_744
ASV_688	ASV_538;ASV_831
ASV_689	ASV_483;ASV_969
ASV_690	ASV_595;ASV_723
ASV_691	ASV_491;ASV_951
ASV_692	ASV_480;ASV_979
ASV_693	ASV_415;ASV_1599
ASV_694	ASV_456;ASV_1131
ASV_695	ASV_409;ASV_1744
ASV_696	ASV_444;ASV_1240
ASV_697	ASV_573;ASV_754
ASV_698	ASV_633;ASV_677
ASV_699	ASV_635;ASV_680
ASV_700	ASV_508;ASV_927
ASV_701	ASV_560;ASV_788
ASV_702	ASV_516;ASV_905
ASV_703	ASV_590;ASV_738
ASV_704	ASV_511;ASV_929
ASV_705	ASV_519;ASV_898
ASV_706	ASV_3601;ASV_522
ASV_707	ASV_612;ASV_717
ASV_708	ASV_673;ASV_656
ASV_709	ASV_802;ASV_593
ASV_710	ASV_893;ASV_578
ASV_711	ASV_873;ASV_581
ASV_712	ASV_541;ASV_873
ASV_713	ASV_668;ASV_668
ASV_714	NA;ASV_526
ASV_715	NA;ASV_527
ASV_716	ASV_639;ASV_713
ASV_717	ASV_553;ASV_856
ASV_718	NA;ASV_532
ASV_719	NA;ASV_533
ASV_720	ASV_469;ASV_1206
ASV_721	ASV_711;ASV_652
ASV_722	ASV_626;ASV_729
ASV_723	NA;ASV_535
ASV_724	ASV_575;ASV_821
ASV_725	ASV_506;ASV_1046
ASV_726	ASV_743;ASV_641
ASV_727	ASV_532;ASV_978
ASV_728	ASV_663;ASV_712
ASV_729	ASV_565;ASV_860
ASV_730	ASV_547;ASV_911
ASV_731	ASV_485;ASV_1161
