Feature ID	Taxon	Confidence
ASV_136	Eukaryota;TSAR;Stramenopiles;Gyrista;Pelagophyceae;Pelagomonadales;Pelagomonadales_clade_B;Pelagomonadales_clade_B1;Pelagomonadales_clade_B1_sp.;	0.9993571560764929
ASV_137	Eukaryota;TSAR;Stramenopiles;Gyrista;Mediophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira	0.9962136778940288
ASV_138	Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae	0.9999999982498998
ASV_139	Eukaryota;TSAR;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-6;Dino-Group-II-Clade-6_X;Dino-Group-II-Clade-6_X_sp.;	0.9999852762369084
ASV_140	Eukaryota;TSAR;Stramenopiles;Gyrista;Bacillariophyceae;Thalassionematales;Thalassionemataceae;Thalassionema	0.9065353513536412
ASV_141	Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Balechina;Balechina_pachydermata;	0.9994175697752588
ASV_142	Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae	0.9999999713710471
ASV_143	Eukaryota;Haptista;Haptophyta;Haptophyta_X;Prymnesiophyceae;Prymnesiales;Chrysochromulinaceae;Chrysochromulina;Chrysochromulina_sp.;	0.8927832787620692
ASV_144	Eukaryota;TSAR;Alveolata;Ciliophora;Spirotrichea;Choreotrichida-Tintinnina;TIN_11;Tintinnopsis_11;Tintinnopsis_parva;	0.7203992208670562
ASV_145	Eukaryota;TSAR;Stramenopiles;Bigyra;Sagenista;Sagenista_X;MAST-7;MAST-7A;MAST-7A_sp.;	0.9999133009762515
ASV_146	Eukaryota;TSAR;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-26;Dino-Group-II-Clade-26_X;Dino-Group-II-Clade-26_X_sp.;	0.9999999602093945
ASV_147	Eukaryota;TSAR;Stramenopiles;Gyrista;Mediophyceae;Thalassiosirales;Skeletonemaceae;Skeletonema;Skeletonema_marinoi;	0.9446514048374203
ASV_148	Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae	0.9999990250240572
ASV_149	Eukaryota;TSAR;Stramenopiles;Gyrista;Coscinodiscophyceae;Coscinodiscales;Hemidiscaceae;Actinocyclus;Actinocyclus_sp.;	0.8209600471117796
ASV_150	Eukaryota;Obazoa;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;Eucalanus	0.9940839516091857
ASV_151	Eukaryota;TSAR;Stramenopiles;Gyrista;Dictyochophyceae;Dictyochophyceae_X;Florenciellales;Florenciellales_X;Florenciellales_X_sp.;	0.7141430448169525
ASV_152	Eukaryota;TSAR;Alveolata;Ciliophora;Spirotrichea;Choreotrichida;Leegaardiellidae;Leegaardiella;Leegaardiella_sp.;	0.9763232337806638
ASV_153	Eukaryota;Obazoa;Opisthokonta;Choanoflagellata;Choanoflagellatea;Acanthoecida;Stephanoecidae;Bicosta;Bicosta_minor;	0.9998140205479945
ASV_154	Eukaryota;TSAR;Telonemia;Telonemia_X;Telonemia_XX;Telonemia_XXX;Telonemia-Group-2;Telonemia-Group-2_X;Telonemia-Group-2_X_sp.;	0.9988321542916024
ASV_155	Eukaryota;TSAR;Stramenopiles;Gyrista;Bacillariophyceae;Bacillariales;Bacillariaceae;Pseudo-nitzschia	0.9870834206558415
ASV_156	Eukaryota;Obazoa;Opisthokonta;Metazoa;Annelida;Annelida_X;Annelida_XX;Eteone	0.9407998796174297
ASV_157	Eukaryota;Obazoa;Opisthokonta;Fungi;Chytridiomycota;Chytridiales;Chytridiales_X;Chytridiales_XX;Chytridiales_XX_sp.;	0.7318260657258263
ASV_158	Eukaryota;Obazoa;Opisthokonta;Metazoa;Cnidaria;Cnidaria_X;Scyphozoa;Cyanea	0.9825009970848657
