% Cruise_CSN    Bottle        Date                PrDM      DepSM      T090C      T190C      C0S/m      C1S/m      C1S/m         V0         V1         V2         V3         V4         V5         V6         V7  FlECO-AFL   CStarAt0   CStarTr0        Par Sbox0Mm/Kg Sbox1Mm/Kg   Latitude  Longitude       Sal00      Sal11  Sigma-t00  Sigma-t11    
SKQ202312S_002      11    2023 09 15 05 42 27   27.844     27.575    -1.0903    -1.0889   2.548334   2.549194   2.549194     0.2536     4.1609     0.4548     0.0000     2.6721     2.7068     2.5966     0.0000     1.1737     0.4979    88.2966 2.0914e-01    372.180    358.655   62.00980 -175.06112     31.4099    31.4200    25.2467    25.2549  
SKQ202312S_002      12    2023 09 15 05 44 26   20.426     20.229     2.5279     2.5236   2.803872   2.804554   2.804554     0.3441     4.0450     0.7840     0.0000     2.9049     2.9452     2.9734     0.0000     1.7169     0.6109    85.8350 5.8083e-01    366.063    355.124   62.00980 -175.06122     31.0466    31.0591    24.7675    24.7778  
SKQ202312S_002      13    2023 09 15 05 44 34   20.394     20.198     2.5876     2.5800   2.808474   2.808572   2.808572     0.3500     4.0457     0.7714     0.0000     2.9166     2.9534     2.9718     0.0000     1.7519     0.6102    85.8503 5.6084e-01    374.247    358.143   62.00980 -175.06122     31.0448    31.0533    24.7615    24.7689  
SKQ202312S_002      14    2023 09 15 05 46 34   10.284     10.185     7.4675     7.4689   3.171344   3.172180   3.172180     0.1844     4.0540     1.3635     0.0000     2.6699     2.6884     3.4678     0.0000     0.7582     0.6020    86.0275 2.5372e+00    293.047    279.613   62.00980 -175.06122     30.6704    30.6781    23.9486    23.9544  
SKQ202312S_002      15    2023 09 15 05 46 44   10.416     10.316     7.4634     7.4637   3.171039   3.171774   3.171774     0.1866     4.0549     1.3447     0.0000     2.6687     2.6953     3.4677     0.0000     0.7717     0.6011    86.0465 2.4248e+00    292.930    281.135   62.00980 -175.06122     30.6707    30.6783    23.9494    23.9552  
SKQ202312S_002      16    2023 09 15 05 46 58   10.468     10.368     7.4707     7.4717   3.171639   3.172463   3.172463     0.1720     4.0547     1.3340     0.0000     2.6686     2.6769     3.4710     0.0000     0.6839     0.6013    86.0434 2.3628e+00    292.993    278.248   62.00980 -175.06122     30.6707    30.6785    23.9483    23.9544  
SKQ202312S_002      17    2023 09 15 05 49 40    2.468      2.444     7.4720     7.4734   3.171441   3.147267   3.147267     0.1804     4.0514     1.8638     0.0000     2.6675     2.5984     3.8751     0.0000     0.7341     0.6046    85.9730 8.2869e+00    292.279    269.349   62.00980 -175.06122     30.6709    30.4111    23.9484    23.7441  
SKQ202312S_002      18    2023 09 15 05 49 47    2.255      2.233     7.4703     7.4732   3.171299   3.150341   3.150341     0.1829     4.0515     1.8796     0.0000     2.6667     2.6040     3.6950     0.0000     0.7491     0.6045    85.9741 8.6064e+00    292.044    269.343   62.00980 -175.06122     30.6710    30.4443    23.9486    23.7702  
SKQ202312S_002      19    2023 09 15 05 49 57    2.302      2.280     7.4725     7.4741   3.171466   3.150624   3.150624     0.1764     4.0496     1.8692     0.0000     2.6677     2.6076     3.8810     0.0000     0.7105     0.6063    85.9344 8.4115e+00    292.407    270.766   62.00980 -175.06122     30.6708    30.4464    23.9482    23.7718  
SKQ202312S_002      20    2023 09 15 05 50 10    2.029      2.010     7.4742     7.4748   3.171586   3.107727   3.107727     0.1819     4.0503     1.8946     0.0000     2.6681     2.5897     3.8805     0.0000     0.7436     0.6057    85.9487 8.9261e+00    292.511    267.689   62.00980 -175.06122     30.6708    29.9878    23.9480    23.4115  
SKQ202312S_002      21    2023 09 15 05 51 26    2.222      2.200     7.4768     7.4789   3.171790   3.090334   3.090334     0.1857     4.0540     1.8195     0.0000     2.6674     2.6204     3.7942     0.0000     0.7661     0.6020    86.0280 7.4749e+00    292.357    274.527   62.00980 -175.06122     30.6706    29.7988    23.9475    23.2625  
SKQ202312S_003       1    2023 09 15 08 07 48   75.621     74.882    -0.9855    -0.9825   2.595689   2.598250   2.598250     0.0669     3.2745     0.0128     0.0000     1.9809     1.9639     0.3718     0.0000     0.0532     1.4564    69.4819 4.3221e-06    254.253    237.427   62.05014 -175.20878     31.9119    31.9433    25.6504    25.6758  
SKQ202312S_003       2    2023 09 15 08 08 03   75.734     74.995    -0.9835    -0.9821   2.595958   2.598308   2.598308     0.0723     3.2815     0.0127     0.0000     1.9799     1.9635     0.2285     0.0000     0.0856     1.4479    69.6295 3.2848e-06    253.820    237.369   62.05014 -175.20876     31.9134    31.9436    25.6516    25.6760  
SKQ202312S_003       3    2023 09 15 08 08 11   75.698     74.959    -0.9836    -0.9823   2.595937   2.598275   2.598275     0.0676     3.2712     0.0129     0.0000     1.9794     1.9637     0.2312     0.0000     0.0573     1.4605    69.4116 5.0137e-06    253.725    237.692   62.05014 -175.20876     31.9133    31.9435    25.6515    25.6759  
SKQ202312S_003       4    2023 09 15 08 08 19   75.543     74.805    -0.9840    -0.9825   2.595876   2.598239   2.598239     0.0645     3.2613     0.0128     0.0000     1.9792     1.9656     0.2381     0.0000     0.0390     1.4726    69.2005 4.1493e-06    253.800    237.840   62.05014 -175.20874     31.9130    31.9433    25.6513    25.6758  
SKQ202312S_003       5    2023 09 15 08 11 27   51.071     50.575    -1.2846    -1.2837   2.557860   2.560127   2.560127     0.0674     4.0794     0.0130     0.0000     2.0916     2.0808     1.4787     0.0000     0.0564     0.5771    86.5665 5.8781e-06    275.077    257.628   62.05016 -175.20860     31.7305    31.7604    25.5117    25.5360  
SKQ202312S_003       6    2023 09 15 08 11 34   50.774     50.281    -1.2843    -1.2838   2.557879   2.560018   2.560018     0.0592     4.0809     0.0131     0.0000     2.0917     2.0769     1.4924     0.0000     0.0069     0.5756    86.5977 6.5697e-06    274.961    257.332   62.05016 -175.20860     31.7307    31.7593    25.5118    25.5350  
SKQ202312S_003       7    2023 09 15 08 14 10   40.376     39.984    -1.3607    -1.3624   2.546745   2.548579   2.548579     0.0884     4.1708     0.0127     0.0000     2.1795     2.1695     2.0153     0.0000     0.1825     0.4883    88.5077 3.2848e-06    290.563    272.703   62.05018 -175.20846     31.6660    31.6929    25.4613    25.4831  
SKQ202312S_003       8    2023 09 15 08 14 17   40.542     40.149    -1.3626    -1.3649   2.546582   2.548437   2.548437     0.0875     4.1681     0.0127     0.0000     2.1786     2.1753     1.9991     0.0000     0.1772     0.4909    88.4500 3.2848e-06    290.238    274.707   62.05018 -175.20846     31.6657    31.6934    25.4610    25.4836  
