time (UTC),pressure,latitude (degrees_north),longitude (degrees_east),BTLID,salinity_ch1 (PSU),salinity_ch2 (PSU),sigma_t_ch1 (kg m-3),sigma_t_ch2 (kg m-3),chlor_fluorescence (ugrams/l),par (umol m-2 s-1),temperature_ch1 (degree_C),oxy_percentsat_ch1 (percent),oxy_conc_ch1 (umol/kg),oxy_conc_ch2 (umol/kg),temperature_ch2 (degree_C),transmissometry (percent),Water_Depth (dbar),air_pressure_at_sealevel (mbar),wind_direction (degrees),wind_speed (m s-1),air_temperature (degree_C),Station_Name,profile_id,SI (uM/l),PO4 (uM/l),NO2 (uM/l),NO3 (uM/l),NH4 (uM/l),PO4_WOCE_FLAG,SI_WOCE_FLAG,NO3_WOCE_FLAG,NO2_WOCE_FLAG,NH4_WOCE_FLAG
2023-09-14T13:19:49Z,33.0,62.19483,-174.67366,NaN,31.5981,31.6196,25.405838,25.423294,0.5029,7.1412E-9,-1.3468,96.133064,356.01105,360.7634,-1.3474,NaN,NaN,NaN,NaN,NaN,NaN,,skq202312sc001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2023-09-14T13:19:49Z,34.0,62.19483,-174.67366,NaN,31.6271,31.6468,25.429707,25.445662,0.4179,1.6329E-7,-1.3611,94.83724,351.26718,354.3692,-1.36,NaN,NaN,NaN,NaN,NaN,NaN,,skq202312sc001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2023-09-14T13:19:49Z,35.0,62.19483,-174.67366,NaN,31.6404,31.6595,25.440825,25.456295,0.3707,5.3639E-7,-1.3749,93.59469,346.75748,349.8943,-1.3738,NaN,NaN,NaN,NaN,NaN,NaN,,skq202312sc001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2023-09-14T13:19:49Z,36.0,62.19483,-174.67366,NaN,31.6528,31.6712,25.45118,25.466084,0.3584,7.7141E-7,-1.3874,92.193214,341.6469,346.1211,-1.3863,NaN,NaN,NaN,NaN,NaN,NaN,,skq202312sc001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2023-09-14T13:19:49Z,37.0,62.19483,-174.67366,NaN,31.6602,31.6779,25.457178,25.47151,0.3327,7.2214E-7,-1.3872,90.878914,336.7549,340.7812,-1.3859,NaN,NaN,NaN,NaN,NaN,NaN,,skq202312sc001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2023-09-14T13:19:49Z,38.0,62.19483,-174.67366,NaN,31.6717,31.6894,25.466867,25.481205,0.2935,1.2565E-6,-1.4024,89.82417,332.9528,335.97983,-1.4014,NaN,NaN,NaN,NaN,NaN,NaN,,skq202312sc001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2023-09-14T13:19:49Z,39.0,62.19483,-174.67366,NaN,31.6787,31.6956,25.472847,25.48653,0.2352,2.1107E-6,-1.4153,89.4612,331.7044,334.3076,-1.414,NaN,NaN,NaN,NaN,NaN,NaN,,skq202312sc001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2023-09-14T13:19:49Z,40.0,62.19483,-174.67366,NaN,31.6839,31.7003,25.477182,25.490463,0.2169,1.171E-6,-1.4203,87.53846,324.60574,330.1438,-1.4191,NaN,NaN,NaN,NaN,NaN,NaN,,skq202312sc001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2023-09-14T13:19:49Z,41.0,62.19483,-174.67366,9.0,31.6902,31.7064,25.482473,25.49559,0.2078,2.7389E-6,-1.428,84.113045,311.95306,316.35992,-1.4267,NaN,NaN,NaN,NaN,NaN,NaN,,skq202312sc001,32.3,1.772,0.05,12.3,2.62,NaN,NaN,NaN,NaN,NaN
2023-09-14T13:19:49Z,42.0,62.19483,-174.67366,NaN,31.6949,31.7108,25.486443,25.49932,0.1936,1.9033E-6,-1.4347,81.950066,303.97482,306.7159,-1.4336,NaN,NaN,NaN,NaN,NaN,NaN,,skq202312sc001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2023-09-14T13:19:49Z,43.0,62.19483,-174.67366,NaN,31.7051,31.7203,25.494864,25.507172,0.1905,1.9366E-6,-1.441,81.217735,301.28537,303.181,-1.4398,NaN,NaN,NaN,NaN,NaN,NaN,,skq202312sc001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2023-09-14T13:19:49Z,44.0,62.19483,-174.67366,NaN,31.7364,31.7518,25.520573,25.533047,0.1709,1.6732E-6,-1.4544,80.96186,300.37057,301.994,-1.4533,NaN,NaN,NaN,NaN,NaN,NaN,,skq202312sc001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2023-09-14T13:19:49Z,45.0,62.19483,-174.67366,NaN,31.771,31.7874,25.549648,25.562954,0.1576,1.7927E-6,-1.4983,80.71786,299.73862,300.61115,-1.498,NaN,NaN,NaN,NaN,NaN,NaN,,skq202312sc001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2023-09-14T13:19:49Z,46.0,62.19483,-174.67366,NaN,31.7931,31.8079,25.567862,25.57985,0.1178,2.9266E-6,-1.5105,80.39321,298.57935,298.4319,-1.5093,NaN,NaN,NaN,NaN,NaN,NaN,,skq202312sc001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2023-09-14T13:19:49Z,47.0,62.19483,-174.67366,NaN,31.7959,31.8106,25.570168,25.582077,0.0908,2.7616E-6,-1.512,79.98727,297.07715,296.9685,-1.5109,NaN,NaN,NaN,NaN,NaN,NaN,,skq202312sc001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2023-09-14T13:19:49Z,48.0,62.19483,-174.67366,NaN,31.7978,31.8121,25.571722,25.58331,0.0937,2.646E-6,-1.5126,79.54756,295.4444,294.88934,-1.5116,NaN,NaN,NaN,NaN,NaN,NaN,,skq202312sc001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
