Sample	lat	long	replicates	sites	controls	group1	group2	group3	group4	group5	group6	samp_vol	depth
E1098.SKQ2021	67.78283333	-168.5949667	E1098.SKQ2021	DBO3.7	NA	mid	2021	Nov	2021_Nov	SKQ21	Niskin	1000	30
E1099.SKQ2021	67.78283333	-168.5949667	E1099.SKQ2021	DBO3.7	NA	surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	10
E1100.SKQ2021	62.20133333	-174.68	E1100.SKQ2021	M8	NA	deep	2021	Nov	2021_Nov	SKQ21	Niskin	1000	68.4
E1101.SKQ2021	62.20133333	-174.68	E1101.SKQ2021	M8	NA	mid	2021	Nov	2021_Nov	SKQ21	Niskin	1000	31.1
E1102.SKQ2021	62.20133333	-174.68	E1102.SKQ2021	M8	NA	surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	10
E1103.SKQ2021	62	-175.0666667	E1103.SKQ2021	DBO1.1	NA	deep	2021	Nov	2021_Nov	SKQ21	Niskin	1000	73.9
E1104.SKQ2021	62	-175.0666667	E1104.SKQ2021	DBO1.1	NA	mid	2021	Nov	2021_Nov	SKQ21	Niskin	1000	30.3
E1105.SKQ2021	62	-175.0666667	E1105.SKQ2021	DBO1.1	NA	surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	9.8
E1106.SKQ2021	62.04928333	-175.2086333	E1106.SKQ2021	DBO1.2	NA	deep	2021	Nov	2021_Nov	SKQ21	Niskin	1000	75.9
E1107.SKQ2021	62.04928333	-175.2086333	E1107.SKQ2021	DBO1.2	NA	mid	2021	Nov	2021_Nov	SKQ21	Niskin	1000	30.8
E1108.SKQ2021	62.04928333	-175.2086333	E1108.SKQ2021	DBO1.2	NA	surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	10
E1109.SKQ2021	62.22	-174.8778333	E1109.SKQ2021	DBO1.3	NA	deep	2021	Nov	2021_Nov	SKQ21	Niskin	1000	69.7
E1110.SKQ2021	62.22	-174.8778333	E1110.SKQ2021	DBO1.3	NA	mid	2021	Nov	2021_Nov	SKQ21	Niskin	1000	30.5
E1111.SKQ2021	62.22	-174.8778333	E1111.SKQ2021	DBO1.3	NA	surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	9.9
E1112.SKQ2021	62.39033333	-174.5716	E1112.SKQ2021	DBO1.4	NA	deep	2021	Nov	2021_Nov	SKQ21	Niskin	1000	65.4
E1113.SKQ2021	62.39033333	-174.5716	E1113.SKQ2021	DBO1.4	NA	mid	2021	Nov	2021_Nov	SKQ21	Niskin	1000	30.3
E1114.SKQ2021	62.39033333	-174.5716	E1114.SKQ2021	DBO1.4	NA	surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	10.2
E1115.SKQ2021	62.46833333	-174.0845	E1115.SKQ2021	DBO1.5	NA	deep	2021	Nov	2021_Nov	SKQ21	Niskin	1000	62.6
E1116.SKQ2021	62.46833333	-174.0845	E1116.SKQ2021	DBO1.5	NA	mid	2021	Nov	2021_Nov	SKQ21	Niskin	1000	29.5
E1117.SKQ2021	62.46833333	-174.0845	E1117.SKQ2021	DBO1.5	NA	surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	9.8
E1118.SKQ2021	62.5605	-173.55045	E1118.SKQ2021	DBO1.6	NA	deep	2021	Nov	2021_Nov	SKQ21	Niskin	1000	60.2
E1119.SKQ2021	62.5605	-173.55045	E1119.SKQ2021	DBO1.6	NA	mid	2021	Nov	2021_Nov	SKQ21	Niskin	1000	30.6
E1120.SKQ2021	62.5605	-173.55045	E1120.SKQ2021	DBO1.6	NA	surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	10.9
E1121.SKQ2021	62.7875	-173.5004167	E1121.SKQ2021	DBO1.7	NA	deep	2021	Nov	2021_Nov	SKQ21	Niskin	1000	65.6
E1122.SKQ2021	62.7875	-173.5004167	E1122.SKQ2021	DBO1.7	NA	mid	2021	Nov	2021_Nov	SKQ21	Niskin	1000	31.2
E1123.SKQ2021	62.7875	-173.5004167	E1123.SKQ2021	DBO1.7	NA	surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	10.9
E1124.SKQ2021	63.03016667	-173.461	E1124.SKQ2021	DBO1.8	NA	deep	2021	Nov	2021_Nov	SKQ21	Niskin	1000	64.9
E1125.SKQ2021	63.03016667	-173.461	E1125.SKQ2021	DBO1.8	NA	mid	2021	Nov	2021_Nov	SKQ21	Niskin	1000	30.4
E1126.SKQ2021	63.03016667	-173.461	E1126.SKQ2021	DBO1.8	NA	surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	10.8
E1127.SKQ2021	63.27833333	-173.281	E1127.SKQ2021	DBO1.9	NA	deep	2021	Nov	2021_Nov	SKQ21	Niskin	1000	60.9
E1128.SKQ2021	63.27833333	-173.281	E1128.SKQ2021	DBO1.9	NA	mid	2021	Nov	2021_Nov	SKQ21	Niskin	1000	30.6
E1129.SKQ2021	63.27833333	-173.281	E1129.SKQ2021	DBO1.9	NA	surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	10.6
E1130.SKQ2021	63.60483333	-172.5931667	E1130.SKQ2021	DBO1.10	NA	deep	2021	Nov	2021_Nov	SKQ21	Niskin	1000	45.5
E1131.SKQ2021	63.60483333	-172.5931667	E1131.SKQ2021	DBO1.10	NA	mid	2021	Nov	2021_Nov	SKQ21	Niskin	1000	29.7
E1132.SKQ2021	63.60483333	-172.5931667	E1132.SKQ2021	DBO1.10	NA	surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	10.5
E1133.SKQ2021	64.67016667	-169.9187	E1133.SKQ2021	DBO2.1	NA	deep	2021	Nov	2021_Nov	SKQ21	Niskin	1000	42.6
E1134.SKQ2021	64.67016667	-169.9187	E1134.SKQ2021	DBO2.1	NA	mid	2021	Nov	2021_Nov	SKQ21	Niskin	1000	30.1
E1135.SKQ2021	64.67016667	-169.9187	E1135.SKQ2021	DBO2.1	NA	surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	10.4
E1136.SKQ2021	64.68	-169.1006667	E1136.SKQ2021	DBO2.2	NA	deep	2021	Nov	2021_Nov	SKQ21	Niskin	1000	40.8
E1137.SKQ2021	64.68	-169.1006667	E1137.SKQ2021	DBO2.2	NA	mid	2021	Nov	2021_Nov	SKQ21	Niskin	1000	30.2
E1138.SKQ2021	64.68	-169.1006667	E1138.SKQ2021	DBO2.2	NA	surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	10
E1139.SKQ2021	64.98983333	-169.1398333	E1139.SKQ2021	DBO2.5	NA	deep	2021	Nov	2021_Nov	SKQ21	Niskin	1000	44.4
E1140.SKQ2021	64.98983333	-169.1398333	E1140.SKQ2021	DBO2.5	NA	mid	2021	Nov	2021_Nov	SKQ21	Niskin	1000	30.5
E1141.SKQ2021	64.98983333	-169.1398333	E1141.SKQ2021	DBO2.5	NA	surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	10.4
E1142.SKQ2021	64.95883333	-169.8803333	E1142.SKQ2021	DBO2.4	NA	deep	2021	Nov	2021_Nov	SKQ21	Niskin	1000	44
E1143.SKQ2021	64.95883333	-169.8803333	E1143.SKQ2021	DBO2.4	NA	mid	2021	Nov	2021_Nov	SKQ21	Niskin	1000	30.4
E1144.SKQ2021	64.95883333	-169.8803333	E1144.SKQ2021	DBO2.4	NA	surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	10.2
E1145.SKQ2021	64.66983333	-168.2356667	E1145.SKQ2021	DBO2.3	NA	deep	2021	Nov	2021_Nov	SKQ21	Niskin	1000	33.7
E1146.SKQ2021	64.66983333	-168.2356667	E1146.SKQ2021	DBO2.3	NA	surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	10.2
E1172.OC0622	47.87831667	-124.73645	E1172.OC0622	TeahwhiteHead	NA	deep	2022	Jun	2022_Jun	OCNMS	Niskin	1000	32.4282
E1173.OC0622	47.87831667	-124.73645	E1173.OC0622	TeahwhiteHead	NA	deep	2022	Jun	2022_Jun	OCNMS	Niskin	1000	32.1612
E1174.OC0622	47.87831667	-124.73645	E1174.OC0622	TeahwhiteHead	NA	deep	2022	Jun	2022_Jun	OCNMS	Niskin	1000	32.4816
E1229.OC0822.PCR1	47.87553333	-124.7332	E1229.OC0822	TeahwhiteHead	NA	deep	2022	Aug	2022_Aug	OCNMS	Niskin	1000	32.802
E1229.OC0822.PCR2	47.87553333	-124.7332	E1229.OC0822	TeahwhiteHead	NA	deep	2022	Aug	2022_Aug	OCNMS	Niskin	1000	32.802
E1229.OC0822.PCR3	47.87553333	-124.7332	E1229.OC0822	TeahwhiteHead	NA	deep	2022	Aug	2022_Aug	OCNMS	Niskin	1000	32.802
E1230.OC0822.PCR1	47.87553333	-124.7332	E1230.OC0822	TeahwhiteHead	NA	deep	2022	Aug	2022_Aug	OCNMS	Niskin	1000	32.8554
E1230.OC0822.PCR2	47.87553333	-124.7332	E1230.OC0822	TeahwhiteHead	NA	deep	2022	Aug	2022_Aug	OCNMS	Niskin	1000	32.8554
E1230.OC0822.PCR3	47.87553333	-124.7332	E1230.OC0822	TeahwhiteHead	NA	deep	2022	Aug	2022_Aug	OCNMS	Niskin	1000	32.8554
E1231.OC0822.PCR1	47.87553333	-124.7332	E1231.OC0822	TeahwhiteHead	NA	deep	2022	Aug	2022_Aug	OCNMS	Niskin	1000	33.0154
E1231.OC0822.PCR2	47.87553333	-124.7332	E1231.OC0822	TeahwhiteHead	NA	deep	2022	Aug	2022_Aug	OCNMS	Niskin	1000	33.0154
E1231.OC0822.PCR3	47.87553333	-124.7332	E1231.OC0822	TeahwhiteHead	NA	deep	2022	Aug	2022_Aug	OCNMS	Niskin	1000	33.0154
E1240.OC0922	47.87445	-124.7345	E1240.OC0922	TeahwhiteHead	NA	deep	2022	Aug	2022_Aug	OCNMS	PPS	1000	34
E1241.OC0922	47.87445	-124.7345	E1241.OC0922	TeahwhiteHead	NA	deep	2022	Aug	2022_Aug	OCNMS	PPS	1000	34
E1242.OC0922	47.87445	-124.7345	E1242.OC0922	TeahwhiteHead	NA	deep	2022	Aug	2022_Aug	OCNMS	PPS	1000	34
E1243.OC0922	47.87445	-124.7345	E1243.OC0922	TeahwhiteHead	NA	deep	2022	Aug	2022_Aug	OCNMS	PPS	1000	34
E1244.OC0922	47.87445	-124.7345	E1244.OC0922	TeahwhiteHead	NA	deep	2022	Aug	2022_Aug	OCNMS	PPS	1000	34
E1245.OC0922	47.87445	-124.7345	E1245.OC0922	TeahwhiteHead	NA	deep	2022	Aug	2022_Aug	OCNMS	PPS	1000	34
E1246.OC0922	47.87445	-124.7345	E1246.OC0922	TeahwhiteHead	NA	deep	2022	Aug	2022_Aug	OCNMS	PPS	1000	34
E1247.OC0922	47.87445	-124.7345	E1247.OC0922	TeahwhiteHead	NA	deep	2022	Aug	2022_Aug	OCNMS	PPS	1000	34
E1248.OC0922	47.87445	-124.7345	E1248.OC0922	TeahwhiteHead	NA	deep	2022	Aug	2022_Aug	OCNMS	PPS	1000	34
E1249.OC0922	47.87445	-124.7345	E1249.OC0922	TeahwhiteHead	NA	deep	2022	Sep	2022_Sep	OCNMS	PPS	1000	34
E1250.OC0922	47.87445	-124.7345	E1250.OC0922	TeahwhiteHead	NA	deep	2022	Sep	2022_Sep	OCNMS	PPS	1000	34
E1251.OC0922	47.87445	-124.7345	E1251.OC0922	TeahwhiteHead	NA	deep	2022	Sep	2022_Sep	OCNMS	PPS	1000	34
E1252.OC0922	47.87445	-124.7345	E1252.OC0922	TeahwhiteHead	NA	deep	2022	Sep	2022_Sep	OCNMS	PPS	1000	34
E1253.OC0922	47.87445	-124.7345	E1253.OC0922	TeahwhiteHead	NA	deep	2022	Sep	2022_Sep	OCNMS	PPS	1000	34
E1254.OC0922	47.87445	-124.7345	E1254.OC0922	TeahwhiteHead	NA	deep	2022	Sep	2022_Sep	OCNMS	PPS	1000	34
E1255.OC0922	47.87445	-124.7345	E1255.OC0922	TeahwhiteHead	NA	deep	2022	Sep	2022_Sep	OCNMS	PPS	1000	34
E1256.OC0922	47.87445	-124.7345	E1256.OC0922	TeahwhiteHead	NA	deep	2022	Sep	2022_Sep	OCNMS	PPS	1000	34
E1257.OC0922	47.87445	-124.7345	E1257.OC0922	TeahwhiteHead	NA	deep	2022	Sep	2022_Sep	OCNMS	PPS	1000	34
E1258.OC0922	47.87445	-124.7345	E1258.OC0922	TeahwhiteHead	NA	deep	2022	Sep	2022_Sep	OCNMS	PPS	1000	34
E1259.OC0922	47.87445	-124.7345	E1259.OC0922	TeahwhiteHead	NA	deep	2022	Sep	2022_Sep	OCNMS	PPS	1000	34
E1260.OC0922	47.87445	-124.7345	E1260.OC0922	TeahwhiteHead	NA	deep	2022	Sep	2022_Sep	OCNMS	PPS	1000	34
E1261.OC0922	47.87445	-124.7345	E1261.OC0922	TeahwhiteHead	NA	deep	2022	Sep	2022_Sep	OCNMS	PPS	1000	34
E1262.OC0922	47.87445	-124.7345	E1262.OC0922	TeahwhiteHead	NA	deep	2022	Sep	2022_Sep	OCNMS	PPS	1000	34
E1263.OC0922	47.87445	-124.7345	E1263.OC0922	TeahwhiteHead	NA	deep	2022	Sep	2022_Sep	OCNMS	PPS	1000	34
E1265.OC0922.PCR1	47.87445	-124.7345	E1265.OC0922	TeahwhiteHead	NA	deep	2022	Sep	2022_Sep	OCNMS	Niskin	1000	33.2286
E1265.OC0922.PCR2	47.87445	-124.7345	E1265.OC0922	TeahwhiteHead	NA	deep	2022	Sep	2022_Sep	OCNMS	Niskin	1000	33.2286
E1265.OC0922.PCR3	47.87445	-124.7345	E1265.OC0922	TeahwhiteHead	NA	deep	2022	Sep	2022_Sep	OCNMS	Niskin	1000	33.2286
E1266.OC0922.PCR1	47.87445	-124.7345	E1266.OC0922	TeahwhiteHead	NA	deep	2022	Sep	2022_Sep	OCNMS	Niskin	1000	32.6952
E1266.OC0922.PCR2	47.87445	-124.7345	E1266.OC0922	TeahwhiteHead	NA	deep	2022	Sep	2022_Sep	OCNMS	Niskin	1000	32.6952
E1266.OC0922.PCR3	47.87445	-124.7345	E1266.OC0922	TeahwhiteHead	NA	deep	2022	Sep	2022_Sep	OCNMS	Niskin	1000	32.6952
E1267.OC0922.PCR1	47.87445	-124.7345	E1267.OC0922	TeahwhiteHead	NA	deep	2022	Sep	2022_Sep	OCNMS	Niskin	1000	33.0688
E1267.OC0922.PCR2	47.87445	-124.7345	E1267.OC0922	TeahwhiteHead	NA	deep	2022	Sep	2022_Sep	OCNMS	Niskin	1000	33.0688
E1267.OC0922.PCR3	47.87445	-124.7345	E1267.OC0922	TeahwhiteHead	NA	deep	2022	Sep	2022_Sep	OCNMS	Niskin	1000	33.0688
E1275.OC1021	47.87788333	-124.739	E1275.OC1021	TeahwhiteHead	NA	deep	2021	Aug	2021_Aug	OCNMS	PPS	1000	34
E1276.OC1021	47.87788333	-124.739	E1276.OC1021	TeahwhiteHead	NA	deep	2021	Aug	2021_Aug	OCNMS	PPS	1000	34
E1277.OC1021	47.87788333	-124.739	E1277.OC1021	TeahwhiteHead	NA	deep	2021	Aug	2021_Aug	OCNMS	PPS	1000	34
E1278.OC1021	47.87788333	-124.739	E1278.OC1021	TeahwhiteHead	NA	deep	2021	Aug	2021_Aug	OCNMS	PPS	1000	34
E1279.OC1021	47.87788333	-124.739	E1279.OC1021	TeahwhiteHead	NA	deep	2021	Sep	2021_Sep	OCNMS	PPS	1000	34
E1280.OC1021	47.87788333	-124.739	E1280.OC1021	TeahwhiteHead	NA	deep	2021	Sep	2021_Sep	OCNMS	PPS	1000	34
E1281.OC1021	47.87788333	-124.739	E1281.OC1021	TeahwhiteHead	NA	deep	2021	Sep	2021_Sep	OCNMS	PPS	1000	34
E1282.OC1021	47.87788333	-124.739	E1282.OC1021	TeahwhiteHead	NA	deep	2021	Sep	2021_Sep	OCNMS	PPS	1000	34
E1283.OC1021	47.87788333	-124.739	E1283.OC1021	TeahwhiteHead	NA	deep	2021	Sep	2021_Sep	OCNMS	PPS	1000	34
E1284.OC1021	47.87788333	-124.739	E1284.OC1021	TeahwhiteHead	NA	deep	2021	Sep	2021_Sep	OCNMS	PPS	1000	34
E1285.OC1021	47.87788333	-124.739	E1285.OC1021	TeahwhiteHead	NA	deep	2021	Sep	2021_Sep	OCNMS	PPS	1000	34
