Sample_Name,Biological_Replicate,Technical_Replicate,Negative_control,Cruise_ID_short,Cruise_ID_long,Collection_Date_UTC,Collection_Date_local,Collection_Time_UTC,Collection_Time_local,Field_Sample_Name,Cast_No.,Rosette_position,Field_collection_method,Preservation,Area.within.region,Station,Depth_m,Lat,Lon,Sample_volume_ml,Personnel_responsible_for_Collecting_Sample,Field_Notes
E1482.RC0083,1,1,FALSE,RC_GOA_2022,RC Alaska OA Cruise 2022,8/15/22,8/14/22,0:24,16:54,NA,25,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Gulf of Alaska,SEC30,1201.3,56.52,-136.26051,1000,Kesten Bozinovic,
E1483.RC0083,1,1,FALSE,RC_GOA_2022,RC Alaska OA Cruise 2022,8/15/22,8/14/22,0:24,17:24,NA,25,6,Niskin; Sterivex 0.22µm filter,95% EtOH,Gulf of Alaska,SEC30,199.4,56.52,-136.26658,1000,Kesten Bozinovic,
E1484.RC0083,1,1,FALSE,RC_GOA_2022,RC Alaska OA Cruise 2022,8/15/22,8/14/22,0:24,17:33,NA,25,12,Niskin; Sterivex 0.22µm filter,95% EtOH,Gulf of Alaska,SEC30,3.2,56.52,-136.26862,1000,Kesten Bozinovic,Collection bottle leaked in storage; only 500 ml filtered
E1485.RC0083,1,1,FALSE,RC_GOA_2022,RC Alaska OA Cruise 2022,8/17/22,8/17/22,16:53,9:11,NA,26,2,Niskin; Sterivex 0.22µm filter,95% EtOH,Gulf of Alaska,LC5,247.7,59.33,-135.38213,1000,Kesten Bozinovic,samples taken ~ 1h after CTD was raised (to account for wind/sea spray
E1486.RC0083,1,1,FALSE,RC_GOA_2022,RC Alaska OA Cruise 2022,8/17/22,8/17/22,16:53,9:16,NA,26,3,Niskin; Sterivex 0.22µm filter,95% EtOH,Gulf of Alaska,LC5,89.8,59.33,-135.38174,1000,Kesten Bozinovic,samples taken ~ 1h after CTD was raised (to account for wind/sea spray
E1487.RC0083,1,1,FALSE,RC_GOA_2022,RC Alaska OA Cruise 2022,8/17/22,8/17/22,16:53,9:25,NA,26,8,Niskin; Sterivex 0.22µm filter,95% EtOH,Gulf of Alaska,LC5,2.8,59.33,-135.38082,1000,Kesten Bozinovic,samples taken ~ 1h after CTD was raised (to account for wind/sea spray
E1488.RC0083,1,1,FALSE,RC_GOA_2022,RC Alaska OA Cruise 2022,8/17/22,8/17/22,22:51,14:58,NA,28,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Gulf of Alaska,LC3,284.2,58.83,-135.18929,1000,Kesten Bozinovic,Potential rain contamination
E1489.RC0083,1,1,FALSE,RC_GOA_2022,RC Alaska OA Cruise 2022,8/17/22,8/17/22,22:51,15:01,NA,28,2,Niskin; Sterivex 0.22µm filter,95% EtOH,Gulf of Alaska,LC3,202.6,58.83,-135.18971,1000,Kesten Bozinovic,Potential rain contamination
E1490.RC0083,1,1,FALSE,RC_GOA_2022,RC Alaska OA Cruise 2022,8/17/22,8/17/22,22:51,15:07,NA,28,5,Niskin; Sterivex 0.22µm filter,95% EtOH,Gulf of Alaska,LC3,8.3,58.84,-135.19125,1000,Kesten Bozinovic,Potential rain contamination
E1491.RC0083,1,1,FALSE,RC_GOA_2022,RC Alaska OA Cruise 2022,8/18/22,8/17/22,1:04,17:07,NA,29,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Gulf of Alaska,JH1,50.7,58.63,-134.95188,1000,Kesten Bozinovic,
