sample	lat	long	replicate	Site	Depth	bottle	oxy_conc_ch1 (micromole_kg-1)	salinity_ch1 (PSU)	chlor_fluorescence (ugrams_l-1)	silicate µM	nitrate_plus_nitriteµM	phosphate µM	ammonia	total inroganic N	total inorganic NtoP	pressure (decibar)	time (UTC)
E278.2B.NO20	62.05	-175.21	E278	SLIP2_DBO1.2	5.436	12	287.76	32.149	NA	NA	NA	NA	NA	NA	NA	5.489	2020-10-13T23:1:12Z
E278.3B.NO20	62.05	-175.21	E278	SLIP2_DBO1.2	5.436	12	287.76	32.149	NA	NA	NA	NA	NA	NA	NA	5.489	2020-10-13T23:1:12Z
E279.1B.NO20	62.39	-174.57	E279	SLIP3_DBO1.4-cast 1	68.227	2	287.37	32.361	NA	NA	NA	NA	NA	NA	NA	68.901	2020-10-14T3:49:40Z
E279.2B.NO20	62.39	-174.57	E279	SLIP3_DBO1.4-cast 1	68.227	2	287.37	32.361	NA	NA	NA	NA	NA	NA	NA	68.901	2020-10-14T3:49:40Z
E280.1B.NO20	62.391	-174.57	E280	SLIP3_DBO1.4-cast 1	4.807	8	287.92	31.869	NA	NA	NA	NA	NA	NA	NA	4.854	2020-10-14T3:55:55Z
E280.2B.NO20	62.391	-174.57	E280	SLIP3_DBO1.4-cast 1	4.807	8	287.92	31.869	NA	NA	NA	NA	NA	NA	NA	4.854	2020-10-14T3:55:55Z
E280.3B.NO20	62.391	-174.57	E280	SLIP3_DBO1.4-cast 1	4.807	8	287.92	31.869	NA	NA	NA	NA	NA	NA	NA	4.854	2020-10-14T3:55:55Z
E281.1B.NO20	62.56	-173.55	E281	SLIP5_DBO1.6	59.292	2	276.59	32.263	NA	NA	NA	NA	NA	NA	NA	59.877	2020-10-14T9:29:57Z
E281.2B.NO20	62.56	-173.55	E281	SLIP5_DBO1.6	59.292	2	276.59	32.263	NA	NA	NA	NA	NA	NA	NA	59.877	2020-10-14T9:29:57Z
E281.3B.NO20	62.56	-173.55	E281	SLIP5_DBO1.6	59.292	2	276.59	32.263	NA	NA	NA	NA	NA	NA	NA	59.877	2020-10-14T9:29:57Z
E282.1B.NO20	62.56	-173.55	E282	SLIP5_DBO1.6	6.172	9	286.23	31.893	1.144	1.85	1.34	0.48	0.4	1.74	3.625	6.232	2020-10-14T9:35:53Z
E282.2B.NO20	62.56	-173.55	E282	SLIP5_DBO1.6	6.172	9	286.23	31.893	1.144	1.85	1.34	0.48	0.4	1.74	3.625	6.232	2020-10-14T9:35:53Z
E282.3B.NO20	62.56	-173.55	E282	SLIP5_DBO1.6	6.172	9	286.23	31.893	1.144	1.85	1.34	0.48	0.4	1.74	3.625	6.232	2020-10-14T9:35:53Z
E283.1B.NO20	63.03	-173.46	E283	SLIP4_DBO1.8	67.353	3	286.6	32.344	0.328	26.89	12.79	2.33	4.51	17.3	7.424892704	68.021	2020-10-14T14:5:43Z
E283.2B.NO20	63.03	-173.46	E283	SLIP4_DBO1.8	67.353	3	286.6	32.344	0.328	26.89	12.79	2.33	4.51	17.3	7.424892704	68.021	2020-10-14T14:5:43Z
E283.3B.NO20	63.03	-173.46	E283	SLIP4_DBO1.8	67.353	3	286.6	32.344	0.328	26.89	12.79	2.33	4.51	17.3	7.424892704	68.021	2020-10-14T14:5:43Z
E284.1B.NO20	63.031	-173.46	E284	SLIP4_DBO1.8	6.622	10	285.89	31.944	NA	NA	NA	NA	NA	NA	NA	6.687	2020-10-14T14:12:43Z
E284.2B.NO20	63.031	-173.46	E284	SLIP4_DBO1.8	6.622	10	285.89	31.944	NA	NA	NA	NA	NA	NA	NA	6.687	2020-10-14T14:12:43Z
E284.3B.NO20	63.031	-173.46	E284	SLIP4_DBO1.8	6.622	10	285.89	31.944	NA	NA	NA	NA	NA	NA	NA	6.687	2020-10-14T14:12:43Z
E285.1B.NO20	63.604	-172.59	E285	SLIP4c_DBO1.10	49.332	2	283.81	32.512	NA	NA	NA	NA	NA	NA	NA	49.821	2020-10-14T21:18:4Z
E285.2B.NO20	63.604	-172.59	E285	SLIP4c_DBO1.10	49.332	2	283.81	32.512	NA	NA	NA	NA	NA	NA	NA	49.821	2020-10-14T21:18:4Z
E285.3B.NO20	63.604	-172.59	E285	SLIP4c_DBO1.10	49.332	2	283.81	32.512	NA	NA	NA	NA	NA	NA	NA	49.821	2020-10-14T21:18:4Z
E286.1B.NO20	63.605	-172.59	E286	SLIP4c_DBO1.10	3.167	7	290.77	32.239	0.984	7.19	3.28	0.76	1.34	4.62	6.078947368	3.198	2020-10-14T21:22:8Z
E286.2B.NO20	63.605	-172.59	E286	SLIP4c_DBO1.10	3.167	7	290.77	32.239	0.984	7.19	3.28	0.76	1.34	4.62	6.078947368	3.198	2020-10-14T21:22:8Z
E286.3B.NO20	63.605	-172.59	E286	SLIP4c_DBO1.10	3.167	7	290.77	32.239	0.984	7.19	3.28	0.76	1.34	4.62	6.078947368	3.198	2020-10-14T21:22:8Z
E287.1B.NO20	64.672	-168.24	E287	UTBS2A_DBO2.3	30.27	2	275.16	30.811	NA	NA	NA	NA	NA	NA	NA	30.571	2020-10-18T16:3:37Z
E287.2B.NO20	64.672	-168.24	E287	UTBS2A_DBO2.3	30.27	2	275.16	30.811	NA	NA	NA	NA	NA	NA	NA	30.571	2020-10-18T16:3:37Z
E287.3B.NO20	64.672	-168.24	E287	UTBS2A_DBO2.3	30.27	2	275.16	30.811	NA	NA	NA	NA	NA	NA	NA	30.571	2020-10-18T16:3:37Z
E288.1B.NO20	64.674	-168.24	E288	UTBS2A_DBO2.3	3.35	6	275.34	30.815	NA	NA	NA	NA	NA	NA	NA	3.383	2020-10-18T16:7:34Z
E288.2B.NO20	64.674	-168.24	E288	UTBS2A_DBO2.3	3.35	6	275.34	30.815	NA	NA	NA	NA	NA	NA	NA	3.383	2020-10-18T16:7:34Z
E289.1B.NO20	64.681	-169.1	E289	UTBS2_DBO2.2	39.465	2	287.05	32.368	NA	NA	NA	NA	NA	NA	NA	39.859	2020-10-18T20:20:30Z
E289.2B.NO20	64.681	-169.1	E289	UTBS2_DBO2.2	39.465	2	287.05	32.368	NA	NA	NA	NA	NA	NA	NA	39.859	2020-10-18T20:20:30Z
E289.3B.NO20	64.681	-169.1	E289	UTBS2_DBO2.2	39.465	2	287.05	32.368	NA	NA	NA	NA	NA	NA	NA	39.859	2020-10-18T20:20:30Z
E290.1B.NO20	64.681	-169.1	E290	UTBS2_DBO2.2	3.502	7	288.72	32.362	1.34	8.4	4.99	1.02	2	6.99	6.852941176	3.536	2020-10-18T20:25:39Z
E290.2B.NO20	64.681	-169.1	E290	UTBS2_DBO2.2	3.502	7	288.72	32.362	1.34	8.4	4.99	1.02	2	6.99	6.852941176	3.536	2020-10-18T20:25:39Z
E290.3B.NO20	64.681	-169.1	E290	UTBS2_DBO2.2	3.502	7	288.72	32.362	1.34	8.4	4.99	1.02	2	6.99	6.852941176	3.536	2020-10-18T20:25:39Z
E291.1B.NO20	64.67	-169.92	E291	UTBS5_DBO2.1-cast 1	41.28	2	296.95	32.22	NA	NA	NA	NA	NA	NA	NA	41.692	2020-10-19T0:8:34Z
E291.2B.NO20	64.67	-169.92	E291	UTBS5_DBO2.1-cast 1	41.28	2	296.95	32.22	NA	NA	NA	NA	NA	NA	NA	41.692	2020-10-19T0:8:34Z
E291.3B.NO20	64.67	-169.92	E291	UTBS5_DBO2.1-cast 1	41.28	2	296.95	32.22	NA	NA	NA	NA	NA	NA	NA	41.692	2020-10-19T0:8:34Z
E292.1B.NO20	64.67	-169.92	E292	UTBS5_DBO2.1-cast 1	2.99	7	296.58	32.221	NA	NA	NA	NA	NA	NA	NA	3.02	2020-10-19T0:13:37Z
E292.2B.NO20	64.67	-169.92	E292	UTBS5_DBO2.1-cast 1	2.99	7	296.58	32.221	NA	NA	NA	NA	NA	NA	NA	3.02	2020-10-19T0:13:37Z
E292.3B.NO20	64.67	-169.92	E292	UTBS5_DBO2.1-cast 1	2.99	7	296.58	32.221	NA	NA	NA	NA	NA	NA	NA	3.02	2020-10-19T0:13:37Z
E293.1B.NO20	64.673	-170.64	E293	BCL-6C_DBO2.0	42.863	2	277.14	32.494	NA	NA	NA	NA	NA	NA	NA	43.291	2020-10-19T3:54:58Z
E293.2B.NO20	64.673	-170.64	E293	BCL-6C_DBO2.0	42.863	2	277.14	32.494	NA	NA	NA	NA	NA	NA	NA	43.291	2020-10-19T3:54:58Z
E293.3B.NO20	64.673	-170.64	E293	BCL-6C_DBO2.0	42.863	2	277.14	32.494	NA	NA	NA	NA	NA	NA	NA	43.291	2020-10-19T3:54:58Z
E294.1B.NO20	64.673	-170.64	E294	BCL-6C_DBO2.0	4.632	7	279.88	32.463	0.544	24.13	12.9	1.69	2.7	15.6	9.230769231	4.678	2020-10-19T4:0:13Z
E294.2B.NO20	64.673	-170.64	E294	BCL-6C_DBO2.0	4.632	7	279.88	32.463	0.544	24.13	12.9	1.69	2.7	15.6	9.230769231	4.678	2020-10-19T4:0:13Z
E294.3B.NO20	64.673	-170.64	E294	BCL-6C_DBO2.0	4.632	7	279.88	32.463	0.544	24.13	12.9	1.69	2.7	15.6	9.230769231	4.678	2020-10-19T4:0:13Z
E295.1B.NO20	64.958	-169.89	E295	UTBS4_DBO2.4	42.933	2	294.33	32.215	NA	NA	NA	NA	NA	NA	NA	43.363	2020-10-19T16:7:44Z
E295.2B.NO20	64.958	-169.89	E295	UTBS4_DBO2.4	42.933	2	294.33	32.215	NA	NA	NA	NA	NA	NA	NA	43.363	2020-10-19T16:7:44Z
E295.3B.NO20	64.958	-169.89	E295	UTBS4_DBO2.4	42.933	2	294.33	32.215	NA	NA	NA	NA	NA	NA	NA	43.363	2020-10-19T16:7:44Z
E296.1B.NO20	64.958	-169.89	E296	UTBS4_DBO2.4	3.185	7	295.12	32.215	0.644	17.2	8.86	1.51	2.46	11.32	7.496688742	3.217	2020-10-19T16:12:23Z
E296.2B.NO20	64.958	-169.89	E296	UTBS4_DBO2.4	3.185	7	295.12	32.215	0.644	17.2	8.86	1.51	2.46	11.32	7.496688742	3.217	2020-10-19T16:12:23Z
E296.3B.NO20	64.958	-169.89	E296	UTBS4_DBO2.4	3.185	7	295.12	32.215	0.644	17.2	8.86	1.51	2.46	11.32	7.496688742	3.217	2020-10-19T16:12:23Z
E297.1B.NO20	64.99	-169.14	E297	UTBS1_DBO2.5	43.127	2	291.07	32.288	NA	NA	NA	NA	NA	NA	NA	43.559	2020-10-19T19:35:31Z
E297.2B.NO20	64.99	-169.14	E297	UTBS1_DBO2.5	43.127	2	291.07	32.288	NA	NA	NA	NA	NA	NA	NA	43.559	2020-10-19T19:35:31Z
E297.3B.NO20	64.99	-169.14	E297	UTBS1_DBO2.5	43.127	2	291.07	32.288	NA	NA	NA	NA	NA	NA	NA	43.559	2020-10-19T19:35:31Z
E298.1B.NO20	64.99	-169.14	E298	UTBS1_DBO2.5	3.158	7	293.38	32.218	0.832	7.61	3.5	1.17	1.18	4.68	4	3.189	2020-10-19T19:40:28Z
E298.2B.NO20	64.99	-169.14	E298	UTBS1_DBO2.5	3.158	7	293.38	32.218	0.832	7.61	3.5	1.17	1.18	4.68	4	3.189	2020-10-19T19:40:28Z
E298.3B.NO20	64.99	-169.14	E298	UTBS1_DBO2.5	3.158	7	293.38	32.218	0.832	7.61	3.5	1.17	1.18	4.68	4	3.189	2020-10-19T19:40:28Z
