reads.in	reads.out
MP_E252_1B_NO20_R1_trimmed.fq.gz	278528	260179
MP_E252_2B_NO20_R1_trimmed.fq.gz	241227	227327
MP_E253_NO20_R1_trimmed.fq.gz	221762	208898
MP_E254_NO20_R1_trimmed.fq.gz	215008	194365
MP_E255_1B_NO20_R1_trimmed.fq.gz	192453	177825
MP_E255_2B_NO20_R1_trimmed.fq.gz	196322	185703
MP_E256_1B_NO20_R1_trimmed.fq.gz	199633	182507
MP_E256_2B_NO20_R1_trimmed.fq.gz	244900	230250
MP_E257_1B_NO20_R1_trimmed.fq.gz	183660	174276
MP_E257_2B_NO20_R1_trimmed.fq.gz	232246	221150
MP_E258_1B_NO20_R1_trimmed.fq.gz	191162	179358
MP_E258_2B_NO20_R1_trimmed.fq.gz	192453	182608
MP_E259_1B_NO20_R1_trimmed.fq.gz	172436	151431
MP_E259_2B_NO20_R1_trimmed.fq.gz	198340	181996
MP_E260_1B_NO20_R1_trimmed.fq.gz	177938	152404
MP_E260_2B_NO20_R1_trimmed.fq.gz	208924	186952
MP_E261_1B_NO20_R1_trimmed.fq.gz	182118	163842
MP_E261_2B_NO20_R1_trimmed.fq.gz	177380	160457
MP_E262_1B_NO20_R1_trimmed.fq.gz	196109	173044
MP_E262_2B_NO20_R1_trimmed.fq.gz	204189	193118
MP_E263_2B_NO20_R1_trimmed.fq.gz	231756	220793
MP_E264_1B_NO20_R1_trimmed.fq.gz	219993	207910
MP_E264_2B_NO20_R1_trimmed.fq.gz	204696	191640
MP_E265_1B_NO20_R1_trimmed.fq.gz	177253	160485
MP_E265_2B_NO20_R1_trimmed.fq.gz	200986	176998
MP_E266_1B_NO20_R1_trimmed.fq.gz	198961	173135
MP_E266_2B_NO20_R1_trimmed.fq.gz	203979	184712
MP_E267_1B_NO20_R1_trimmed.fq.gz	202073	184713
MP_E267_2B_NO20_R1_trimmed.fq.gz	237638	216999
MP_E268_1B_NO20_R1_trimmed.fq.gz	219486	200593
MP_E268_2B_NO20_R1_trimmed.fq.gz	233797	215383
MP_E269_1B_NO20_R1_trimmed.fq.gz	213617	191254
MP_E269_2B_NO20_R1_trimmed.fq.gz	201858	178333
MP_E270_1B_NO20_R1_trimmed.fq.gz	141594	109156
MP_E270_2B_NO20_R1_trimmed.fq.gz	178847	157924
MP_E271_1B_NO20_R1_trimmed.fq.gz	260793	247220
MP_E271_2B_NO20_R1_trimmed.fq.gz	233156	221323
MP_E272_1B_NO20_R1_trimmed.fq.gz	187031	161813
MP_E272_2B_NO20_R1_trimmed.fq.gz	217946	202044
MP_E273_1B_NO20_R1_trimmed.fq.gz	189936	170340
MP_E273_2B_NO20_R1_trimmed.fq.gz	203744	184472
MP_E274_1B_NO20_R1_trimmed.fq.gz	207433	196686
MP_E274_2B_NO20_R1_trimmed.fq.gz	182923	172132
MP_E275_1B_NO20_R1_trimmed.fq.gz	172720	142950
MP_E275_2B_NO20_R1_trimmed.fq.gz	185870	165353
MP_E276_1B_NO20_R1_trimmed.fq.gz	213577	194323
MP_E276_2B_NO20_R1_trimmed.fq.gz	173717	164093
MP_E277_1B_NO20_R1_trimmed.fq.gz	210253	189068
MP_E277_2B_NO20_R1_trimmed.fq.gz	260174	247700
MP_E277_3B_NO20_R1_trimmed.fq.gz	235353	222995
MP_E278_2B_NO20_R1_trimmed.fq.gz	232983	202146
MP_E278_3B_NO20_R1_trimmed.fq.gz	231748	205748
MP_E279_1B_NO20_R1_trimmed.fq.gz	199702	178918
MP_E279_2B_NO20_R1_trimmed.fq.gz	245621	229973
MP_E280_1B_NO20_R1_trimmed.fq.gz	13024	11896
MP_E280_2B_NO20_R1_trimmed.fq.gz	203261	191987
MP_E280_3B_NO20_R1_trimmed.fq.gz	193477	161980
MP_E281_1B_NO20_R1_trimmed.fq.gz	197458	179176
MP_E281_2B_NO20_R1_trimmed.fq.gz	248713	222715
MP_E281_3B_NO20_R1_trimmed.fq.gz	219794	202290
MP_E282_1B_NO20_R1_trimmed.fq.gz	252163	238543
MP_E282_2B_NO20_R1_trimmed.fq.gz	216082	202649
MP_E282_3B_NO20_R1_trimmed.fq.gz	215497	202605
