x	MP_E1053_SKQ2021	MP_E1054_SKQ2021	MP_E1055_SKQ2021	MP_E1056_SKQ2021	MP_E1057_SKQ2021	MP_E1058_SKQ2021	MP_E1059_SKQ2021	MP_E1060_SKQ2021	MP_E1061_SKQ2021	MP_E1062_SKQ2021	MP_E1063_SKQ2021	MP_E1064_SKQ2021	MP_E1065_SKQ2021	MP_E1066_SKQ2021	MP_E1067_SKQ2021	MP_E1068_SKQ2021	MP_E1069_SKQ2021	MP_E1070_SKQ2021	MP_E1071_SKQ2021	MP_E1072_SKQ2021	MP_E1073_SKQ2021	MP_E1074_SKQ2021	MP_E1075_SKQ2021	MP_E1076_SKQ2021	MP_E1077_SKQ2021	MP_E1078_SKQ2021	MP_E1079_SKQ2021	MP_E1080_SKQ2021	MP_E1081_SKQ2021	MP_E1082_SKQ2021	MP_E1083_SKQ2021	MP_E1084_SKQ2021	MP_E1085_SKQ2021	MP_E1086_SKQ2021	MP_E1087_SKQ2021	MP_E1088_SKQ2021	MP_E1089_SKQ2021	MP_E1090_SKQ2021	MP_E1091_SKQ2021	MP_E1092_SKQ2021	MP_E1093_SKQ2021	MP_E1094_SKQ2021	MP_E1095_SKQ2021	MP_E1096_SKQ2021	MP_E1097_SKQ2021	MP_E1098_SKQ2021	MP_E1099_SKQ2021	MP_E1100_SKQ2021	MP_E1101_SKQ2021	MP_E1102_SKQ2021	MP_E1103_SKQ2021	MP_E1104_SKQ2021	MP_E1105_SKQ2021	MP_E1106_SKQ2021	MP_E1107_SKQ2021	MP_E1108_SKQ2021	MP_E1109_SKQ2021	MP_E1110_SKQ2021	MP_E1111_SKQ2021	MP_E1112_SKQ2021	MP_E1113_SKQ2021	MP_E1114_SKQ2021	MP_E1115_SKQ2021	MP_E1116_SKQ2021	MP_E1117_SKQ2021	MP_E1118_SKQ2021	MP_E1119_SKQ2021	MP_E1120_SKQ2021	MP_E1121_SKQ2021	MP_E1122_SKQ2021	MP_E1123_SKQ2021	MP_E1124_SKQ2021	MP_E1125_SKQ2021	MP_E1126_SKQ2021	MP_E1127_SKQ2021	MP_E1128_SKQ2021	MP_E1129_SKQ2021	MP_E1130_SKQ2021	MP_E1131_SKQ2021	MP_E1132_SKQ2021	MP_E1133_SKQ2021	MP_E1134_SKQ2021	MP_E1135_SKQ2021	MP_E1136_SKQ2021	MP_E1137_SKQ2021	MP_E1138_SKQ2021	MP_E1139_SKQ2021	MP_E1140_SKQ2021	MP_E1141_SKQ2021	MP_E1142_SKQ2021	MP_E1143_SKQ2021	MP_E1144_SKQ2021	MP_E1145_SKQ2021	MP_E1146_SKQ2021
ASV_79	0	0	107	377	0	0	0	0	0	159	0	0	684	228	295	313	121	76	2291	3546	0	638	704	0	40	0	394	118	64	175	244	161	3999	2389	306	6150	6406	0	72	376	338	0	0	981	14	324	130	0	0	0	0	0	89	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	768	308	0	97	0	0	528	0	203	397	220	0	0
ASV_83	938	432	66	1334	183	23	1316	490	0	1842	1756	92	1625	1715	121	1228	1572	7	570	1223	284	2286	3375	380	524	125	0	7	0	465	238	7	273	219	31	349	422	20	793	653	130	1343	133	74	1892	689	47	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	144	0	0	40	0	0	0	0	0	11	0	0	91	172	6	49	7	13	217	33	0	92	37	32	11	24
ASV_86	5	192	388	158	21	26	78	64	18	33	99	104	15	31	164	0	30	5	0	11	96	20	40	433	223	296	97	272	1114	425	186	2421	368	342	624	211	240	1636	113	54	393	0	72	573	85	225	1014	321	231	737	195	159	135	341	227	288	218	222	285	323	641	555	0	988	1288	252	662	911	84	679	556	71	78	417	587	198	152	55	428	2066	361	123	69	154	117	107	360	386	270	386	417	554	576	717
ASV_87	163	305	879	153	20	6	91	122	100	120	261	494	29	42	436	0	41	6	0	22	256	31	73	356	479	425	100	194	490	667	469	890	1409	1340	792	840	1119	1109	441	337	680	202	461	1223	582	910	1545	79	45	83	41	50	13	90	47	28	66	33	19	77	58	46	0	55	100	1019	37	12	417	16	16	284	0	113	21	28	229	263	137	481	1147	542	55	344	176	119	1540	1196	322	316	282	281	340	584
ASV_93	15	0	0	0	9	0	0	0	0	0	0	0	11	22	0	0	0	0	5	0	0	11	90	0	4	0	0	0	5	184	175	0	162	193	3	157	266	0	16	11	0	22	108	0	59	148	0	515	38	1	328	561	227	336	369	277	2166	27	35	2706	7	0	6	0	6	218	0	0	806	0	0	7338	0	0	0	0	3788	4598	23	0	1090	1207	314	253	163	96	835	462	97	48	0	63	36	10
ASV_94	65	382	888	66	9	7	33	102	90	55	156	418	10	25	586	0	12	4	0	2	230	9	25	458	379	432	101	164	416	567	358	910	1262	1255	652	784	1037	1129	318	252	601	0	351	1347	368	763	1821	108	16	85	28	35	13	79	36	32	34	14	16	70	44	37	0	41	90	1007	34	23	438	12	6	344	0	93	26	13	215	294	166	568	996	481	40	304	152	149	1638	1118	339	204	223	264	282	612
ASV_106	6	78	543	60	24	26	36	29	28	9	97	45	13	21	74	0	2	0	0	9	130	0	10	220	180	98	25	217	985	229	153	1904	307	275	553	165	253	1245	78	76	366	0	75	405	67	211	675	244	315	340	190	134	169	233	235	226	207	215	206	185	497	497	0	867	1023	194	500	643	64	649	420	84	115	376	279	111	107	52	277	1176	286	123	66	116	60	80	284	436	155	308	252	559	326	491
ASV_108	22	159	0	106	16	0	0	2	0	0	0	0	20	9	0	0	0	0	21	0	0	33	25	0	7	0	0	14	0	169	89	0	119	114	0	337	222	0	5	46	0	0	128	0	0	58	0	435	14	0	260	444	192	299	280	278	1890	50	11	1707	3	10	0	0	0	194	0	0	597	0	0	4882	0	0	0	0	2933	3779	0	0	766	921	239	231	109	62	498	374	70	33	0	45	17	36
ASV_110	728	2973	253	414	31	103	423	131	125	1547	2081	48	182	131	64	104	100	4	117	142	8	197	168	61	223	231	295	71	33	685	354	26	382	501	21	1597	1189	29	340	413	100	2845	965	230	714	195	97	30	27	25	9	10	9	13	0	4	46	10	7	46	5	16	0	8	15	51	0	0	17	10	0	84	6	6	23	6	23	13	6	18	31	32	10	26	0	7	236	28	20	38	48	34	28	19
ASV_111	0	1841	71	127	255	650	600	513	2180	0	0	0	15	14	0	19	9	0	114	175	0	29	19	0	2339	671	564	1866	722	1823	670	736	0	7	55	0	265	0	794	562	104	0	1179	0	1006	1431	0	8	0	0	50	28	185	109	241	192	0	0	15	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_119	0	0	0	32	26	81	0	0	75	0	52	0	52	240	0	64	215	0	281	673	0	146	69	412	13	0	0	392	861	273	204	3107	21	54	2099	26	20	2251	1498	1027	1364	90	866	709	7	458	66	38	63	59	16	59	0	0	0	85	0	62	57	105	14	26	0	17	20	0	19	17	0	0	16	0	0	0	126	73	46	0	0	0	8	59	48	0	0	44	0	0	0	83	0	263	0	0
ASV_130	396	265	244	261	31	1	191	149	33	485	579	126	187	148	272	110	208	5	68	118	126	210	552	294	361	221	49	64	159	393	241	259	459	364	216	403	497	372	420	332	267	691	168	403	840	467	596	20	10	22	14	20	7	29	7	6	24	16	12	26	20	22	0	27	30	359	23	7	208	5	5	104	0	28	12	10	58	70	47	231	352	242	20	114	44	57	634	272	94	104	119	54	133	229
ASV_131	48	1035	176	99	57	157	177	109	92	358	504	51	39	77	41	30	70	5	39	50	0	63	230	242	61	124	358	74	55	531	380	35	356	439	31	543	400	23	358	444	60	104	494	48	982	438	81	343	273	153	102	69	58	115	89	92	386	174	128	284	87	123	1	78	160	321	63	59	227	97	122	535	19	28	67	23	249	125	85	36	158	221	40	74	37	29	815	163	45	137	146	128	97	143
ASV_134	238	0	0	59	13	0	186	157	145	355	463	3427	58	339	5771	73	398	1055	73	126	1561	117	177	918	40	15	95	0	0	0	0	3	4	0	0	5	6	8	3	10	12	56	36	27	180	9	2	9	0	0	0	0	3	0	0	0	0	0	0	7	0	0	0	5	0	0	0	0	84	0	0	226	0	0	0	7	59	44	0	0	0	9	32	10	20	0	13	3	33	12	0	0	34	14
ASV_138	213	1566	384	544	246	421	197	358	432	146	312	10	127	100	5	153	63	3	60	95	0	138	240	46	177	157	198	160	52	449	262	23	119	116	33	180	130	40	110	137	261	515	273	100	156	117	157	242	828	329	45	111	73	31	32	35	241	212	245	18	59	73	0	105	140	36	143	129	42	98	171	106	24	12	96	36	279	378	12	0	80	68	65	60	60	44	44	253	129	78	90	209	136	130
ASV_146	1	0	282	39	7	3	3	12	10	13	20	71	4	5	23	0	9	0	0	5	53	0	18	16	93	58	11	181	594	127	52	1093	159	128	287	135	107	671	21	21	137	0	25	154	33	135	335	136	241	292	110	81	86	171	141	111	150	96	120	218	267	274	0	483	489	104	322	363	45	334	194	11	59	332	359	46	102	7	129	633	91	74	50	70	64	30	143	238	121	114	165	270	203	340
ASV_148	9	669	330	139	142	146	195	448	83	228	457	121	94	72	216	40	54	26	12	30	25	17	33	139	25	88	169	33	24	159	160	9	173	226	44	70	53	14	79	86	203	12	125	111	146	70	203	186	252	141	109	334	206	161	159	149	703	143	118	108	53	52	0	57	149	221	46	47	23	81	130	137	551	347	399	269	178	258	346	60	68	103	63	32	33	28	19	245	45	59	89	75	85	86
ASV_149	144	613	229	0	12	18	0	128	243	225	329	607	16	0	872	9	27	0	0	11	220	12	38	99	225	135	37	28	58	212	161	83	602	806	112	444	615	127	308	376	232	156	686	434	1056	592	430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	100	32	0	58	99	84	374	263	70	11	0	14	38	36
ASV_155	86	1200	16	540	150	139	1542	379	143	919	1394	9	139	628	21	92	113	0	32	78	0	101	166	0	563	505	72	14	5	110	85	0	46	60	0	78	63	0	136	170	21	234	711	24	321	345	27	0	0	0	0	0	0	0	0	0	5	0	0	0	1	0	1	2	16	18	8	8	14	6	10	3	0	0	0	0	0	6	0	0	8	20	0	5	5	0	26	24	6	19	46	45	3	0
ASV_158	55	0	0	0	0	3	0	0	4	0	0	46	0	0	14	10	1	2	0	0	32	1	5	0	0	0	0	30	1	73	29	2	74	21	0	11	19	0	8	0	23	0	11	0	34	14	110	7	3	0	171	119	128	583	503	427	57	3	6	0	0	0	0	0	0	0	22	5	11	6	3	0	0	15	0	0	48	63	0	23	249	210	179	1289	1707	1674	1323	982	953	57	24	21	27	52
ASV_163	540	111	50	193	29	0	167	161	0	586	608	111	178	212	131	139	277	0	63	187	0	324	511	75	210	61	1	3	7	193	148	13	224	196	17	310	270	40	386	323	106	893	139	80	1265	417	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	93	0	0	91	0	0	0	0	6	0	2	2	116	96	6	25	0	0	285	45	8	30	13	13	9	14
ASV_172	0	0	0	34	114	167	0	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	74	145	81	0	96	118	0	52	15	0	14	25	0	0	0	0	0	0	0	0	0	0	64	48	59	34	0	0	0	41	29	0	0	40	27	69	96	0	224	180	322	693	452	144	497	511	56	497	480	502	497	68	71	49	0	404	363	514	0	0	0	0	0	0	440	582	301	70	0
