Sample	lat	long	replicates	controls	group1	group2	group3	group4	group5	group6	samp_vol	depth
DBO2.2	64.68	-169.1006667	E1136.SKQ2021_E1137.SKQ2021_E1138.SKQ2021	NA	deep_mid_surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	40.8_30.2_10
DBO2.3	64.66983333	-168.2356667	E1145.SKQ2021_E1146.SKQ2021	NA	deep_surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	33.7_10.2
DBO2.4	64.95883333	-169.8803333	E1142.SKQ2021_E1143.SKQ2021_E1144.SKQ2021	NA	deep_mid_surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	44_30.4_10.2
DBO2.5	64.98983333	-169.1398333	E1139.SKQ2021_E1140.SKQ2021_E1141.SKQ2021	NA	deep_mid_surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	44.4_30.5_10.4
DBO3.1	68.304	-166.9293667	E1080.SKQ2021_E1081.SKQ2021	NA	deep_surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	30_10
DBO3.2	68.25066667	-167.12175	E1082.SKQ2021_E1083.SKQ2021_E1084.SKQ2021	NA	deep_mid_surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	38.4_30.6_9.9
DBO3.3	68.19051667	-167.2911667	E1085.SKQ2021_E1086.SKQ2021_E1087.SKQ2021	NA	deep_mid_surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	43_30_9.6
DBO3.4	68.11666667	-167.4833333	E1088.SKQ2021_E1089.SKQ2021_E1090.SKQ2021	NA	deep_mid_surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	45_30_10
DBO3.5	68.013	-167.8853333	E1091.SKQ2021_E1092.SKQ2021_E1093.SKQ2021	NA	deep_mid_surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	48.5_30.6_10.2
DBO3.6	68.88333333	-167.2166667	E1094.SKQ2021_E1095.SKQ2021_E1096.SKQ2021	NA	deep_mid_surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	52.7_30.3_10.3
DBO3.7	67.78283333	-168.5949667	E1097.SKQ2021_E1098.SKQ2021_E1099.SKQ2021	NA	deep_mid_surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	45_30_10
DBO3.8	67.67663333	-168.9495	E1053.SKQ2021_E1054.SKQ2021_E1055.SKQ2021	NA	deep_mid_surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	46_30_10
DBO4.1	71.19315	-160.2647333	E1056.SKQ2021_E1057.SKQ2021_E1058.SKQ2021	NA	deep_mid_surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	49_30_10
DBO4.2	71.3218	-160.6566667	E1059.SKQ2021_E1060.SKQ2021_E1061.SKQ2021	NA	deep_mid_surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	43_30_10
DBO4.3	71.45433333	-161.0393833	E1062.SKQ2021_E1063.SKQ2021_E1064.SKQ2021	NA	deep_mid_surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	43_30_10
DBO4.4	71.589	-161.4058333	E1065.SKQ2021_E1066.SKQ2021_E1067.SKQ2021	NA	deep_mid_surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	43_30_10
DBO4.5	71.71866667	-161.7747167	E1071.SKQ2021_E1072.SKQ2021_E1073.SKQ2021	NA	deep_mid_surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	39_30_10
DBO4.6	71.8507	-162.17025	E1074.SKQ2021_E1075.SKQ2021_E1076.SKQ2021	NA	deep_mid_surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	37_30.6_10.5
M8	62.20133333	-174.68	E1100.SKQ2021_E1101.SKQ2021_E1102.SKQ2021	NA	deep_mid_surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	68.4_31.1_10
