Value	Sample	TerminalTaxa
5	MP_E1059_SKQ2021	Environmental Unknown
32	MP_E1059_SKQ2021	Chaetocerotales
898	MP_E1059_SKQ2021	Chaetoceros gelidus
416	MP_E1059_SKQ2021	Pseudo_nitzschia pungens
24	MP_E1059_SKQ2021	Pseudo_nitzschia seriata
56	MP_E1059_SKQ2021	Fragilariopsis cylindrus
13	MP_E1059_SKQ2021	Prorocentrum
51	MP_E1059_SKQ2021	Pseudo_nitzschia
846	MP_E1059_SKQ2021	Gyrodinium dominans
7	MP_E1059_SKQ2021	Thalassiosira hyalina
15	MP_E1059_SKQ2021	Fragilariopsis oceanica
4	MP_E1059_SKQ2021	Gymnodiniaceae
240	MP_E1059_SKQ2021	Pseudo_nitzschia delicatissima
2	MP_E1059_SKQ2021	Thalassiosira nordenskioeldii
13	MP_E1059_SKQ2021	Levanderina__f__o
55	MP_E1059_SKQ2021	Levanderina__f
5	MP_E1059_SKQ2021	Shionodiscus sp_ IAL_2014
5	MP_E1059_SKQ2021	Bacillariaceae
344764	MP_E1060_SKQ2021	Unknown
836	MP_E1060_SKQ2021	Peridiniales
12840	MP_E1060_SKQ2021	Gymnodiniales
1342	MP_E1060_SKQ2021	Dinophyceae
157	MP_E1060_SKQ2021	Cylindrotheca closterium
29	MP_E1060_SKQ2021	Prorocentrales
130	MP_E1060_SKQ2021	Environmental Unknown
4	MP_E1060_SKQ2021	Chaetocerotales
232	MP_E1060_SKQ2021	Chaetoceros gelidus
852	MP_E1060_SKQ2021	Pseudo_nitzschia pungens
6	MP_E1060_SKQ2021	Fragilariopsis cylindrus
1	MP_E1060_SKQ2021	Prorocentrum
32	MP_E1060_SKQ2021	Pseudo_nitzschia
1747	MP_E1060_SKQ2021	Gyrodinium dominans
2	MP_E1060_SKQ2021	Chaetoceros
23	MP_E1060_SKQ2021	Fragilariopsis oceanica
6	MP_E1060_SKQ2021	Thalassiosira
1635	MP_E1060_SKQ2021	Pseudo_nitzschia delicatissima
1	MP_E1060_SKQ2021	Thalassiosira nordenskioeldii
3	MP_E1060_SKQ2021	Levanderina__f__o
