x	MP_E1053_SKQ2021	MP_E1054_SKQ2021	MP_E1055_SKQ2021	MP_E1056_SKQ2021	MP_E1057_SKQ2021	MP_E1058_SKQ2021	MP_E1059_SKQ2021	MP_E1060_SKQ2021	MP_E1061_SKQ2021	MP_E1062_SKQ2021	MP_E1063_SKQ2021	MP_E1064_SKQ2021	MP_E1065_SKQ2021	MP_E1066_SKQ2021	MP_E1067_SKQ2021	MP_E1068_SKQ2021	MP_E1069_SKQ2021	MP_E1070_SKQ2021	MP_E1071_SKQ2021	MP_E1072_SKQ2021	MP_E1073_SKQ2021	MP_E1074_SKQ2021	MP_E1075_SKQ2021	MP_E1076_SKQ2021	MP_E1077_SKQ2021	MP_E1078_SKQ2021	MP_E1079_SKQ2021	MP_E1080_SKQ2021	MP_E1081_SKQ2021	MP_E1082_SKQ2021	MP_E1083_SKQ2021	MP_E1084_SKQ2021	MP_E1085_SKQ2021	MP_E1086_SKQ2021	MP_E1087_SKQ2021	MP_E1088_SKQ2021	MP_E1089_SKQ2021	MP_E1090_SKQ2021	MP_E1091_SKQ2021	MP_E1092_SKQ2021	MP_E1093_SKQ2021	MP_E1094_SKQ2021	MP_E1095_SKQ2021	MP_E1096_SKQ2021	MP_E1097_SKQ2021	MP_E1098_SKQ2021	MP_E1099_SKQ2021	MP_E1100_SKQ2021	MP_E1101_SKQ2021	MP_E1102_SKQ2021	MP_E1103_SKQ2021	MP_E1104_SKQ2021	MP_E1105_SKQ2021	MP_E1106_SKQ2021	MP_E1107_SKQ2021	MP_E1108_SKQ2021	MP_E1109_SKQ2021	MP_E1110_SKQ2021	MP_E1111_SKQ2021	MP_E1112_SKQ2021	MP_E1113_SKQ2021	MP_E1114_SKQ2021	MP_E1115_SKQ2021	MP_E1116_SKQ2021	MP_E1117_SKQ2021	MP_E1118_SKQ2021	MP_E1119_SKQ2021	MP_E1120_SKQ2021	MP_E1121_SKQ2021	MP_E1122_SKQ2021	MP_E1123_SKQ2021	MP_E1124_SKQ2021	MP_E1125_SKQ2021	MP_E1126_SKQ2021	MP_E1127_SKQ2021	MP_E1128_SKQ2021	MP_E1129_SKQ2021	MP_E1130_SKQ2021	MP_E1131_SKQ2021	MP_E1132_SKQ2021	MP_E1133_SKQ2021	MP_E1134_SKQ2021	MP_E1135_SKQ2021	MP_E1136_SKQ2021	MP_E1137_SKQ2021	MP_E1138_SKQ2021	MP_E1139_SKQ2021	MP_E1140_SKQ2021	MP_E1141_SKQ2021	MP_E1142_SKQ2021	MP_E1143_SKQ2021	MP_E1144_SKQ2021	MP_E1145_SKQ2021	MP_E1146_SKQ2021	MP_POSITIVE
ASV_1005	108	1432	703	11686	1648	160	5734	836	291	209	143	7	23914	16142	1070	15747	16865	175	3382	5767	1356	1541	3498	3765	896	491	763	65	226	768	748	224	531	891	437	854	576	693	1558	1771	1575	82	509	502	600	973	193	161	217	103	45	134	88	143	169	83	382	82	48	147	211	102	0	277	278	236	130	118	470	98	67	309	286	119	653	390	325	122	171	51	241	441	130	116	252	398	334	344	168	182	258	228	72	79	0
ASV_1015	27019	39215	42723	15661	18162	21434	9097	12840	36746	14648	18720	34181	11113	11157	44099	10479	9598	2018	12349	19919	13068	17518	22196	25631	33219	33554	31115	28537	46698	60050	35335	100396	51290	56236	86998	72838	74632	79108	20111	19007	39452	57052	28630	39503	47949	28879	55399	23854	41782	40258	9992	13934	11332	16445	13073	14310	15474	15123	16198	22607	36909	31240	85	50694	54478	52759	67653	42944	44176	40930	38805	79956	64059	60693	76046	59948	33767	42850	115673	118302	40697	37013	22743	32785	38133	27638	63325	60597	45469	30574	42312	32826	58358	82370	0
ASV_1018	2	3	3	0	26	26	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	5	0	0	3	0	0	0	0	0	4	0	0	0	12	5	0	0	1	14	0	2	8	13	40	0	3	0	0	0	0	0	0	11	3	6	20	0	30	19	2	17	0	0	4	11	11	1	1	2	0	5	1	0	0	1	0	0	0	0	0	0	0	0	3	7	4	0	2	0
ASV_1019	24	0	36	40	8	3	15	23	7	35	30	0	52	106	0	36	26	0	10	50	0	34	31	0	26	26	0	11	16	13	24	14	2	3	7	0	6	21	18	46	35	63	0	40	53	15	4	32	45	6	152	36	36	17	12	2	8	5	105	107	2	1	0	0	16	193	0	0	1493	22	33	240	23	4	2	2	624	117	0	0	169	80	38	6	20	18	274	97	115	46	147	31	73	54	0
ASV_1044	87	139	281	4844	14578	19095	240	1635	17697	13	219	265	0	13	67	7	16	1	0	2	24	5	7	0	9509	10762	14539	12612	1320	12062	12134	120	5137	4215	99	1508	1900	54	25	0	161	55	0	144	20	27	358	5187	5931	5202	5048	3674	3897	6329	6834	5750	2961	2323	3363	6014	6752	6389	47	13297	12033	27230	45755	21867	14296	27027	25605	13419	40337	33614	38527	31883	10254	8201	4926	7879	41252	35360	30929	51350	65868	41159	41827	33221	34978	33821	45761	28274	8873	10543	0
ASV_1070	322	4247	1185	1329	1787	2459	2113	1342	1904	1586	2456	335	765	1449	731	545	769	73	968	2203	307	921	1124	2283	835	1772	1733	1590	1950	1013	779	3998	649	666	2913	436	327	2954	1981	1559	2337	903	2384	1484	716	1107	1034	2321	4218	6153	330	723	399	352	406	674	1690	2613	2530	975	15335	13612	7	20194	23519	2138	16216	20088	927	18251	19984	746	4773	4498	7046	6726	1116	659	1014	5381	1421	1701	3433	2432	3986	4437	560	792	2816	3919	6351	6458	1945	3389	0
ASV_1071	2	0	912	0	41	84	0	0	40	0	4	0	0	0	3	0	0	0	0	0	0	0	0	0	10	27	128	55	26	40	21	7	8	18	8	11	5	4	0	0	181	0	0	40	0	0	143	121	266	457	7	5	0	7	12	5	7	42	102	61	276	210	0	186	327	10	353	202	0	117	150	0	76	49	86	66	8	0	4	35	17	13	6	22	23	18	6	9	13	32	44	25	20	20	0
ASV_1074	0	27	28	1	3	1	2	1	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	6	2	11	11	0	0	2	2	1	2	6	10	7	8	6	0	5	4	7	9	15	2	11	7	2	1	8	5	5	7	0	0	0	0	0	0	0	0	3	0	0	32	4	0	6	0	9	0	0	0	0	0	1	0	0	0	3	0	0	0	0	1	21	2	0
ASV_1081	6074	6162	741	83	748	209	195	29	141	48	8	76	61	73	56	31	86	0	31	47	11	32	48	41	130	472	25	118	155	358	385	57	796	413	168	523	653	130	551	556	81	15387	3344	162	259	455	174	370	290	141	52	71	80	31	102	69	116	62	59	1215	526	495	3	985	1220	10875	427	244	9692	283	404	4888	71	91	100	104	7245	913	0	0	1397	1514	501	297	117	164	780	1105	249	1165	1401	1211	101	81	0
ASV_1088	0	211	114	125	45	24	55	6	40	78	18	64	104	87	35	53	58	6	169	369	170	226	184	154	49	180	96	15	64	51	35	21	79	107	19	63	162	54	44	42	44	52	75	30	94	86	34	24	2	36	48	17	20	15	20	15	43	34	5	10	26	19	0	23	33	18	6	76	40	45	78	111	24	34	106	29	18	0	7	185	43	90	18	24	19	16	112	153	95	45	65	84	1	21	0
ASV_1127	17056	31214	2654	870	481	224	898	232	647	442	956	36	338	227	37	168	106	2	102	114	62	137	357	49	351	695	786	7507	3571	2433	1980	5177	2318	1949	2286	1312	1509	3917	4557	6343	39271	26519	17255	15656	16213	11217	6807	8685	7792	13137	17991	17894	27720	14340	16285	18572	17177	30414	27758	2486	1669	1432	15	2148	1896	1914	1136	742	1880	2607	2798	5799	4005	5735	10105	5793	7858	2093	344	583	21828	14554	17264	27898	43105	30165	23190	17677	33363	13815	16039	11868	45241	56972	0
ASV_1130	27	106	84	30	72	12	56	6	52	0	19	6	42	65	0	8	10	0	16	7	0	13	11	0	10	19	0	87	178	44	28	156	36	55	62	50	97	97	34	54	301	54	4	70	61	46	122	12	5	19	58	18	37	36	28	3	5	6	8	42	6	4	0	0	0	305	3	3	389	4	5	42	108	30	13	15	642	132	0	0	189	87	26	97	86	40	279	106	675	66	136	35	716	593	0
ASV_1133	794	837	41	167	8	6	32	4	7	22	141	56	35	17	2058	38	176	64	3	34	132	40	34	124	62	123	81	122	114	112	41	194	98	50	77	103	178	238	268	334	592	1966	358	168	791	134	217	1242	571	268	2250	444	543	3191	1676	1620	2369	825	508	807	37	34	0	35	54	523	61	52	2109	342	304	4954	242	464	337	232	2850	706	0	136	1117	548	336	320	679	565	1958	1025	2710	990	1047	733	1172	2123	0
ASV_1143	55	0	0	0	0	3	0	0	4	0	0	46	0	0	14	10	1	2	0	0	32	1	5	0	0	0	0	30	1	89	29	2	74	21	0	11	19	0	8	0	23	0	11	0	34	14	110	7	3	0	183	124	139	594	518	450	57	3	6	26	0	0	0	0	0	0	22	19	11	6	3	0	0	15	0	0	48	73	0	23	254	214	180	1326	1782	1741	1328	990	968	57	24	21	27	52	0
ASV_1166	0	142	16	54	25	18	13	3	9	3	11	15	3	11	1	2	22	0	5	4	0	15	21	15	27	50	21	0	20	46	48	6	9	14	4	18	25	7	9	3	6	0	6	3	0	7	6	152	315	155	79	144	123	117	75	101	89	131	123	15	37	49	0	67	131	89	52	52	75	28	76	80	37	24	61	44	16	28	55	27	42	46	29	8	26	9	26	4	11	39	54	59	21	9	0
ASV_1176	8	16	0	9	0	1	7	0	0	4	2	0	0	0	0	0	1	0	0	2	0	0	0	0	11	0	0	0	0	1	0	0	0	0	0	0	1	0	7	0	6	16	0	13	35	4	3	9	7	7	5	0	0	1	0	0	0	5	7	0	0	1	0	0	0	30	0	0	62	3	0	271	26	10	15	10	596	9	32	0	11	9	3	5	9	6	9	0	3	14	12	20	17	17	0
ASV_1246	0	5	5	0	9	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	7	8	2	0	5	5	2	0	7	1	0	7	0	9	11	14	20	3	6	15	0	8	0	5	6	2	0	0	0	2	0	0	0	0	2	4	9	0	8	0	0	5	6	4	0	4	0	0	0	0	0	0	0	0	0	3	2	0	0	0	1	4	0	0	0	0	1	4	8	0
ASV_1250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	9	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	8	10	0	0	12	0	11	43	31	5	14	32	61	0	0	0	0	4	0
ASV_1269	4	0	0	49	101	115	51	32	172	46	63	369	29	0	59	4	44	26	2	41	42	14	10	9	108	98	159	98	30	86	69	7	22	55	19	13	63	43	59	86	97	0	0	55	37	0	34	64	53	79	58	40	70	268	169	133	42	23	46	31	95	82	0	174	190	217	448	402	126	382	318	107	365	397	535	378	84	127	45	138	282	257	294	274	541	295	216	152	416	342	434	313	148	79	0
ASV_1304	3	27	4	0	2	0	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	3	1	4	0	5	4	4	1	1	1	1	5	1	10	3	6	20	3	1	4	0	6	4	1	2	2	2	11	8	19	0	8	18	0	1	0	3	0	14	0	10	66	0	12	189	7	1	4	8	166	13	0	0	35	12	2	6	10	3	18	13	45	7	20	11	26	39	0
ASV_134	238	0	0	59	13	0	186	157	145	355	517	3427	58	339	5771	73	398	1055	73	126	1561	117	177	918	40	15	95	0	0	0	0	3	4	0	0	5	6	8	3	10	12	56	36	27	180	9	2	9	0	0	0	0	3	0	0	0	0	0	0	7	0	0	0	5	0	0	0	0	84	0	0	226	0	0	0	7	59	44	0	27	0	9	32	10	20	0	13	3	33	12	0	0	34	14	0
ASV_1356	0	0	0	0	0	0	0	0	0	3	0	0	23	1	0	9	1	0	0	8	0	11	0	0	9	0	0	0	0	37	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	21	0	0	0	0	15	0	0	13	0	0	0	0	0	0	0	0	0	0
ASV_1376	0	6	7	0	1	1	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	9	4	7	4	4	0	1	4	8	0	0	2	2	0	4	0	10	11	12	15	13	4	0	4	20	0	0	0	0	0	0	0	4	5	0	13	21	0	15	25	2	10	1	0	0	9	0	17	0	6	5	1	0	0	0	6	4	3	0	0	0	0	0	0	6	7	20	12	0	0
ASV_1391	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	1	1	0	5	21	0	11	8	30	16	6	1	6	16	4	6	0	0	0	0	0	5	0	0	7	0	4	12	0
ASV_1403	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	1	0	0	2	0	0	1	5	0	7	4	0	30	41	2	0	0	2	16	0	0	2	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	4	0	0	4	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	7	6	43	2	0	0	5	0	0
ASV_1462	0	0	0	15	5	0	5	2	0	0	0	0	9	0	0	7	3	0	9	8	17	11	27	22	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0	0	2	0
ASV_1463	0	48	0	0	5	0	0	0	3	0	0	0	0	0	14	0	0	0	0	0	5	0	0	0	0	0	11	0	0	0	0	0	3	0	3	5	0	0	0	6	4	0	28	11	10	2	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	14	0	3	0	0	9	0
ASV_1604	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	18	0	7	17	0	17	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	15	0	0	0	0	0	11	0	0	0	0	0	0	0
ASV_1702	4	0	2	7	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	9	5	0	0	1	0	0	0	0	0	0	4	0	13	5	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	3	7	0	0	0	0	0	3	0	3	7	6	3	3	0
ASV_1703	6	0	12	4	0	0	0	6	0	6	2	0	13	0	0	1	5	0	22	35	0	19	17	0	0	0	2	0	2	0	0	9	4	2	1	0	2	1	0	3	2	0	2	25	4	0	5	8	25	8	4	4	7	1	8	6	31	15	23	6	0	0	0	1	0	32	0	6	57	13	14	182	24	5	22	13	366	17	4	0	16	26	2	11	3	11	35	51	67	33	36	54	8	30	0
ASV_1716	0	0	19	0	4	11	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	19	11	0	0	2	0	3	0	0	0	0	3	13	0	0	0	0	0	14	6	7	53	0	0	0	0	0	0	7	17	5	0	0	17	0	10	0	0	18	17	0	12	9	0	0	3	4	10	0	0	0	5	8	1	0	7	4	0	0	0	0	0	2	4	0	0	0
ASV_1718	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	1	0	9	5	0	7	8	0	28	15	12	4	3	0	8	0	0	1	1	2	3	0	0	1	8	1	0	9	5	0	0
ASV_1850	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	66	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1860	9	24	5	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	6	2	1	0	0	0	0	2	3	0	3	2	0	0	0	0	0	1	2	1	1	1	0	0	18	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1870	12948	3464	19816	223	227	196	416	852	1027	730	664	3328	68	119	4935	123	313	753	31	25	1373	3	11	771	2901	4250	4976	428	249	662	686	585	605	470	984	304	534	1170	23357	18027	10440	4293	428	7828	19933	3996	2505	141	110	52	21	8	10	20	8	42	15	51	96	54	128	111	0	463	507	114	715	731	1491	1243	1222	1465	5826	7982	9146	4008	657	744	5558	9910	688	1531	876	253	400	261	773	471	410	2494	2368	910	517	397	0
ASV_188	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	61	23	506	749	0	255	269	0	98	101	39	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	80	138	102	4064	60	28	49	26	90	25	34	105	143	9	15	7	43	61	191	0
ASV_1906	0	0	0	2	32	14	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	6	18	11	2	10	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	6	0	3	5	2	9	6	13	6	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	6	5	4	0	0	0	16	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0
ASV_1957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	8	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	1	0	2	0	0	2	5	0	7	5	2	23	0	0	0	0	0	0	0	3	3	4	0	0	0	0	0	0	5	7	6	0	0	0
ASV_1988	0	0	0	0	0	0	0	0	0	0	0	0	0	3	36	0	0	0	0	0	19	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0
ASV_2009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118948
ASV_204	17	0	0	0	0	0	0	0	14	0	0	0	0	0	7	5	4	4	0	0	2	0	0	15	0	9	9	72	8	156	75	22	56	118	0	60	100	1	0	2	5	35	8	1	18	4	0	0	0	7	0	0	12	10	7	9	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	42	25	38	11	0	29	42	0	459	348	52	69	78	38	376	155	103	184	254	105	1335	1971	0
ASV_2076	0	7	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	3	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	4	4	2	0	5	7	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	11	0	0	1	0
ASV_2098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	0	0	0	0	0	0	0	0	0	0	11	8	0	6	16	11	2	2	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0
ASV_2143	0	0	75	1	0	21	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	6	0	11	0	5	9	0	0	7	0	0	16	0	0	11	0	0	4	0	17	10	0	0	0	0	0	0	0	4	0	0	28	0	0	1	22	0	0	0	0	11	6	0	6	6	6	0	0	0	11	0	0	0	0	0	0	0	5	0	0	0	9	0	0	0	0
ASV_2192	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	1	0	0	36	19	0	7	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_224	4	0	0	274	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	7	0	0	12	0	0	0	0	1069	0	0	4	2	5	21	7	2848	11	4	0	1605	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	24	0	0	0	0	0	3	0	0	0	0	0	0	0	0	32	1	8	0	0	1	0	0	0
ASV_2281	0	0	0	0	0	0	0	0	2	0	0	59	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2402	0	0	0	0	7	3	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	26	17	5	1	0	0	0	10	4	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	12	5	0	15	18	4	24	41	2	64	50	0	38	1	14	17	3	0	0	23	0	0	0	0	0	4	2	4	5	7	6	9	3	3	0
