All percentages range 0-100% of the total count for either Eukaryotes or Prokaryotes, with exception of the first three data rows (% Known, % Eukaryote, % Prokaryote), which represent %s of total reads.
Taxonomy String (K->S)	Terminal Taxa	MP_E1053_SKQ2021	MP_E1054_SKQ2021	MP_E1055_SKQ2021	MP_E1056_SKQ2021	MP_E1057_SKQ2021	MP_E1058_SKQ2021	MP_E1059_SKQ2021	MP_E1060_SKQ2021	MP_E1061_SKQ2021	MP_E1062_SKQ2021	MP_E1063_SKQ2021	MP_E1064_SKQ2021	MP_E1065_SKQ2021	MP_E1066_SKQ2021	MP_E1067_SKQ2021	MP_E1068_SKQ2021	MP_E1069_SKQ2021	MP_E1070_SKQ2021	MP_E1071_SKQ2021	MP_E1072_SKQ2021	MP_E1073_SKQ2021	MP_E1074_SKQ2021	MP_E1075_SKQ2021	MP_E1076_SKQ2021	MP_E1077_SKQ2021	MP_E1078_SKQ2021	MP_E1079_SKQ2021	MP_E1080_SKQ2021	MP_E1081_SKQ2021	MP_E1082_SKQ2021	MP_E1083_SKQ2021	MP_E1084_SKQ2021	MP_E1085_SKQ2021	MP_E1086_SKQ2021	MP_E1087_SKQ2021	MP_E1088_SKQ2021	MP_E1089_SKQ2021	MP_E1090_SKQ2021	MP_E1091_SKQ2021	MP_E1092_SKQ2021	MP_E1093_SKQ2021	MP_E1094_SKQ2021	MP_E1095_SKQ2021	MP_E1096_SKQ2021	MP_E1097_SKQ2021	MP_E1098_SKQ2021	MP_E1099_SKQ2021	MP_E1100_SKQ2021	MP_E1101_SKQ2021	MP_E1102_SKQ2021	MP_E1103_SKQ2021	MP_E1104_SKQ2021	MP_E1105_SKQ2021	MP_E1106_SKQ2021	MP_E1107_SKQ2021	MP_E1108_SKQ2021	MP_E1109_SKQ2021	MP_E1110_SKQ2021	MP_E1111_SKQ2021	MP_E1112_SKQ2021	MP_E1113_SKQ2021	MP_E1114_SKQ2021	MP_E1115_SKQ2021	MP_E1116_SKQ2021	MP_E1117_SKQ2021	MP_E1118_SKQ2021	MP_E1119_SKQ2021	MP_E1120_SKQ2021	MP_E1121_SKQ2021	MP_E1122_SKQ2021	MP_E1123_SKQ2021	MP_E1124_SKQ2021	MP_E1125_SKQ2021	MP_E1126_SKQ2021	MP_E1127_SKQ2021	MP_E1128_SKQ2021	MP_E1129_SKQ2021	MP_E1130_SKQ2021	MP_E1131_SKQ2021	MP_E1132_SKQ2021	MP_E1133_SKQ2021	MP_E1134_SKQ2021	MP_E1135_SKQ2021	MP_E1136_SKQ2021	MP_E1137_SKQ2021	MP_E1138_SKQ2021	MP_E1139_SKQ2021	MP_E1140_SKQ2021	MP_E1141_SKQ2021	MP_E1142_SKQ2021	MP_E1143_SKQ2021	MP_E1144_SKQ2021	MP_E1145_SKQ2021	MP_E1146_SKQ2021	MP_POSITIVE
Eukaryota;Dinophyceae__p;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Gyrodinium;Gyrodinium dominans	Gyrodinium dominans	1.72	0.01	2.11	2.08	0.8	1.04	4.23	8.84	1.25	6.2	3	5.1	1.72	0.72	0.18	1.1	0.54	9.99	6.25	2.3	1.11	0.91	1.44	0.35	2.44	1.53	2.71	0.67	2.88	3.7	3.24	2.86	2.89	1.03	1.31	4.11	6.76	3.06	3.05	1.29	0.91	1.06	0.82	0.71	1.13	0.77	1.68	2.84	2.45	1.56	4.1	4.45	4.23	3.1	3.23	3.51	3.86	4.27	4.42	4.06	1.28	0.93	1.26	0.44	0.44	0.99	0.37	0.4	1.98	0.86	0.64	0.22	0.26	0.02	0.41	0.22	0.83	0.91	0	0.11	1.05	1.36	1.17	0.55	0.86	0.89	3.87	1.18	1.49	3.98	2.88	3.48	1.35	0.53	0
Eukaryota;Dinophyceae__p;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Gyrodinium;NA	Gyrodinium	0	0	0	0	D	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	D	0	0	0.04	0.02	0	0.01	D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Dinophyceae__p;Dinophyceae;Gymnodiniales;Gymnodiniaceae;NA;NA	Gymnodiniaceae	0.01	0	0	0.75	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0.01	0	0	0.02	0	0	0	0	1.64	0	0	D	D	0.01	0.04	0.01	2.89	0.01	0.01	0	1.79	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D	0	0	0.02	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0.02	D	0.01	0	0	D	0	0	0
Eukaryota;Dinophyceae__p;Dinophyceae;Gymnodiniales;Kareniaceae;Karlodinium;Karlodinium elegans	Karlodinium elegans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0.06	0	0.36	0.19	0.08	0.14	0.27	0.01	0.09	0.15	0	0.01	0.04	0	0.01	0.01	0	0	D	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	D	0	0	0	0	0	0	0	D	0	0	0	0
Eukaryota;Dinophyceae__p;Dinophyceae;Gymnodiniales;Kareniaceae;Karlodinium;Karlodinium veneficum	Karlodinium veneficum	0	0	0	0	0.01	D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D	0	0	0	D	0	0	0	0	D	D	0	0.01	0.02	0	0.01	0.01	0.02	0.01	0.01	D	D	0.01	D	0.01	0	0	0	0	0	D	0	0	0.01	0	D	0.01	0
Eukaryota;Dinophyceae__p;Dinophyceae;Gymnodiniales;Kareniaceae;Karlodinium;NA	Karlodinium	0	0	0	0	0	0	0	0	D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0.01	0	0	0	0	0	0	0.01	0	0	0	0	0	D	0	0.01	0.01	0	0.01	0.01	0	0.02	0.01	0.01	D	D	0	0.01	0	0	D	D	D	D	0	0	D	0.01	D	0	0.01	D	0	0
Eukaryota;Dinophyceae__p;Dinophyceae;Gymnodiniales;Kareniaceae;NA;NA	Kareniaceae	0	0	0	0.01	0.08	0.03	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0.01	0.03	0.02	D	0.01	D	0	D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D	0	0.01	0	0.01	0.01	D	0.02	0.01	0.03	0.01	0	0.01	0	0	0	0	0	0	0	0	0	0	D	0	0	0.01	D	D	0	0	0	0.01	0	0	0	0	0	0	0	D	0	0	0	0	0	D	0
Eukaryota;Dinophyceae__p;Dinophyceae;Gymnodiniales;Kareniaceae;Shimiella;NA	Shimiella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Dinophyceae__p;Dinophyceae;Gymnodiniales;Kareniaceae;Shimiella;Shimiella gracilenta	Shimiella gracilenta	0	0	0.03	0.01	0.13	0.27	0	0	0.08	0	0	0.04	0	0	0.01	0	0	0.04	0	0	0	0	0	0	0	0.03	0.12	0.04	0.05	0.01	0.03	0.01	0.01	0.01	0.02	D	D	D	0	0	0.01	0	0	0.01	0	0.01	0.02	0.01	0.04	0.02	0	0.04	0.02	0.02	0.01	0.02	0.01	0.04	0.07	0	D	0.01	0	D	D	0	D	D	0	0.01	0.01	0	0.06	0.05	0.07	0.05	0	0	D	0.15	D	D	0.01	0	0	D	0	0.01	D	D	0.02	0.02	0.01	0.01	0
Eukaryota;Dinophyceae__p;Dinophyceae;Gymnodiniales;NA;NA;NA	Gymnodiniales	40.92	44.65	60.15	43.1	47.27	47.91	45.47	64.98	61.37	75.1	75.38	76.41	29.68	36.98	74.57	37.25	33.4	43.15	65.33	67.17	70.72	82.88	77.9	75.32	67.11	62.6	55.3	54.98	82.77	73.35	64.07	87.75	78.84	84.6	91.08	89.22	85.9	86.36	36.85	38.96	39.97	52.89	53.4	59.37	53.38	60.93	80.78	54.45	65.98	59.73	26.14	35.49	24.28	37.9	31.97	32.86	36.66	27.87	30.16	62.24	58.65	57.36	53.46	56.88	57.17	53.98	50.63	48.78	55.77	44.29	42.8	70.29	52.89	53.21	52.86	54.33	49.9	74.44	87.42	82.55	36.41	38.8	29.15	27.66	24.34	25.52	44.56	50.92	36.33	33.37	35.09	37.85	48.36	51.36	0
Eukaryota;Dinophyceae__p;Dinophyceae;Gymnodiniales;Tovelliaceae;NA;NA	Tovelliaceae	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0.03	0	0.01	0.03	0	0.02	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0.02	0	0	0	0	0	0.01	0	0	0	0	0	0	0
Eukaryota;Dinophyceae__p;Dinophyceae;Levanderina__f__o;Levanderina__f;NA;NA	Levanderina__f	0	0.24	0.16	0.34	0.12	0.05	0.27	0.03	0.07	0.4	0.07	0.14	0.28	0.29	0.06	0.19	0.2	0.13	0.89	1.24	0.92	1.07	0.65	0.45	0.1	0.34	0.17	0.03	0.11	0.06	0.06	0.02	0.12	0.16	0.02	0.08	0.19	0.06	0.08	0.09	0.04	0.05	0.14	0.05	0.1	0.18	0.05	0.05	D	0.05	0.13	0.04	0.04	0.03	0.05	0.03	0.1	0.06	0.01	0.03	0.04	0.03	0	0.03	0.03	0.02	D	0.09	0.05	0.05	0.09	0.1	0.02	0.03	0.07	0.03	0.03	0	0.01	0.13	0.04	0.09	0.02	0.02	0.01	0.01	0.08	0.13	0.08	0.05	0.05	0.1	D	0.01	0
Eukaryota;Dinophyceae__p;Dinophyceae;Levanderina__f__o;NA;NA;NA	Levanderina__f__o	0	0.16	0.02	0.15	0.07	0.04	0.06	0.02	0.02	0.02	0.04	0.03	0.01	0.04	D	0.01	0.08	0	0.03	0.01	0	0.07	0.07	0.04	0.05	0.09	0.04	0	0.04	0.06	0.09	0.01	0.01	0.02	D	0.02	0.03	0.01	0.02	0.01	0.01	0	0.01	D	0	0.01	0.01	0.35	0.5	0.23	0.21	0.37	0.26	0.27	0.18	0.23	0.21	0.24	0.23	0.04	0.06	0.09	0	0.08	0.14	0.09	0.04	0.06	0.09	0.03	0.08	0.07	0.03	0.02	0.04	0.04	0.02	0.05	0.04	0.02	0.04	0.05	0.04	0.01	0.02	0.01	0.02	D	0.01	0.04	0.04	0.07	0.02	0.01	0
Eukaryota;Dinophyceae__p;Dinophyceae;NA;NA;NA;NA	Dinophyceae	0.49	4.84	1.67	3.66	4.65	5.5	10.56	6.79	3.18	8.13	9.89	0.75	2.04	4.8	1.24	1.94	2.68	1.56	5.12	7.43	1.66	4.36	3.94	6.71	1.69	3.31	3.08	3.06	3.46	1.24	1.41	3.49	1	1	3.05	0.53	0.38	3.22	3.63	3.2	2.37	0.84	4.45	2.23	0.8	2.34	1.51	5.3	6.66	9.13	0.86	1.84	0.85	0.81	0.99	1.55	4	4.82	4.71	2.68	24.37	24.99	4.4	22.66	24.68	2.19	12.14	22.82	1.17	19.75	22.04	0.66	3.94	3.94	4.9	6.1	1.65	1.14	0.77	3.75	1.27	1.78	4.4	2.05	2.54	4.1	0.39	0.67	2.25	4.28	5.27	7.45	1.61	2.11	0
Eukaryota;Dinophyceae__p;Dinophyceae;Peridiniales;Heterocapsaceae;Heterocapsa;Heterocapsa triquetra	Heterocapsa triquetra	0	0	0	0	D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0.12	0.04	0.62	1.36	0	0.39	0.4	0	0.12	0.12	0.04	0	0	D	0	0	0	D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0.07	0.2	0.18	3.07	0.04	0.03	0.05	0.03	0.08	0.02	0.03	0.07	0.12	0.01	0.02	0.01	0.05	0.05	0.12	0
Eukaryota;Dinophyceae__p;Dinophyceae;Peridiniales;Heterocapsaceae;Heterocapsa;NA	Heterocapsa	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D	0	0	0	0	0	D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Dinophyceae__p;Dinophyceae;Peridiniales;NA;NA;NA	Peridiniales	0.16	1.63	0.99	32.16	4.29	0.36	28.66	4.23	0.49	1.07	0.58	0.02	63.86	53.51	1.81	55.97	58.69	3.74	17.89	19.45	7.34	7.29	12.28	11.06	1.81	0.92	1.36	0.13	0.4	0.94	1.36	0.2	0.82	1.34	0.46	1.05	0.66	0.76	2.85	3.63	1.6	0.08	0.95	0.75	0.67	2.05	0.28	0.37	0.34	0.15	0.12	0.34	0.19	0.33	0.41	0.19	0.91	0.15	0.09	0.4	0.34	0.19	0	0.31	0.29	0.24	0.1	0.13	0.59	0.11	0.07	0.27	0.24	0.1	0.45	0.35	0.48	0.21	0.13	0.04	0.22	0.46	0.17	0.1	0.16	0.37	0.24	0.29	0.13	0.2	0.21	0.26	0.06	0.05	0
Eukaryota;Dinophyceae__p;Dinophyceae;Peridiniales;Peridiniaceae;NA;NA	Peridiniaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0
Eukaryota;Dinophyceae__p;Dinophyceae;Peridiniales;Peridiniaceae;Scrippsiella;NA	Scrippsiella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Dinophyceae__p;Dinophyceae;Prorocentrales;NA;NA;NA	Prorocentrales	9.2	7.02	1.04	0.23	1.95	0.47	0.97	0.15	0.24	0.25	0.03	0.17	0.16	0.24	0.09	0.11	0.3	0	0.16	0.16	0.06	0.15	0.17	0.12	0.26	0.88	0.04	0.23	0.27	0.44	0.7	0.05	1.22	0.62	0.18	0.64	0.75	0.14	1.01	1.14	0.08	14.27	6.24	0.24	0.29	0.96	0.25	0.84	0.46	0.21	0.14	0.18	0.17	0.07	0.25	0.16	0.27	0.11	0.11	3.35	0.84	0.91	1.89	1.11	1.28	11.13	0.32	0.28	12.24	0.31	0.45	4.3	0.06	0.08	0.07	0.09	10.71	1.59	0	0	1.25	1.59	0.64	0.25	0.07	0.15	0.55	0.93	0.2	1.27	1.16	1.4	0.08	0.05	0
Eukaryota;Dinophyceae__p;Dinophyceae;Prorocentrales;Prorocentraceae;Prorocentrum;NA	Prorocentrum	0.01	0	0.03	0.02	0.01	0.04	0.06	0.01	0.02	0.05	0.09	0.23	0.08	0.07	0	0.1	0.08	0.34	0.11	D	0.41	0.15	0.03	0.2	0.05	0.22	0.06	D	0.05	0.06	0.02	0.04	0.03	0.05	0.13	D	0.02	0.14	0	0	0.1	D	0	0.17	0.01	D	0.17	0	0	0	0	0	0	0	0	0.01	0	0.06	0.06	0	0.04	0.11	0	0.03	0.02	D	0.03	0.01	0.05	0.01	0.05	0.1	0.17	0.02	0.16	0.13	0.05	0.01	0.22	0.06	0.02	0.04	0.01	D	D	0	D	0	0.03	0.04	0.07	0.15	0.02	D	0
Eukaryota;Dinophyceae__p;Dinophyceae;Prorocentrales;Prorocentraceae;Prorocentrum;Prorocentrum criophilum	Prorocentrum criophilum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Dinophyceae__p;Dinophyceae;Suessiales;Biecheleriaceae;NA;NA	Biecheleriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D	0	D	0.01	0	0	0	0	0	0	0	0	D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D	0	0	0
Eukaryota;Dinophyceae__p;Dinophyceae;Suessiales;NA;NA;NA	Suessiales	0	D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D	0	0	0	0	0	0
Eukaryota;Dinophyceae__p;Dinophyceae;Suessiales;Suessiaceae;NA;NA	Suessiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Dinophyceae__p;Dinophyceae;Suessiales;Suessiaceae;Pelagodinium;NA	Pelagodinium	0	0	0	0	0.02	0.01	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D	0.05	0.03	0.01	D	0	0	0	0.02	0.01	D	0	0	0	0	0	D	0	0	0	0	0	0	0	0	D	0	0	D	0	0	0	0	0	0	0.01	0.02	0.01	0	0.02	0.02	D	0.02	0.05	D	0.07	0.06	0	0.03	D	0.01	0.02	D	0	0	0.02	0	0	0	0	0	D	D	D	D	0.01	D	0.01	D	D	0
Eukaryota;Dinophyceae__p;Dinophyceae;Suessiales;Suessiaceae;Polarella;Polarella glacialis	Polarella glacialis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	<<<Mollusca>>>
Eukaryota;Mollusca;Gastropoda;Pteropoda;Limacinidae;Limacina;Limacina helicina	Limacina helicina	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D	D	0	0	0	0	0	0	0	0	0	0	0	D	0	0	0	0	0	0	0	0	0
	<<<Unknown Eukaryote>>>
Eukaryota;NA;NA;NA;NA;NA;NA	Eukaryota	0	0	0	0	0	0	0	0	D	0	0	0.13	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	<<<Oomycota>>>
Eukaryota;Oomycota;Pythiales__c;Pythiales;NA;NA;NA	Pythiales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	<<<Pelagophyceae__p>>>
Eukaryota;Pelagophyceae__p;Pelagophyceae;Pelagomonadales;Aureococcus__f;NA;NA	Aureococcus__f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Pelagophyceae__p;Pelagophyceae;Pelagomonadales;NA;NA;NA	Pelagomonadales	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	D	0	0	0	0.03	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	D	0
	<<<Phaeophyceae__p>>>
Eukaryota;Phaeophyceae__p;Phaeophyceae;Laminariales;NA;NA;NA	Laminariales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Phaeophyceae__p;Phaeophyceae;NA;NA;NA;NA	Phaeophyceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	D	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	<<<Environmental Unknown, Unknown Phylum (% out of total)>>>
Environmental Unknown;NA;NA;NA;NA;NA;NA	Environmental Unknown	0.05	0.22	0.31	0.01	0.04	0.05	D	0.04	0.06	0.05	0.02	D	0	0	0	0	0	0	0	0	0	0	0	0	0.11	0.06	0.04	0.07	0.01	0.12	0.15	D	0.13	0.18	0	0.07	0.09	D	D	0.01	D	0.05	0.04	D	0.01	0.02	0.02	0.11	0.15	0.13	0.07	0.03	0.04	0.05	0.02	0.03	0.39	0.07	0.09	0.11	0.02	0.03	0	0.05	0.05	0.04	0.06	0.04	0.06	0.01	0.01	0.06	0.01	0.01	D	D	0.02	0.02	0.01	0	0.02	0.01	0.01	D	0.01	0.01	0.04	0.02	0.05	0.03	0.03	0.02	D	D	0
