Sample	Unknown	Peridiniales	Coscinodiscophyceae	Gymnodiniales	Dinophyceae	Bacterosira sp_ RCC4607	Cylindrotheca closterium	Prorocentrales	Environmental Unknown	Pseudo_nitzschia granii	Minidiscus trioculatus	Chaetocerotales	Chaetoceros cf_ neogracilis clade I	Chaetocerotaceae	Chaetoceros gelidus	Pseudo_nitzschia pungens	Thalassiosirales	Pseudo_nitzschia seriata	Fragilariopsis cylindrus	Prorocentrum	Bacillariophyceae	Pseudo_nitzschia	Gyrodinium dominans	Chaetoceros	Thalassiosira hyalina	Fragilariopsis oceanica	Thalassiosira	Gymnodiniaceae	Pseudo_nitzschia delicatissima	Florenciellales	Thalassiosira nordenskioeldii	Thalassiosiraceae	Chaetoceros cf_ neogracilis clade II	Thalassiosira sp_ RCC4858	Levanderina__f__o	Levanderina__f	Minidiscus	Cymatosirales	Suessiales	Thalassiosira sp_	Florenciella__f	Florenciella	Pelagomonadales	Shimiella gracilenta	Porosira glacialis	Shionodiscus sp_ IAL_2014	Kareniaceae	Fragilariopsis	Cylindrotheca	Chaetoceros atlanticus	Bacillariaceae	Karlodinium veneficum	Tovelliaceae	Azadinium dalianense	Heterocapsa triquetra	Asterionellopsis glacialis	Gyrodinium	Pseudochattonella	Pelagodinium	Eukaryota	Karlodinium	Mediophyceae	Heterocapsa	Dictyocha speculum	Fragilariopsis reginae_jahniae	Azadinium obesum	Chaetoceros sp_ CCAP 1010_16	Thalassiosira gravida	Mertensia ovum	Polarella glacialis	Laminariales	Scrippsiella	Thalassiosira bioculata	Suessiaceae	Gonyaulacales	Rhaponeidales	Shimiella	Porosira	Bacillariales	Chaetoceros cf_ neogracilis clade IV	Peridiniaceae	Skeletonemataceae	Azadinium perforatum	Karlodinium elegans	Gymnodinium	Aureococcus__f	Gymnodinium aureolum	Pseudo_nitzschia pseudodelicatissima	Chaetoceros cf_ neogracilis clade III	Corethron hystrix	Biecheleriaceae	Phaeophyceae	Prorocentrum criophilum	Thalassiosira aff_ guillardii IAL_2014	Tentaculata	Ctenophora sp_ _in_ diatoms_	Limacina helicina	Pythiales	Bacterosira	Fragilariopsis pacifica	Conticribra	Azadinium trinitatum	Hyperia galba	Luticola ventricosa	Diadesmidaceae	
MP_E1063_SKQ2021	218018	143	0	18720	2456	2	517	8	53	0	0	141	0	0	956	664	1	17	19	22	61	63	745	8	2	30	2	0	219	4	0	0	0	0	11	18	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MP_E1064_SKQ2021	195062	7	0	34181	335	0	3427	76	6	46	0	56	0	0	36	3328	0	51	6	103	0	369	2280	9	0	0	0	0	265	0	2	0	0	0	15	64	0	0	0	0	0	0	0	19	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MP_E1065_SKQ2021	251430	23914	0	11113	765	1	58	61	0	0	0	35	2	0	338	68	1	120	42	29	12	29	644	2	0	52	13	0	0	0	0	0	0	0	3	104	0	0	0	0	0	0	0	0	0	9	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	23	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MP_E1066_SKQ2021	256552	16142	0	11157	1449	0	339	73	0	0	0	17	0	0	227	119	0	97	65	20	1	0	217	1	0	106	0	0	13	0	0	1	0	0	11	87	0	0	0	3	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MP_E1067_SKQ2021	226638	1070	0	44099	731	0	5771	56	0	14	0	2058	0	7	37	4935	0	2	0	0	0	59	104	6	0	0	0	0	67	3	0	0	14	0	1	35	0	0	0	0	0	0	0	7	0	0	0	0	0	7	3	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MP_E1068_SKQ2021	240296	15747	0	10479	545	1	73	31	0	10	0	38	2	5	168	123	0	442	8	27	0	4	310	1	0	36	1	0	7	0	0	0	0	0	2	53	0	0	0	0	0	0	0	0	0	7	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MP_E1069_SKQ2021	248056	16865	0	9598	769	0	398	86	0	1	0	176	0	4	106	313	0	46	10	22	9	44	156	1	1	26	5	0	16	0	0	0	0	0	22	58	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MP_E1070_SKQ2021	50522	175	0	2018	73	0	1055	0	0	2	0	64	0	4	2	753	0	11	0	16	0	26	467	0	0	0	0	0	1	0	0	0	0	0	0	6	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MP_E1071_SKQ2021	153750	3382	0	12349	968	0	73	31	0	0	0	3	0	0	102	31	0	508	16	21	2	2	1181	1	0	10	22	0	0	0	0	0	0	0	5	169	0	0	0	0	0	0	0	0	2	9	0	0	0	0	7	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MP_E1072_SKQ2021	228575	5767	0	19919	2203	0	126	47	0	0	0	34	0	0	114	25	0	179	7	1	0	41	683	1	2	50	35	0	2	0	0	0	0	0	4	369	0	0	0	0	0	0	0	0	2	8	0	0	0	5	14	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
