All percentages range 0-100% of the total count for either Eukaryotes or Prokaryotes, with exception of the first three data rows (% Known, % Eukaryote, % Prokaryote), which represent %s of total reads.
Taxonomy String (K->S)	Terminal Taxa	MP_E1053_SKQ2021	MP_E1054_SKQ2021	MP_E1055_SKQ2021	MP_E1056_SKQ2021	MP_E1057_SKQ2021	MP_E1058_SKQ2021	MP_E1059_SKQ2021	MP_E1060_SKQ2021	MP_E1061_SKQ2021	MP_E1062_SKQ2021	MP_E1063_SKQ2021	MP_E1064_SKQ2021	MP_E1065_SKQ2021	MP_E1066_SKQ2021	MP_E1067_SKQ2021	MP_E1068_SKQ2021	MP_E1069_SKQ2021	MP_E1070_SKQ2021	MP_E1071_SKQ2021	MP_E1072_SKQ2021	MP_E1073_SKQ2021	MP_E1074_SKQ2021	MP_E1075_SKQ2021	MP_E1076_SKQ2021	MP_E1077_SKQ2021	MP_E1078_SKQ2021	MP_E1079_SKQ2021	MP_E1080_SKQ2021	MP_E1081_SKQ2021	MP_E1082_SKQ2021	MP_E1083_SKQ2021	MP_E1084_SKQ2021	MP_E1085_SKQ2021	MP_E1086_SKQ2021	MP_E1087_SKQ2021	MP_E1088_SKQ2021	MP_E1089_SKQ2021	MP_E1090_SKQ2021	MP_E1091_SKQ2021	MP_E1092_SKQ2021	MP_E1093_SKQ2021	MP_E1094_SKQ2021	MP_E1095_SKQ2021	MP_E1096_SKQ2021	MP_E1097_SKQ2021	MP_E1098_SKQ2021	MP_E1099_SKQ2021	MP_E1100_SKQ2021	MP_E1101_SKQ2021	MP_E1102_SKQ2021	MP_E1103_SKQ2021	MP_E1104_SKQ2021	MP_E1105_SKQ2021	MP_E1106_SKQ2021	MP_E1107_SKQ2021	MP_E1108_SKQ2021	MP_E1109_SKQ2021	MP_E1110_SKQ2021	MP_E1111_SKQ2021	MP_E1112_SKQ2021	MP_E1113_SKQ2021	MP_E1114_SKQ2021	MP_E1115_SKQ2021	MP_E1116_SKQ2021	MP_E1117_SKQ2021	MP_E1118_SKQ2021	MP_E1119_SKQ2021	MP_E1120_SKQ2021	MP_E1121_SKQ2021	MP_E1122_SKQ2021	MP_E1123_SKQ2021	MP_E1124_SKQ2021	MP_E1125_SKQ2021	MP_E1126_SKQ2021	MP_E1127_SKQ2021	MP_E1128_SKQ2021	MP_E1129_SKQ2021	MP_E1130_SKQ2021	MP_E1131_SKQ2021	MP_E1132_SKQ2021	MP_E1133_SKQ2021	MP_E1134_SKQ2021	MP_E1135_SKQ2021	MP_E1136_SKQ2021	MP_E1137_SKQ2021	MP_E1138_SKQ2021	MP_E1139_SKQ2021	MP_E1140_SKQ2021	MP_E1141_SKQ2021	MP_E1142_SKQ2021	MP_E1143_SKQ2021	MP_E1144_SKQ2021	MP_E1145_SKQ2021	MP_E1146_SKQ2021	MP_POSITIVE
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Bacterosira;Bacterosira sp_ RCC4607	Bacterosira sp_ RCC4607	0.00454318295397756	0.0307429547395389	0.00563205767227056	0	0.00520494469746259	0	0	0	0	0	0.00805315079524864	0	0.00267029827231702	0	0	0.00355454448512423	0	0	0	0	0	0	0	0	0	0	0.00355486038285846	0.00577990135635019	0.00177248395902017	0.00488621233035682	0	0.00437024735600035	0.00614835992499001	0.00601748078167075	0.00104690117252931	0.00122496478226251	0.00115102613980363	0.00109161963605401	0.00916170407695831	0.00204968434861031	0.0101303779644019	0.00278140906183072	0.0111911068004626	0.0300607226597727	0.00334008773297112	0.00210997172637887	0.00583294447036864	0	0.00947418285172904	0.0059348942105107	0.00261656810926788	0.00509385426482948	0.00428513273198637	0.00460903832415367	0.0269014428955735	0.0183726431343729	0.0450140965196996	0	0.0148945281227309	0.0495581068803172	0	0.00183600778467301	0	0.00336632330168989	0	0.0143226902104412	0	0.0113580863896051	0.0833238647123433	0	0.0132349535122258	0.166142161430405	0.00577924919296913	0.000876723858286356	0.0027805390074866	0.00725090862948763	0.245315363244074	0.0225843438379486	0	0	0.0313162674588191	0.0125792756433775	0.00256331385214806	0.00506149719086906	0.0063817838362179	0.00276980177451967	0.0126667792602601	0.0109240943505626	0.0359511064951666	0.00763941940412529	0.016588424597316	0.0126843555770805	0.0215463661224828	0.0243173981631012	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Bacterosira;NA	Bacterosira	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00447375249411701	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Conticribra;NA	Conticribra	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00314481891084438	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Minidiscus;Minidiscus trioculatus	Minidiscus trioculatus	0.00605757727197008	0	0.00281602883613528	0.0192662318002917	0	0	0	0	0.0033402364887434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00710972076571693	0	0	0.0109939777433028	0.00906634753123357	0	0	0.00150437019541769	0	0	0	0	0	0	0.00405215118576074	0	0.0242473980676689	0.00751518066494318	0	0	0.0102076528231451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00367201556934601	0	0	0	0	0	0	0	0	0	0	0.00577924919296913	0	0	0	0	0	0	0	0.00268425149647021	0.00733791079197023	0	0	0	0	0	0.00252094485012983	0	0.00327403688748227	0.0058059486090606	0.00691873940568029	0.00248611916797879	0.00187056908946932	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Minidiscus;NA	Minidiscus	0	0.00683176771989752	0.00985610092647349	0	0.00260247234873129	0.00223533619456366	0	0	0.0384127196205491	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00350963394517952	0	0	0.0167901050314348	0.00710972076571693	0.0134864364981504	0.00708993583608068	0.00488621233035682	0	0.00087404947120007	0.00614835992499001	0.0120349615633415	0	0	0.00230205227960727	0.00218323927210803	0	0.00819873739444126	0	0.00927136353943575	0.0205170291341814	0.0180364335958636	0.0167004386648556	0.0274296324429253	0.00583294447036864	0	0.00631612190115269	0.0296744710525535	0	0	0	0	0	0	0	0.00737191301142646	0.00930908007670682	0	0.0206565608415165	0.0385561634781331	0	0.0168316165084495	0.0262365275431066	0.00204609860149161	0.00748407762485313	0.00113580863896051	0	0	0.00992621513416934	0	0.0140353194686393	0	0.0041708085112299	0.00453181789342977	0.00147780339303659	0	0	0	0.00536850299294042	0.00419309188112585	0.00384497077822209	0	0	0	0	0	0	0.00654807377496453	0.0058059486090606	0.0230624646856009	0.00994447667191514	0	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;NA;NA	Thalassiosiraceae	0	0.00569313976658127	0.00704007209033821	0	0.0234222511385817	0	0	0	0.0050103547331151	0	0	0	0	0.00331477061787324	0	0	0	0	0	0	0	0	0	0	0.0121204775468153	0.0130589705800048	0.0142194415314339	0.00385326757090012	0	0.00610776541294602	0.00906634753123357	0.00174809894240014	0	0.0105305913679238	0.00104690117252931	0	0.00805718297862544	0	0.016491067338525	0.0225465278347135	0.0141825291501626	0.0185427270788715	0.00559555340023128	0.00901821679793182	0.0167004386648556	0	0.0116658889407373	0	0.00789515237644087	0.00890234131576605	0.00523313621853577	0	0	0	0.00489117143555882	0	0	0	0	0.00550645632003524	0.00635586487431277	0.0165240700620571	0	0.00897686213783972	0	0	0.00374203881242656	0.00681485183376305	0.00504993119468747	0	0.00441165117074193	0	0	0	0	0	0	0	0	0	0.00268425149647021	0.00209654594056292	0	0	0	0.000923267258173223	0.00281483983561335	0	0	0	0	0.00115312323428005	0.00331482555730505	0.00498818423858485	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Porosira;NA	Porosira	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00174809894240014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Porosira;Porosira glacialis	Porosira glacialis	0	0	0	0.00550463765722621	0	0	0	0	0.0050103547331151	0	0	0	0	0	0	0	0	0	0.0105808909110147	0.00674399784192069	0	0	0	0	0	0	0.00177743019142923	0	0	0.00244310616517841	0	0	0.0015370899812475	0.00752185097708844	0	0.00857475347583757	0.00460410455921454	0	0.0549702244617499	0.0840370582930229	0.00202607559288037	0	0	0.00300607226597727	0.0178138012425126	0	0	0.00456527197607797	0	0	0	0	0.00214256636599319	0	0	0	0.00947665189888412	0	0	0	0	0	0	0	0	0.00409219720298321	0	0	0.00504993119468747	0	0.00110291279268548	0.000879059055187327	0	0	0	0	0	0	0	0	0	0	0.00128165692607403	0	0.00063817838362179	0	0.00492596971232337	0.00504188970025966	0.0343532795398258	0.00218269125832151	0	0	0.00414353194663131	0	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Shionodiscus;Shionodiscus sp_ IAL_2014	Shionodiscus sp_ IAL_2014	0	0	0	0.0412847824291966	0.0130123617436565	0	0.0249912530614285	0.0101209452962907	0	0	0	0	0.0240326844508532	0	0	0.0248818113958696	0.0104391398148793	0	0.0476140090995662	0.0269759913676828	0.092001298841866	0.0520439061317184	0.094760116519847	0.0646507390754944	0	0.0111934033542899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00229658039179661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000843582865144843	0	0.00184653451634645	0	0	0.000798913477670368	0	0	0	0	0.00124704605964621	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira;NA	Thalassiosira	0.00908636590795511	0	0.0168961730168117	0.0110092753144524	0	0	0	0.030362835888872	0	0.0307629204265792	0.00805315079524864	0	0.0347138775401212	0	0	0.00355454448512423	0.0173985663581321	0	0.116389800021162	0.118019962233612	0	0.0898940196820591	0.0596637770680518	0	0	0	0.00355486038285846	0	0.00354496791804034	0	0	0.00786644524080063	0.00614835992499001	0.00300874039083538	0.00104690117252931	0	0.00230205227960727	0.00109161963605401	0	0.00614905304583094	0.00202607559288037	0	0.00373036893348752	0.0375759033247159	0.00445345031062816	0	0.0072911805879608	0.0182610879043119	0.0394757618822043	0.0118697884210214	0.0104662724370715	0.010187708529659	0.0149979645619523	0.00230451916207683	0.0195646857422353	0.0137794823507797	0.073444052216352	0.0276446737928492	0.0428217683528514	0.0165193689601057	0	0	0	0.00112210776722996	0	0.0327375776238657	0	0.00681485183376305	0.0719615195242965	0.0140680460566185	0.0154407790975968	0.159988748044094	0.0198145686616084	0.00438361929143178	0.0152929645411763	0.0117827265229174	0.540876041851392	0.0295333727111636	0.00302306599353064	0	0.0143160079811744	0.027255097227318	0.00256331385214806	0.00927941151659327	0.00191453515086537	0.0101559398399055	0.0246298485616168	0.0428560624522071	0.0535272030039147	0.0360144057623049	0.0298591642751688	0.0622686546511226	0.00662965111461009	0.0187056908946932	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira;Thalassiosira aff_ guillardii IAL_2014	Thalassiosira aff_ guillardii IAL_2014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00879059055187327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira;Thalassiosira bioculata	Thalassiosira bioculata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00192663378545006	0.00177248395902017	0	0	0	0	0	0	0	0.00920820911842908	0	0	0.0102484217430516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00236916297472103	0	0.00558544804602409	0	0	0.00183600778467301	0	0.00224421553445993	0	0	0.00149681552497062	0.00567904319480254	0	0.00757510172279456	0.00551456396342741	0.00175811811037465	0.0189889616340414	0	0	0	0	0	0	0	0.00268425149647021	0.00314481891084438	0.00512662770429611	0	0	0	0	0	0	0.00545672814580378	0.0058059486090606	0.00691873940568029	0	0	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira;Thalassiosira gravida	Thalassiosira gravida	0	0	0	0	0	0	0	0	0	0	0	0	0	0.013259082471493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira;Thalassiosira hyalina	Thalassiosira hyalina	0.0121151545439402	0.0182180472530601	0	0.024770869457518	0	0.00223533619456366	0.0349877542859999	0	0	0.0205086136177194	0.00805315079524864	0	0	0	0	0	0.00347971327162642	0	0	0.00674399784192069	0	0	0	0	0.0222208755024948	0	0	0	0	0.0012215530825892	0	0	0	0	0	0	0.00115102613980363	0	0.0128263857077416	0	0.00607822677864111	0.0148341816630972	0	0.0195394697288523	0.0389676902179964	0.00843988690551547	0.00437470835277648	0.0205437238923509	0.0110532133270172	0.0103860648683937	0.0130828405463394	0	0	0.00230451916207683	0	0	0	0.00921489126428308	0.0130327121073895	0	0	0.00183600778467301	0	0	0	0.0306914790223741	0	0	0.0782739335176558	0.00324647216691196	0	0.238225003955766	0.0214657827167425	0.00876723858286356	0.0104270212780748	0.00906363578685954	0.880770822249808	0.0156353149647337	0.0241845279482451	0	0.00984225548705744	0.00943445673253315	0.00384497077822209	0.00421791432572422	0.00574360545259611	0.00553960354903934	0.00633338963013005	0	0.0023967404330111	0.0152788388082506	0.0099530547583896	0.0230624646856009	0.0140880086185464	0.0105998915069928	0
