sample	lat	long	replicate	Site	Depth	bottle	Fluorescence WET Labs ECO-AFL/FL [mg/m^3]	CStarAt0 Beam Attenuation WET Labs C-Star [1/m]	CStarTr0 Beam Transmission WET Labs C-Star %	oxy_conc_ch1 (micromole/kg)	salinity_ch1 (PSU)	salinity_ch2 (PSU)	sigma_t_ch1 (kg m-3)	sigma_t_ch2 (kg m-3)	temperature_ch1 (degree_C)	temperature_ch2 (degree_C)	pressure (decibar)	time (UTC)
E1973.SKQ23-12S	70.71706	-162.85558	E1973	IC10	36.772	1	0.1386	4.0046	36.7461	200.463	31.4655	31.4765	24.8355	24.8441	5.3525	5.3534	37.153	2023-9-26T19:9:35
E1974.SKQ23-12S	70.71712	-162.85328	E1974	IC10	10.248	14	0.854	0.6251	85.5314	293.226	28.6433	28.6524	22.4794	22.4867	6.4743	6.4725	10.353	2023-9-26T19:17:58
E1975.SKQ23-12S	70.8487	-163.18464	E1975	IC09	38.825	1	0.1651	2.6642	51.3733	234.768	31.7878	31.7985	25.1921	25.2006	4.4014	4.4014	39.228	2023-9-26T23:42:3
E1976.SKQ23-12S	70.84874	-163.1849	E1976	IC09	10	14	0.9691	0.5727	86.6601	293.694	30.3253	30.3506	23.879	23.8986	5.8418	5.8456	10.103	2023-9-26T23:51:40
E1977.SKQ23-12S	70.97168	-163.5666	E1977	IC08	39.82	1	0.3073	2.5276	53.1584	293.203	32.0905	32.1022	25.6628	25.6721	1.6897	1.6902	40.233	2023-9-27T2:33:2
E1978.SKQ23-12S	70.97158	-163.56684	E1978	IC08	30.215	6	0.3439	2.3	56.2701	293.379	32.0852	32.0974	25.6549	25.6649	1.7438	1.7401	30.528	2023-9-27T2:35:48
E1979.SKQ23-12S	70.97154	-163.56698	E1979	IC08	10.431	13	0.6315	0.5799	86.5056	305.295	30.4675	30.4778	24.1177	24.1256	4.6704	4.6728	10.538	2023-9-27T2:42:25
E1980.SKQ23-12S	71.08482	-163.80274	E1980	IC07	37.776	1	0.2019	2.1566	58.3245	300.262	32.188	32.1988	25.8033	25.8118	0.6689	0.6725	38.168	2023-9-27T4:2:51
E1981.SKQ23-12S	71.08482	-163.80274	E1981	IC07	10.233	13	0.57	0.5096	88.0385	314.676	30.8767	30.8868	24.5288	24.5368	3.7699	3.77	10.338	2023-9-27T4:11:47
E1982.SKQ23-12S	71.19488	-164.19864	E1982	IC06	38.711	1	0.2935	1.669	65.8862	290.62	32.3555	32.3676	26.0064	26.0162	-0.8807	-0.8798	39.113	2023-9-27T6:49:54
E1983.SKQ23-12S	71.19488	-164.19864	E1983	IC06	10.349	13	0.6969	0.5441	87.2811	306.15	31.1235	31.1338	24.6638	24.673	4.4121	4.4019	10.456	2023-9-27T6:58:26
E1984.SKQ23-12S	71.33644	-164.61042	E1984	IC05	38.641	1	0.3068	1.6253	66.6092	259.061	32.4554	32.4667	26.0992	26.1084	-1.2697	-1.2684	39.044	2023-9-27T8:35:42
E1985.SKQ23-12S	71.33688	-164.61118	E1985	IC05	10.231	13	0.1112	0.422	89.9887	324.35	30.6361	30.6469	24.4137	24.4221	2.8669	2.8689	10.336	2023-9-27T8:43:31
E1986.SKQ23-12S	71.44816	-164.9151	E1986	IC04	36.675	1	0.48	1.4886	68.9249	266.142	32.4984	32.5099	26.1289	26.1381	-1.0908	-1.0879	37.057	2023-9-27T11:45:12
