dada2_input	filtered	dada_f	dada_r	merged	nonchim	final_perc_reads_retained
MP_E486_PCR3	205354	142969	142779	142759	138178	135005	65.7
MP_E492_1B_PCR2	206011	143905	143739	143781	127300	125772	61.1
MP_E492_1B_PCR3	197268	142676	142577	142549	128119	127004	64.4
MP_E494_PCR2	251376	155582	155510	155505	150878	148595	59.1
MP_E494_PCR3	212599	134229	134144	134157	130235	128467	60.4
MP_E496_1T_PCR2	295576	194606	194400	194346	192044	184203	62.3
MP_E496_1T_PCR3	322901	216610	216397	216379	213779	205602	63.7
MP_E496_3B_PCR2	214924	140916	140776	140858	138979	134020	62.4
MP_E496_3B_PCR3	250666	166617	166457	166454	164349	158394	63.2
MP_E498_1B_PCR2	247727	199784	199712	199644	197039	190347	76.8
MP_E498_1B_PCR3	6096	5230	5220	5227	5128	5051	82.9
MP_E498_2B_PCR2	261114	219564	219469	219512	218077	212217	81.3
MP_E498_2B_PCR3	278981	231577	231400	231512	229843	223401	80.1
MP_E498_3B_PCR2	203843	148744	148676	148625	145990	138358	67.9
MP_E498_3B_PCR3	214445	160465	160366	160388	157531	149497	69.7
MP_E573_1B_PCR2	220967	140884	140733	140738	135493	131162	59.4
MP_E573_1B_PCR3	168500	110937	110851	110858	106706	104090	61.8
MP_E573_2B_PCR2	256132	178483	178316	178342	172067	166300	64.9
MP_E573_2B_PCR3	261401	185302	185158	185149	178525	173709	66.5
MP_E573_3B_PCR2	234208	152137	152031	152045	146716	142090	60.7
MP_E573_3B_PCR3	235605	152748	152634	152621	147371	143259	60.8
MP_E574_1B_PCR2	182926	159259	159144	159207	156228	151757	83
MP_E574_1B_PCR3	202764	176637	176568	176596	173631	169053	83.4
MP_E574_2B_PCR2	234038	168111	168024	168041	164287	159707	68.2
MP_E574_2B_PCR3	179602	127949	127874	127894	125027	121165	67.5
MP_E574_3B_PCR2	248169	178375	178281	178291	174566	170346	68.6
MP_E574_3B_PCR3	288804	208788	208711	208742	204211	199113	68.9
MP_E575_1B_PCR2	230247	209157	208998	208999	202293	184204	80
MP_E575_1B_PCR3	248565	224357	224239	224223	216921	197919	79.6
MP_E575_2B_PCR2	252101	234328	234154	234084	228162	209242	83
MP_E575_2B_PCR3	251984	232187	232058	231998	225936	207966	82.5
MP_E575_3B_PCR2	227461	212826	212713	212710	208078	191689	84.3
MP_E575_3B_PCR3	130000	121827	121740	121804	119173	110199	84.8
MP_E598_1B_PCR2	287518	209810	209609	209581	173275	171156	59.5
MP_E598_1B_PCR3	170986	125692	125516	125485	103786	102737	60.1
MP_E598_2B_PCR2	262135	189882	189662	189670	167696	164502	62.8
MP_E598_2B_PCR3	212013	156377	156190	156167	138000	135756	64
MP_E598_3B_PCR2	220807	160020	159875	159864	133255	130469	59.1
MP_E598_3B_PCR3	194311	140813	140651	140638	117041	115108	59.2
MP_E600_1B_PCR2	222019	193192	193073	193122	190424	173593	78.2
MP_E600_1B_PCR3	223203	194450	194370	194355	191672	175639	78.7
MP_E600_2B_PCR2	183548	156990	156890	156921	154973	139571	76
MP_E600_2B_PCR3	203773	175064	174992	175010	172845	157138	77.1
MP_E600_3B_PCR2	161896	131415	131270	131365	129377	114850	70.9
MP_E600_3B_PCR3	267199	215892	215726	215759	212699	188973	70.7
MP_POSITIVE	46489	45862	45792	45862	45679	45616	98.1
