cast,date,time,nb,Sbeox0ML/L,Sbeox0PS,Sbox0Mm/Kg,Sbeox1ML/L,Sbeox1PS,Sbox1Mm/Kg,Sal00,Sal11,Sigma-t00,Sigma-t11,FlECO-AFL,T090C,T190C,TurbWETntu0,PrDM
ctd041,11-Sep-20,10:04:55,5,6.5912,91.57,287.013,6.4795,90.019,282.152,32.386,32.3922,25.6034,25.6084,0.7157,4.9993,4.9983,0.4394,16.088
ctd041,11-Sep-20,10:04:56,6,6.5689,91.252,286.042,6.466,89.823,281.563,32.3918,32.3957,25.6086,25.6144,0.6688,4.9938,4.9691,0.4538,16.133
ctd041,11-Sep-20,10:06:28,7,6.6599,98.245,290.819,6.537,96.433,285.454,29.298,29.3022,22.7359,22.7392,1.6004,8.4561,8.4556,0.3715,3.494
ctd041,11-Sep-20,10:06:29,8,6.6618,98.27,290.9,6.5337,96.381,285.308,29.2979,29.3011,22.736,22.7384,1.576,8.4549,8.456,0.3656,3.119
ctd055,13-Sep-20,21:59:04,1,5.9149,69.826,257.29,5.8335,68.864,253.749,33.1865,33.1889,26.7022,26.7042,0.8446,-1.6253,-1.6244,2.5872,38.944
ctd055,13-Sep-20,21:59:07,2,5.9,69.651,256.642,5.8184,68.688,253.092,33.1863,33.1887,26.702,26.704,0.7562,-1.6246,-1.6245,2.4537,39.03
ctd055,13-Sep-20,21:59:45,3,5.939,70.109,258.341,5.8086,68.569,252.667,33.1773,33.1801,26.6947,26.697,1.1079,-1.6235,-1.6229,1.6678,30.654
ctd055,13-Sep-20,21:59:46,4,5.9407,70.13,258.413,5.7982,68.447,252.215,33.1775,33.1802,26.6948,26.6971,0.942,-1.6231,-1.6231,1.5671,30.244
ctd055,13-Sep-20,22:00:57,5,12.3772,153.683,538.884,11.0125,136.739,479.469,32.1229,32.1406,25.7565,25.7724,0.6345,0.5643,0.5337,0.2861,15.631
ctd055,13-Sep-20,22:00:59,6,12.7261,159.295,554.177,10.8977,136.408,474.557,31.9131,31.8898,25.5676,25.5467,0.6607,0.9321,0.9697,0.2773,14.642
ctd055,13-Sep-20,22:01:59,7,7.6339,99.072,333.426,7.483,97.114,326.835,28.2818,28.2855,22.5006,22.5035,0.1281,3.3416,3.3416,0.1677,3.105
ctd055,13-Sep-20,22:02:04,8,7.6389,99.138,333.646,7.4893,97.197,327.114,28.2825,28.2852,22.5012,22.5032,0.087,3.3414,3.3416,0.1708,2.695
ctd043,11-Sep-20,13:01:10,1,6.0633,86.352,264.135,5.9455,84.675,259.004,32.0217,32.0252,25.1816,25.1854,0.3189,6.1507,6.1416,1.0771,29.51
ctd043,11-Sep-20,13:01:12,2,6.0461,86.094,263.385,5.9401,84.585,258.769,32.0211,32.0248,25.1818,25.1849,0.3048,6.1443,6.1433,1.1077,29.58
