ASV	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_19166	Eukaryota	Bigyra__p	Bigyra	Mastreximonas__f__o	NA	NA	NA
ASV_19167	Eukaryota	Polycystinea__p	Polycystinea	Spumellaria	Ethmosphaeridae	NA	NA
ASV_19168	Eukaryota	Dinophyceae__p	Dinophyceae	Psammosa__f__o	Psammosa__f	NA	NA
ASV_19169	Eukaryota	Annelida	Polychaeta	Opheliidae__o	Opheliidae	NA	NA
ASV_1917	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	Thalassiosira punctigera
ASV_19170	Eukaryota	Zoopagomycota	Basidiobolomycetes	Basidiobolales	Basidiobolaceae	NA	NA
ASV_19171	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_19172	Eukaryota	Dinophyceae__p	Dinophyceae	NA	NA	NA	NA
ASV_19173	Eukaryota	Dinophyceae__p	Dinophyceae	Syndiniales	Amoebophryaceae	NA	NA
ASV_19174	Eukaryota	Rhodophyta	Florideophyceae	NA	NA	NA	NA
ASV_19175	Eukaryota	Dinophyceae__p	Dinophyceae	NA	NA	NA	NA
ASV_19176	Eukaryota	Dinophyceae__p	Dinophyceae	Syndiniales	NA	NA	NA
ASV_19177	Eukaryota	Dinophyceae__p	Dinophyceae	NA	NA	NA	NA
ASV_19178	Eukaryota	Annelida	Polychaeta	Terebellida	Ampharetidae	Sosane	Sosane wahrbergi
ASV_19179	Eukaryota	Dinophyceae__p	Dinophyceae	Peridiniales	NA	NA	NA
ASV_1918	Eukaryota	Ctenophora	Tentaculata	Cydippida	Mertensiidae	Mertensia	Mertensia ovum
ASV_19180	Eukaryota	Ciliophora	Oligohymenophorea	Philasterida	Loxocephalidae	NA	NA
ASV_19181	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	Pseudocalanus acuspes
ASV_19182	Eukaryota	Apicomplexa	Conoidasida	Corallicolida	NA	NA	NA
ASV_19183	Eukaryota	Chlorophyta	Trebouxiophyceae	NA	NA	NA	NA
ASV_19184	Eukaryota	Dinophyceae__p	Dinophyceae	Syndiniales	NA	NA	NA
ASV_19187	Eukaryota	Euglenozoa	Diplonemea	NA	NA	NA	NA
ASV_19188	Eukaryota	Dinophyceae__p	Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	NA
ASV_19189	Eukaryota	Sticholonchida__c__p	Sticholonchida__c	Sticholonchida	Sticholonchidae	NA	NA
ASV_1919	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Melosirales	NA	NA	NA
ASV_19190	Eukaryota	Dinophyceae__p	Dinophyceae	Blastodiniales	Blastodinium__f	NA	NA
ASV_19191	Eukaryota	Dinophyceae__p	Dinophyceae	Syndiniales	Amoebophryaceae	NA	NA
ASV_19192	Eukaryota	Endomyxa	Ascetosporea	Haplosporida	NA	NA	NA
ASV_19193	Eukaryota	Dinophyceae__p	Dinophyceae	Syndiniales	NA	NA	NA
ASV_19194	Eukaryota	Dinophyceae__p	Dinophyceae	Syndiniales	Amoebophryaceae	NA	NA
ASV_19195	Eukaryota	Arthropoda	Malacostraca	Cumacea	Leuconidae	Eudorella	NA
ASV_19196	Eukaryota	Euglenozoa	Euglenida	Petalomonadida	Scytomonadidae	NA	NA
