x	MP_E611_1B_WCOA21	MP_E614_WCOA21	MP_E619_WCOA21	MP_E624_WCOA21	MP_E645_WCOA21	MP_E668_WCOA21	MP_E671_WCOA21	MP_E678_WCOA21	MP_E697_WCOA21	MP_E731_WCOA21	MP_E754_WCOA21	MP_E777_WCOA21	MP_E782_WCOA21	MP_E786_WCOA21	MP_E790_WCOA21	MP_E806_1B_WCOA21	MP_E815_WCOA21	MP_E820_WCOA21	MP_E828_WCOA21	MP_E834_WCOA21	MP_E882_1B_WCOA21	MP_E888_WCOA21	MP_E893_WCOA21	MP_E897_WCOA21	MP_E902_1B_WCOA21	MP_E969_1T_NA128	MP_E970_1T_NA128	MP_E971_1T_NA128	MP_E972_1T_NA128	MP_E973_1T_NA128	MP_E977_2T_NA128	MP_E978_2T_NA128	MP_E979_1T_NA128	MP_E980_1T_NA128	MP_E985_1T_NA128	MP_E991_1T_NA128	MP_E994_2T_NA128	MP_E995_1T_NA128	MP_E996_1T_NA128	MP_E1005_1T_NA128	MP_E1011_2T_NA128	MP_E1012_1T_NA128	MP_E1013_1T_NA128	MP_E1014_1T_NA128	MP_E1015_1T_NA128	MP_E1020_1T_NA128	MP_E1021_1T_NA128	MP_E1022_1T_NA128	MP_E1024_1T_NA128	MP_E1025_1T_NA128	MP_E1623_1B_Chaba22	MP_E1624_1B_Chaba22	MP_E1625_1B_Chaba22	MP_E1626_1B_Chaba22	MP_E1627_1B_Chaba22	MP_E1631_Chaba22	MP_E1632_Chaba22	MP_E1634_Chaba22	MP_E1635_Chaba22	MP_E1637_Chaba22	MP_E2084_SKQ23_12S	MP_E2090_SKQ23_12S	MP_E2097_SKQ23_12S	MP_E2138_1T_QiavacTest	MP_E2138_2T_QiavacTest	MP_E2139_1T_QiavacTest	MP_E2139_2T_QiavacTest	MP_E2139_3T_QiavacTest	MP_E2139_4T_QiavacTest	MP_E2140_Kotzebue23	MP_E2141_Kotzebue23	MP_POSITIVE
ASV_11171	0	0	85	0	0	400	39	0	0	0	212	38	0	0	0	0	43	36	65	0	0	0	0	0	0	2089	189	34	206	89	28	0	0	0	0	0	60	66	74	50	22	0	0	2	0	15	0	0	0	74	9	0	48	195	13	86	241	201	202	156	0	69	76	75	74	111	24	122	39	0	0	1
ASV_1118	359	8	47	0	0	0	0	54	0	1290	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	28	32	0	0	0	0	0	0	0	0	0	0	0	0	2	35	14	27	0	20	65	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1119	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	49	719	540	809	0	0	27	0	0	0	0	0	0	37	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_11190	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	6	0	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	17	0	0	0	24	0	0	0	0	16	6	6	21	0	0	0	0
ASV_11193	278	0	16	143	0	0	27	26	0	0	0	51	0	0	174	0	70	0	4	255	0	0	0	0	0	373	44	40	35	1	13	22	4	10	0	0	275	268	163	316	5	88	51	3	0	1	0	0	183	153	768	13	36	160	75	123	104	335	124	173	0	0	0	0	0	0	0	0	0	41	11	0
ASV_11195	0	2440	1406	1715	468	60	389	60	0	0	349	61	890	1562	1006	64	0	143	237	0	1050	0	0	2	211	1137	1710	2389	1349	150	332	697	218	391	3761	8295	0	29	13	20	132	1006	285	616	108	207	223	72	517	698	45	87	0	152	828	59	82	6	60	40	0	0	22	0	0	0	0	0	0	0	0	0
ASV_11198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1120	0	0	0	0	0	0	56	186	0	0	26	231	0	0	0	5	445	15	46	0	0	0	0	15	0	10	124	111	249	0	117	7	0	0	0	0	0	0	0	0	0	45	212	16	0	18	0	71	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_11206	0	0	0	0	0	0	0	0	0	863	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	8	0	11	0	0	0	34	0	7	0	0	19	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_11207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_11209	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_11215	0	0	0	0	0	0	27	133	0	0	0	0	234	0	0	5	0	23	68	0	0	0	0	23	0	0	0	27	0	0	0	9	0	162	0	0	0	45	73	151	0	0	0	0	0	0	0	0	0	363	442	30	134	220	61	76	59	179	0	72	0	0	17	409	372	438	180	497	319	0	4	0
ASV_11217	676	373	966	2050	0	285	621	1895	912	127	280	1004	0	0	230	65	399	150	295	181	387	0	755	62	107	305	160	649	60	690	466	1495	141	499	371	210	428	475	601	705	41	987	359	362	110	207	40	147	4206	448	690	2848	89	693	2178	739	764	167	567	209	0	0	37	0	0	0	0	0	0	0	0	0
ASV_11219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	158	48	0	55	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	170	60	0	25	0	60	0	37	0	53	0	0	0	0	0	0	0	0	0	0
ASV_11221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0
ASV_11222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0
ASV_11224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	3	4	4	7	16	2	0	0	0
ASV_11228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	6	12	7	0	19	0	0	0
ASV_11229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	5	20	4	0	5	41	389	0
ASV_11230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0
ASV_11232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	1	5	9	3	64	25	0
ASV_11233	0	146	50	0	0	174	0	75	0	0	0	40	0	0	0	0	0	20	0	0	0	0	0	6	0	0	0	0	0	0	61	0	0	0	0	18	84	23	18	31	3	82	40	79	30	93	25	22	0	245	0	27	131	0	52	13	0	0	12	0	0	0	0	181	43	60	71	100	97	304	235	0
ASV_11234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0
ASV_11237	0	1000	0	964	0	0	0	88	61	0	127	0	189	0	0	0	206	327	53	0	0	0	0	0	0	0	0	0	0	370	41	186	0	0	0	0	675	357	560	179	281	482	149	90	177	976	74	302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_11238	70	77	31	0	0	21	5	307	0	135	9	488	29	18	72	1	43	47	5	7	10	0	0	8	0	17	12	5	0	38	20	26	14	4	16	19	911	238	450	17	3	43	77	24	12	17	29	16	0	0	10	0	0	29	0	5	3	0	6	0	0	0	36	0	0	0	0	0	0	0	0	0
ASV_1124	0	60	0	0	0	0	58	28	0	0	94	0	0	0	0	0	0	128	91	0	0	0	0	28	0	40	0	0	0	108	56	273	0	0	0	0	328	383	186	236	6	106	156	77	7	50	77	7	0	0	242	564	0	52	338	89	91	85	187	88	0	9	50	0	0	0	0	0	0	0	0	0
ASV_11247	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	283	224	368	97	188	75	0	0	0
ASV_11249	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	41	0	0	0	0	0	0	0	152	103	55	36	110	75	9	0	0
ASV_11271	0	23	0	0	0	0	0	86	0	0	7	67	0	0	0	0	83	0	241	0	39	0	0	17	0	0	0	0	0	0	10	17	0	45	104	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1128	0	0	0	0	0	0	0	0	0	0	0	54	888	1772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	56	0	75	0	0	65	18	0	0	0	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_11288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	10	0	0	19	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_11290	0	65	109	0	0	355	194	366	0	0	1111	567	0	0	139	16	93	221	413	0	177	0	466	60	103	213	296	194	45	98	377	275	75	0	113	91	1976	1634	1592	800	30	17	61	100	45	30	113	102	522	124	454	1240	33	208	1610	673	471	1806	547	1477	0	186	230	962	305	477	288	397	445	18	0	1
ASV_11296	591	462	0	0	0	66	36	255	856	2175	46	189	178	806	219	60	71	36	65	68	175	0	188	41	40	57	128	164	159	54	0	585	0	0	0	156	71	100	69	310	13	59	140	280	41	50	125	2	0	225	47	74	103	0	32	59	84	39	30	8	0	203	22	0	0	0	0	0	0	0	0	0
ASV_1130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1692	174	79	0	0	0	0	0	0
ASV_11322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	21	0	29	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	46	0	372	0	216	0	0	0	0	0	0	0	0	0	27	67	0
ASV_11327	0	0	319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	144	46	47	38	13	83	15	133	0	71	0	0	0	0	0	44	12	12	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1133	0	0	0	0	0	0	0	379	0	0	0	0	0	0	0	12	156	0	17	0	0	0	0	0	0	56	0	0	36	192	78	347	0	0	0	68	0	0	0	0	47	102	0	23	49	232	186	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
