dada2_input	filtered	dada_f	dada_r	merged	nonchim	final_perc_reads_retained
MP_E1849_OC0723	103621	96019	95964	95967	94977	93075	89.8
MP_E1850_OC0723	107160	98814	98608	98573	97881	97181	90.7
MP_E1851_OC0723	135130	127452	127138	127031	125722	122452	90.6
MP_E1852_OC0723	88514	81441	81397	81423	81111	80932	91.4
MP_E1853_OC0723	113822	107286	107113	107201	106513	104848	92.1
MP_E1854_OC0723	153267	144730	144505	144495	142390	137459	89.7
MP_E1855_OC0723	128812	121229	121032	121002	120221	118576	92.1
MP_E1856_OC0723	106475	98764	98595	98596	97884	96676	90.8
MP_E1857_OC0723	120757	114752	114509	114485	113723	111525	92.4
MP_E1858_OC0723	138140	130682	130210	130230	128413	120593	87.3
MP_E1859_OC0723	96268	90028	89945	89908	89567	89192	92.6
MP_E1860_OC0723	132415	125612	125548	125528	125285	125134	94.5
MP_E1861_OC0723	104724	98989	98929	98941	98629	98476	94
MP_E1862_OC0723	92697	87271	87238	87250	87016	86966	93.8
MP_E1863_OC0723	110006	104461	104397	104382	104098	103764	94.3
MP_E1864_OC0723	95506	85099	84990	85011	84388	83902	87.8
MP_E1865_OC0723	108246	101329	101235	101219	100668	99909	92.3
MP_E1866_OC0723	98001	91408	91304	91363	90872	90203	92
MP_E1867_OC0723	117550	111994	111917	111985	111496	110835	94.3
MP_E1868_OC0723	53508	50114	50081	50088	50018	49999	93.4
MP_E1869_OC0723	131118	124787	124645	124603	124083	123104	93.9
MP_E1870_OC0723	82737	77690	77593	77579	77186	76669	92.7
MP_E1871_OC0723	86430	81823	81702	81784	81554	81182	93.9
MP_E1872_OC0723	90008	85424	85354	85310	84866	83957	93.3
MP_E1873_OC0723	98512	92492	92445	92407	91988	89431	90.8
MP_E1874_OC0723	100928	95450	95417	95392	95094	93382	92.5
MP_E1875_OC0723	89208	84638	84562	84615	84355	83261	93.3
MP_E2128_1B	43347	32401	32377	32380	32167	31610	72.9
MP_E2128_2B	85514	75610	75535	75551	75209	74400	87
MP_E2128_4B	70451	60459	60447	60438	60286	60016	85.2
MP_E2129_1B	30660	22353	22348	22332	22192	21696	70.8
MP_E2129_2B	18528	17259	17256	17254	17206	17206	92.9
MP_E2129_3B	50666	36331	36324	36327	36251	36234	71.5
MP_E2129_4B	30956	26441	26429	26440	26212	26210	84.7
MP_E2129_5B	21180	14957	14954	14954	14902	14899	70.3
MP_E2130_1B	63526	58973	58960	58955	58849	58766	92.5
MP_E2130_2B	51668	48044	48032	48023	47766	47711	92.3
MP_E2130_3B	49884	46567	46556	46557	46490	46437	93.1
MP_E2130_4B	57840	49594	49579	49566	49473	49343	85.3
MP_E2130_5B	33514	30242	30238	30236	30205	30200	90.1
MP_E2131_1B	81375	73567	73510	73492	73253	73044	89.8
MP_E2131_2B	14900	13139	13118	13137	13108	13107	88
MP_E2131_3B	39992	35757	35748	35742	35662	35662	89.2
MP_E2131_4B	64445	59186	59173	59130	59039	59019	91.6
MP_E2131_5B	73430	66865	66809	66807	65052	64794	88.2
MP_E2132_1B	104933	99156	98893	98829	97264	90694	86.4
MP_E2132_2B	92395	85131	85073	85065	84517	81893	88.6
MP_E2132_3B	93794	85306	85200	85227	84605	82639	88.1
MP_E2132_4B	61136	56809	56806	56802	56618	56509	92.4
MP_E2132_5B	30257	22996	22966	22966	22638	21600	71.4
MP_E2133_1B	98796	90087	90004	89973	89349	87242	88.3
MP_E2133_2B	62002	49960	49942	49947	49735	49002	79
MP_E2133_3B	43132	38633	38624	38620	38544	38469	89.2
MP_E2133_4B	76922	66540	66506	66512	66247	65567	85.2
MP_E2133_5B	62512	56866	56842	56845	56621	56220	89.9
MP_E2134_2B	36731	29693	29688	29689	28438	28438	77.4
MP_E2134_4B	57546	40620	40453	40406	39231	33553	58.3
MP_E2134_5B	21012	18936	18934	18928	18881	18881	89.9
MP_E2135_2B	95791	88264	88215	88178	87554	84314	88
MP_E2135_3B	109458	101765	101508	101542	100293	96352	88
MP_E2135_4B	51073	47216	47195	47153	46952	46314	90.7
MP_E2135_5B	106922	96974	96800	96813	95529	89226	83.4
MP_E2136_2B	11237	8249	8247	8244	8223	8216	73.1
MP_E2136_3B	62919	56805	56742	56798	56463	56203	89.3
MP_E2136_4B	37032	33713	33707	33707	33668	33650	90.9
MP_E2136_5B	21162	19122	19119	19121	19090	19043	90
MP_E2137_1B	26168	23842	23835	23830	23810	23807	91
MP_E446_1B_PCR2	117596	109817	109701	109621	108723	103764	88.2
MP_E446_1B_PCR3	106991	101030	100964	100958	99918	97254	90.9
MP_E446_2B_PCR2	75250	70935	70870	70886	70522	69148	91.9
MP_E446_2B_PCR3	120599	115405	115253	115260	114354	111169	92.2
MP_E446_3B_PCR2	51101	48453	48413	48385	48082	46761	91.5
MP_E446_3B_PCR3	119544	109567	109456	109463	108701	105252	88
MP_E447_1B_MiFishMod	110657	105455	105437	105424	105082	104739	94.7
MP_E447_1B_PCR2	121305	114798	114761	114732	114383	113580	93.6
MP_E447_1B_PCR3	113582	108395	108343	108300	107873	107045	94.2
MP_E447_2B_MiFishMod	81904	77406	77340	77374	77095	76691	93.6
MP_E447_2B_PCR2	107795	101264	101201	101154	100721	99622	92.4
MP_E447_2B_PCR3	104146	98552	98494	98447	97988	96839	93
MP_E447_3B_MiFishMod	109245	105532	105524	105470	105276	105264	96.4
MP_E447_3B_PCR2	150255	145102	145096	144991	144622	144551	96.2
MP_E447_3B_PCR3	158206	152870	152845	152710	152208	152093	96.1
MP_E448_1B_PCR2	122757	116156	116047	116033	115268	113360	92.3
MP_E448_1B_PCR3	83518	79350	79207	79198	78495	77039	92.2
MP_E448_2B_PCR2	98624	92244	92230	92234	91642	91489	92.8
MP_E448_2B_PCR3	87246	82716	82681	82698	82345	82256	94.3
MP_E448_3B_PCR2	102267	96216	96143	96142	95832	94612	92.5
MP_E448_3B_PCR3	109729	101912	101876	101860	101367	100664	91.7
MP_E449_1B_PCR2	101364	96829	96790	96731	96059	92941	91.7
MP_E449_1B_PCR3	127232	121828	121753	121782	120860	117687	92.5
MP_E449_2B_PCR2	82940	76710	76698	76674	76162	75181	90.6
MP_E449_2B_PCR3	110681	103369	103347	103359	102748	101470	91.7
MP_E449_3B_PCR2	109131	103343	103316	103249	102537	98451	90.2
MP_E449_3B_PCR3	116888	110619	110567	110538	109676	105184	90
MP_E450_1B_MiFishMod	115868	111005	110977	110955	110248	107535	92.8
MP_E450_1B_PCR2	92981	88651	88455	88486	87106	78464	84.4
MP_E450_1B_PCR3	103425	99182	99149	99136	98273	92542	89.5
MP_E450_2B_MiFishMod	70010	67645	67636	67550	67219	67048	95.8
MP_E450_2B_PCR2	110615	105777	105728	105704	104691	98477	89
MP_E450_2B_PCR3	103648	98655	98608	98612	97804	94579	91.3
MP_E450_3B_MiFishMod	100156	95369	95353	95340	94786	92589	92.4
MP_E450_3B_PCR2	108011	102346	102285	102253	101166	93709	86.8
MP_E450_3B_PCR3	110916	105363	105283	105296	104427	99481	89.7
MP_E474_MiFishMod	135229	129665	129447	129450	128402	123226	91.1
MP_E475_PCR2	103083	97006	96964	96963	96488	95065	92.2
