sample	lat	long	replicate	Site	Depth	bottle	oxy_percentsat_ch1 (percent)	salinity_ch1 (PSU)	temperature_ch2 (degree_C)	time (UTC)
E1510.RC0083	58.22144	-135.53126	E1510	ISA	96.634	1	43.177	32.0288	6.3136	2022-08-18T11:39:46.000
E1511.RC0083	58.22178	-135.53144	E1511	ISA	3.251	4	89.357	27	10.4106	2022-08-18T11:39:46.003
E1512.RC0083	58.2733	-135.39854	E1512	ISD	215.485	1	27.24	33.3791	5.3649	2022-08-18T13:46:22.000
E1513.RC0083	58.273	-135.3979	E1513	ISD	3.405	4	104.447	23.5256	12.3083	2022-08-18T13:46:22.003
E1514.RC0083	58.1086	-136.52538	E1514	XS1	70.751	1	59.158	32.0888	8.0749	2022-08-18T21:43:42.000
E1515.RC0083	58.10849	-136.52466	E1515	XS1	24.942	3	93.677	31.2001	13.0734	2022-08-18T21:43:42.002
E1516.RC0083	58.1084	-136.52413	E1516	XS1	3.02	5	101.944	31.1156	14.1376	2022-08-18T21:43:42.004
E1517.RC0083	58.13	-136.55502	E1517	XS2	317.685	1	37.551	33.4985	5.9714	2022-08-18T22:19:16.000
E1518.RC0083	58.1301	-136.55322	E1518	XS2	101.17	5	50.531	32.3986	7.0006	2022-08-18T22:19:16.004
E1519.RC0083	58.13008	-136.55194	E1519	XS2	10.516	8	85.089	30.805	11.4846	2022-08-18T22:19:16.007
E1520.RC0083	58.17369	-136.61379	E1520	XS4	103.373	1	48.542	32.577	6.7911	2022-08-19T00:09:40.000
E1521.RC0083	58.17371	-136.61237	E1521	XS4	30.512	3	70.894	30.9891	9.5633	2022-08-19T00:09:40.002
E1522.RC0083	58.17376	-136.6114	E1522	XS4	3.563	5	90.892	30.8618	12.1423	2022-08-19T00:09:40.004
E1523.RC0083	58.01056	-137.73272	E1523	SEM30	164.29	1	40.001	33.5553	6.1482	2022-08-19T04:29:14.000
E1524.RC0083	58.0103	-137.73289	E1524	SEM30	50.888	3	76.672	32.2433	7.9216	2022-08-19T04:29:14.002
E1525.RC0083	58.01016	-137.73326	E1525	SEM30	2.593	6	101.499	31.6232	14.5638	2022-08-19T04:29:14.005
E1526.RC0083	58.1721	-137.22258	E1526	SEM10	113.398	1	59.874	32.7749	6.4514	2022-08-19T07:25:00.000
E1527.RC0083	58.1723	-137.22313	E1527	SEM10	51.226	3	88.283	32.1691	8.4108	2022-08-19T07:25:00.002
E1528.RC0083	58.17255	-137.22379	E1528	SEM10	3.249	6	102.315	31.6667	14.5102	2022-08-19T07:25:00.005
E1529.RC0083	58.23415	-137.00525	E1529	SEM2.5	120.972	1	61.229	32.5486	6.8535	2022-08-19T09:01:05.000
E1530.RC0083	58.23486	-137.00507	E1530	SEM2.5	26.223	4	71.359	31.3704	9.4424	2022-08-19T09:01:05.003
E1531.RC0083	58.23512	-137.00502	E1531	SEM2.5	3.993	6	101.492	31.5928	14.4396	2022-08-19T09:01:05.005
E1532.RC0083	58.27112	-136.87108	E1532	SEM-2.5	63.062	1	62.295	31.4506	8.1973	2022-08-19T10:19:54.000
E1533.RC0083	58.2714	-136.87042	E1533	SEM-2.5	26.776	3	76.387	30.9971	9.247	2022-08-19T10:19:54.002
E1534.RC0083	58.27166	-136.86972	E1534	SEM-2.5	3.562	5	90.755	30.5086	11.0766	2022-08-19T10:19:54.004
E1535.RC0083	58.3315	-136.11309	E1535	GB24	125.836	1	52.501	32.1353	7.3504	2022-08-19T13:35:11.000
E1536.RC0083	58.33178	-136.11083	E1536	GB24	25.304	3	61.081	30.7346	7.9975	2022-08-19T13:35:11.002
E1537.RC0083	58.33216	-136.10966	E1537	GB24	2.939	5	69.894	29.4135	8.6061	2022-08-19T13:35:11.004
E1538.RC0083	59.0319	-137.01602	E1538	GB12	270.535	1	77.887	30.8692	5.2131	2022-08-20T03:19:15.000
E1539.RC0083	59.03162	-137.01548	E1539	GB12	75.514	3	78.688	30.384	7.0329	2022-08-20T03:19:15.002
E1540.RC0083	59.0314	-137.01512	E1540	GB12	2.854	6	92.549	20.9881	5.1309	2022-08-20T03:19:15.005
E1541.RC0083	58.81024	-136.47109	E1541	GB07	384.02	1	78.117	31.0614	4.7232	2022-08-20T07:32:43.000
E1542.RC0083	58.80882	-136.46766	E1542	GB07	3.06	6	115.046	23.2245	8.8954	2022-08-20T07:32:43.005
E1543.RC0083	58.71388	-136.11356	E1543	GB13	97.537	1	69.57	30.5801	6.7851	2022-08-20T15:08:42.000
E1544.RC0083	58.71347	-136.11307	E1544	GB13	26.111	3	69.139	30.0336	7.4883	2022-08-20T15:08:42.002
E1545.RC0083	58.71314	-136.1127	E1545	GB13	3.244	5	117.263	21.4286	9.3069	2022-08-20T15:08:42.004
E1546.RC0083	58.89238	-136.09455	E1546	GB16	302.216	1	77.138	30.9276	4.7419	2022-08-20T17:36:24.000
E1547.RC0083	58.8909	-136.0952	E1547	GB16	50.876	5	67.593	30.2753	7.1462	2022-08-20T17:36:24.004
E1548.RC0083	58.8904	-136.09552	E1548	GB16	2.646	7	93.479	17.3898	6.4825	2022-08-20T17:36:24.006
E1549.RC0083	59.06522	-136.19928	E1549	GB20	229.221	1	77.416	30.7946	4.8911	2022-08-20T20:35:36.000
E1550.RC0083	59.06512	-136.19866	E1550	GB20	50.785	3	76.888	30.2086	7.0062	2022-08-20T20:35:36.002
E1552.RC0083	59.06514	-136.19821	E1552	GB20	2.866	5	96.844	12.2008	4.0857	2022-08-20T20:35:36.004
E1553.RC0083	58.6493	-136.11146	E1553	GB04	279.902	1	75.546	31.0107	5.1927	2022-08-21T01:46:38.000
E1554.RC0083	58.64868	-136.11042	E1554	GB04	50.365	4	64.907	30.3236	7.4789	2022-08-21T01:46:38.003
E1555.RC0083	58.64848	-136.11	E1555	GB04	3.193	6	120.339	20.1725	9.7453	2022-08-21T01:46:38.005
E1556.RC0083	58.4144	-135.99438	E1556	GB01	54.778	1	55.927	31.5302	7.6631	2022-08-21T04:04:57.000
E1557.RC0083	58.41531	-135.9944	E1557	GB01	3.227	4	85.731	27.6878	9.7236	2022-08-21T04:04:57.003
E1558.RC0083	58.34938	-134.7801	E1558	LFC	109.211	1	40.342	32.2215	5.3987	2022-08-21T23:13:56.000
E1559.RC0083	58.34882	-134.78004	E1559	LFC	3.078	4	96.926	18.7098	12.8653	2022-08-21T23:13:56.003
E1560.RC0083	58.23078	-134.62942	E1560	SPC	51.601	1	50.069	31.4881	6.2525	2022-08-22T00:40:40.000
E1561.RC0083	58.2301	-134.6284	E1561	SPC	3.492	4	98.954	18.4213	13.2117	2022-08-22T00:40:40.003
E1562.RC0083	58.1793	-134.27926	E1562	SPA	87.163	1	25.014	32.7293	5.509	2022-08-22T02:20:40.000
E1563.RC0083	58.17922	-134.27995	E1563	SPA	3.232	4	102.776	14.5872	13.1662	2022-08-22T02:20:40.003
E1564.RC0083	56.47108	-134.45546	E1564	MCS1	401.087	1	19.79	33.8622	5.2737	2022-08-23T18:32:24.000
E1565.RC0083	56.47078	-134.45484	E1565	MCS1	100.841	4	38.551	32.6351	6.5367	2022-08-23T18:32:24.003
E1566.RC0083	56.4701	-134.45446	E1566	MCS1	2.955	8	86.964	27.873	11.1078	2022-08-23T18:32:24.007
E1567.RC0083	57.25776	-134.70744	E1567	MSC3B	856.578	1	17.454	33.9052	5.0971	2022-08-24T07:10:06.000
E1568.RC0083	57.26152	-134.70915	E1568	MSC3B	151.422	5	28.659	33.2473	5.7166	2022-08-24T07:10:06.004
E1569.RC0083	57.26325	-134.71018	E1569	MSC3B	3.176	10	104.241	28.5738	11.405	2022-08-24T07:10:06.009
E1570.RC0083	57.93548	-134.8145	E1570	MCS5B	552.046	1	17.99	33.8425	5.1456	2022-08-24T14:42:32.000
E1571.RC0083	57.93825	-134.81202	E1571	MCS5B	76.034	5	48.208	31.9484	5.7072	2022-08-24T14:42:32.004
E1572.RC0083	57.93979	-134.8112	E1572	MCS5B	3.229	9	96.969	23.6553	14.8908	2022-08-24T14:42:32.008
