Sample	ASV	count	Kingdom	Phylum	Class	Order	Family	Genus	Species	(common name)
MP_E820_WCOA21	ASV_4	1	Eukaryota	Chordata	Actinopteri					
MP_E994_2T_NA128	ASV_4	104	Eukaryota	Chordata	Actinopteri					
MP_E995_1T_NA128	ASV_4	7245	Eukaryota	Chordata	Actinopteri					
MP_E1623_1B_Chaba22	ASV_4	25496	Eukaryota	Chordata	Actinopteri					
MP_E1624_1B_Chaba22	ASV_4	108477	Eukaryota	Chordata	Actinopteri					
MP_E1625_1B_Chaba22	ASV_4	25837	Eukaryota	Chordata	Actinopteri					
MP_E1626_1B_Chaba22	ASV_4	2488	Eukaryota	Chordata	Actinopteri					
MP_E1627_1B_Chaba22	ASV_4	28181	Eukaryota	Chordata	Actinopteri					
MP_E1631_Chaba22	ASV_4	51471	Eukaryota	Chordata	Actinopteri					
MP_E1634_Chaba22	ASV_4	21885	Eukaryota	Chordata	Actinopteri					
MP_E1635_Chaba22	ASV_4	4212	Eukaryota	Chordata	Actinopteri					
MP_E1637_Chaba22	ASV_4	27448	Eukaryota	Chordata	Actinopteri					
MP_E2140_Kotzebue23	ASV_4	108653	Eukaryota	Chordata	Actinopteri					
MP_E2141_Kotzebue23	ASV_4	15017	Eukaryota	Chordata	Actinopteri					
MP_POSITIVE	ASV_4	24	Eukaryota	Chordata	Actinopteri					
MP_E820_WCOA21	ASV_40	389	Eukaryota	Echinodermata	Ophiuroidea	Amphilepidida	Amphiuridae	Amphipholis	Amphipholis torelli	
MP_E970_1T_NA128	ASV_40	1731	Eukaryota	Echinodermata	Ophiuroidea	Amphilepidida	Amphiuridae	Amphipholis	Amphipholis torelli	
MP_E971_1T_NA128	ASV_40	10018	Eukaryota	Echinodermata	Ophiuroidea	Amphilepidida	Amphiuridae	Amphipholis	Amphipholis torelli	
MP_E972_1T_NA128	ASV_40	5175	Eukaryota	Echinodermata	Ophiuroidea	Amphilepidida	Amphiuridae	Amphipholis	Amphipholis torelli	
MP_E1624_1B_Chaba22	ASV_40	6861	Eukaryota	Echinodermata	Ophiuroidea	Amphilepidida	Amphiuridae	Amphipholis	Amphipholis torelli	
MP_E1627_1B_Chaba22	ASV_40	2923	Eukaryota	Echinodermata	Ophiuroidea	Amphilepidida	Amphiuridae	Amphipholis	Amphipholis torelli	
MP_E1634_Chaba22	ASV_40	493	Eukaryota	Echinodermata	Ophiuroidea	Amphilepidida	Amphiuridae	Amphipholis	Amphipholis torelli	
MP_E1635_Chaba22	ASV_40	453	Eukaryota	Echinodermata	Ophiuroidea	Amphilepidida	Amphiuridae	Amphipholis	Amphipholis torelli	
MP_E2139_3T_QiavacTest	ASV_40	1	Eukaryota	Echinodermata	Ophiuroidea	Amphilepidida	Amphiuridae	Amphipholis	Amphipholis torelli	
MP_E1624_1B_Chaba22	ASV_400	617	Eukaryota	Nemertea						
MP_E2138_1T_QiavacTest	ASV_401	188	Eukaryota	Arthropoda	Insecta	Diptera	Chironomidae	Cricotopus		
MP_E2139_1T_QiavacTest	ASV_401	83	Eukaryota	Arthropoda	Insecta	Diptera	Chironomidae	Cricotopus		
MP_E2139_2T_QiavacTest	ASV_401	191	Eukaryota	Arthropoda	Insecta	Diptera	Chironomidae	Cricotopus		
MP_E2139_3T_QiavacTest	ASV_401	55	Eukaryota	Arthropoda	Insecta	Diptera	Chironomidae	Cricotopus		
MP_E2139_4T_QiavacTest	ASV_401	95	Eukaryota	Arthropoda	Insecta	Diptera	Chironomidae	Cricotopus		
MP_E828_WCOA21	ASV_402	610	Eukaryota	Echinodermata	Ophiuroidea	Amphilepidida	Ophiacanthidae			
MP_E1625_1B_Chaba22	ASV_403	609	Eukaryota	Chordata	Actinopteri					
MP_E1623_1B_Chaba22	ASV_404	46	Eukaryota	Chordata	Actinopteri					
MP_E1624_1B_Chaba22	ASV_404	397	Eukaryota	Chordata	Actinopteri					
