Percent	Sample	TerminalTaxa
0.000438954585758557	MP_E255_2B_NO20	zzOther
0.000380520399698628	MP_E256_2B_NO20	zzOther
0.00381972429230058	MP_E259_1B_NO20	zzOther
0.0131998265165658	MP_E261_1B_NO20	zzOther
0.0136858192103282	MP_E261_2B_NO20	zzOther
0.000505845039430621	MP_E263_2B_NO20	zzOther
0.0122170978284109	MP_E265_1B_NO20	zzOther
0.00373378138709979	MP_E265_2B_NO20	zzOther
0.00138238018219771	MP_E267_1B_NO20	zzOther
0.00179933784367353	MP_E267_2B_NO20	zzOther
0.00319289899264037	MP_E269_2B_NO20	zzOther
0.00221049187865284	MP_E271_1B_NO20	zzOther
0.00417937894428888	MP_E287_1B_NO20	zzOther
0.0105136128430638	MP_E289_1B_NO20	zzOther
0.00488710780959828	MP_E289_2B_NO20	zzOther
0.00611274966761924	MP_E289_3B_NO20	zzOther
0.0086768523272041	MP_E290_1B_NO20	zzOther
0.00266410912190963	MP_E290_3B_NO20	zzOther
0.00453130158401357	MP_E292_3B_NO20	zzOther
0.00783990905705494	MP_E293_1B_NO20	zzOther
0.0044099488445934	MP_E293_2B_NO20	zzOther
0.00549239303564563	MP_E297_1B_NO20	zzOther
0.026839087471026	MP_E297_2B_NO20	zzOther
0.0153833805982129	MP_E297_3B_NO20	zzOther
0.00106062159496275	MP_E300_3B_NO20	zzOther
0.0142364966828963	MP_E26_1B_DY20	zzOther
0.0437783271528636	MP_E30_1B_DY20	zzOther
0.0508852274920601	MP_E30_2B_DY20	zzOther
0.0580720092915215	MP_E32_1B_DY20	zzOther
0.0362136605975254	MP_E32_2B_DY20	zzOther
0.143441012339857	MP_E34_1B_DY20	zzOther
0.167393506893969	MP_E34_2B_DY20	zzOther
0.00695942654325284	MP_E38_1B_DY20	zzOther
0.00641056461047807	MP_E38_2B_DY20	zzOther
0.00146860130411796	MP_E42_2B_DY20	zzOther
0.0174384501973716	MP_E43_1B_DY20	zzOther
0.0323055386051186	MP_E49_1B_DY20	zzOther
0.0418585182084554	MP_E49_2B_DY20	zzOther
0.00754754956224213	MP_E50_1B_DY20	zzOther
0.0212745839636914	MP_E51_2B_DY20	zzOther
0.0433936461182411	MP_E36_1B_DY20	zzOther
0.0180501505382555	MP_E36_2B_DY20	zzOther
