ASV	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_872	Eukaryota	Cryptophyceae__p	Cryptophyceae	Kathablepharidacea	Katablepharidaceae	Katablepharis	Katablepharis japonica
ASV_8720	Eukaryota	Dinophyceae__p	Dinophyceae	Peridiniales	Pfiesteriaceae	Chimonodinium	NA
ASV_8721	Eukaryota	Ascomycota	Pichiomycetes	Serinales	Debaryomycetaceae	NA	NA
ASV_8722	Eukaryota	Pirsoniales__c__p	Pirsoniales__c	Pirsoniales	NA	NA	NA
ASV_8723	Eukaryota	Arthropoda	Hexanauplia	Cyclopoida	Oithonidae	NA	NA
ASV_8724	Eukaryota	Dinophyceae__p	Dinophyceae	Gymnodiniales	Warnowiaceae	Warnowia	NA
ASV_8725	Eukaryota	Oomycota	Saprolegniales__c	Saprolegniales	NA	NA	NA
ASV_8726	Eukaryota	Dinophyceae__p	Dinophyceae	NA	NA	NA	NA
ASV_8727	Environmental Unknown	NA	NA	NA	NA	NA	NA
ASV_8728	Eukaryota	Haptophyta	Phaeocystales__c	Phaeocystales	Phaeocystaceae	Phaeocystis	NA
ASV_8729	Eukaryota	Bacillariophyta	Mediophyceae	Hemiaulales	Hemiaulaceae	Eucampia	NA
ASV_873	Eukaryota	Acantharea__p	Acantharea	Arthracanthida	Phyllostauridae	NA	NA
ASV_8730	Eukaryota	Dinophyceae__p	Dinophyceae	Peridiniales	NA	NA	NA
ASV_8731	Eukaryota	Dinophyceae__p	Dinophyceae	Peridiniales	Heterocapsaceae	Heterocapsa	Heterocapsa rotundata
ASV_8732	Eukaryota	Cercozoa	Imbricatea	Thaumatomonadida	Allas__f	NA	NA
ASV_8734	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_8735	Eukaryota	Haptophyta	Prymnesiales__c	Prymnesiales	Prymnesiaceae	Prymnesium	NA
ASV_874	Eukaryota	Cercozoa	Thecofilosea	Cryomonadida	NA	NA	NA
ASV_8740	Eukaryota	Pirsoniales__c__p	Pirsoniales__c	Pirsoniales	Pirsonia__f	Pirsonia	NA
ASV_8741	Environmental Unknown	NA	NA	NA	NA	NA	NA
ASV_8744	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Chaetocerotales	Chaetocerotaceae	Chaetoceros	Chaetoceros radicans
ASV_8745	Eukaryota	Ciliophora	Oligohymenophorea	Apostomatida	Pseudocolliniidae	Fusiforma	Fusiforma themisticola
ASV_8746	Eukaryota	Choanoflagellata__p	Choanoflagellata	Acanthoecida	Stephanoecidae	Didymoeca	Didymoeca costata
ASV_8752	Eukaryota	Dictyochophyceae__p	Dictyochophyceae	Pedinellales	NA	NA	NA
ASV_8753	Unknown	NA	NA	NA	NA	NA	NA
ASV_8754	Eukaryota	Dictyochophyceae__p	Dictyochophyceae	Florenciellales	Pseudochattonella__f	NA	NA
ASV_8755	Eukaryota	Cercozoa	Thecofilosea	Cryomonadida	Protaspidae	Cryothecomonas	Cryothecomonas longipes
ASV_8756	Unknown	NA	NA	NA	NA	NA	NA
ASV_876	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Stephanodiscales	Stephanodiscaceae	Cyclotella	NA
ASV_8760	Eukaryota	Chrysophyceae__p	Chrysophyceae	Chromulinales	Chromulinaceae	Chrysoxys	NA
ASV_8761	Bacteria	Pseudomonadota	Alphaproteobacteria	Candidatus Puniceispirillales	Candidatus Puniceispirillaceae	NA	NA
ASV_8762	Bacteria	Pseudomonadota	Alphaproteobacteria	Candidatus Puniceispirillales	Candidatus Puniceispirillaceae	NA	NA
ASV_8763	Eukaryota	Cnidaria	Hydrozoa	Anthoathecata	NA	NA	NA
ASV_8764	Unknown	NA	NA	NA	NA	NA	NA
ASV_8766	Environmental Unknown	NA	NA	NA	NA	NA	NA
ASV_8767	Bacteria	Pseudomonadota	Alphaproteobacteria	Candidatus Puniceispirillales	Candidatus Puniceispirillaceae	NA	NA
ASV_8768	Eukaryota	Dinophyceae__p	Dinophyceae	Peridiniales	Heterocapsaceae	Heterocapsa	NA
ASV_8769	Unknown	NA	NA	NA	NA	NA	NA
ASV_877	Eukaryota	Dinophyceae__p	Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	Amoebophrya sp_
ASV_8771	Eukaryota	Porifera	Calcarea	Murrayonida	Lelapiellidae	NA	NA
ASV_8773	Eukaryota	Haptophyta	Prymnesiales__c	Prymnesiales	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina strobilus
ASV_8776	Environmental Unknown	NA	NA	NA	NA	NA	NA
ASV_8779	Eukaryota	Choanoflagellata__p	Choanoflagellata	NA	NA	NA	NA
ASV_878	Unknown	NA	NA	NA	NA	NA	NA
ASV_8782	Eukaryota	Cryptophyceae__p	Cryptophyceae	Pyrenomonadales	Geminigeraceae	Geminigera	Geminigera cryophila
ASV_8783	Bacteria	Pseudomonadota	Betaproteobacteria	Nitrosomonadales	Methylophilaceae	NA	NA
ASV_8784	Eukaryota	Bolidophyceae__p	Bolidophyceae	Parmales	Triparmaceae	Triparma	NA
ASV_8785	Eukaryota	Dictyochophyceae__p	Dictyochophyceae	Pedinellales	NA	NA	NA
ASV_8786	Eukaryota	Chlorophyta	Mamiellophyceae	Dolichomastigales	Dolichomastigaceae	Dolichomastix	Dolichomastix tenuilepis
ASV_8787	Eukaryota	Dinophyceae__p	Dinophyceae	NA	NA	NA	NA
ASV_8788	Eukaryota	Annelida	Sipuncula	Golfingiida	Golfingiidae	Golfingia	Golfingia margaritacea
ASV_8789	Eukaryota	Chordata	Ascidiacea	Stolidobranchia	Pyuridae	Boltenia	NA
ASV_879	Eukaryota	Dinophyceae__p	Dinophyceae	Gymnodiniales	Lebouridinium__f	NA	NA
ASV_8790	Eukaryota	Arthropoda	Hexanauplia	Siphonostomatoida	Asterocheridae	Asterocheres	NA
ASV_8791	Eukaryota	Cnidaria	Hydrozoa	Anthoathecata	Proboscidactylidae	Fabienna	Fabienna sphaerica
ASV_8792	Environmental Unknown	NA	NA	NA	NA	NA	NA
ASV_8793	Eukaryota	Dinophyceae__p	Dinophyceae	Peridiniales	Heterocapsaceae	Heterocapsa	Heterocapsa rotundata
ASV_8794	Unknown	NA	NA	NA	NA	NA	NA
ASV_8795	Eukaryota	Bolidophyceae__p	Bolidophyceae	Parmales	Triparmaceae	Triparma	Triparma pacifica
ASV_8796	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Rhizosoleniales	Rhizosoleniaceae	Guinardia	Guinardia striata
ASV_8797	Eukaryota	Dinophyceae__p	Dinophyceae	NA	NA	NA	NA
ASV_8798	Eukaryota	Foraminifera	Rotaliida__c	Rotaliida	Virgulinella__f	Virgulinella	Virgulinella fragilis
ASV_8799	Eukaryota	Bigyra__p	Bigyra	Oblongichytrida	Oblongichytrium__f	Oblongichytrium	NA
ASV_88	Eukaryota	Ciliophora	Spirotrichea	Choreotrichida	Leegaardiellidae	Leegaardiella	Leegaardiella sp_ LS803
ASV_880	Eukaryota	Bacillariophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	Cylindrotheca	NA
ASV_8800	Eukaryota	Bacillariophyta	Bacillariophyceae	Naviculales	Pleurosigmataceae	Pleurosigma	NA
ASV_8801	Eukaryota	Bigyra__p	Bigyra	Oblongichytrida	Oblongichytrium__f	Oblongichytrium	NA
ASV_8802	Eukaryota	Cercozoa	Thecofilosea	Cryomonadida	Protaspidae	Cryothecomonas	NA
ASV_8803	Eukaryota	Dinophyceae__p	Dinophyceae	Syndiniales	Syndiniaceae	Hematodinium	NA
ASV_8804	Eukaryota	Cercozoa	Imbricatea	Marimonadida	Pseudopirsonia__f	NA	NA
ASV_8805	Unknown	NA	NA	NA	NA	NA	NA
ASV_8806	Eukaryota	Haptophyta	Prymnesiales__c	Prymnesiales	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina leadbeateri
ASV_8807	Eukaryota	Dinophyceae__p	Dinophyceae	Syndiniales	NA	NA	NA
ASV_8808	Eukaryota	Dinophyceae__p	Dinophyceae	Peridiniales	Ensiculiferaceae	Pentapharsodinium	Pentapharsodinium tyrrhenicum
ASV_8809	Unknown	NA	NA	NA	NA	NA	NA
ASV_881	Eukaryota	Bolidophyceae__p	Bolidophyceae	Parmales	Triparmaceae	Triparma	NA
ASV_8810	Eukaryota	Dinophyceae__p	Dinophyceae	Gymnodiniales	Warnowiaceae	Warnowia	Warnowia sp_
ASV_8813	Eukaryota	Apicomplexa	Conoidasida	Eugregarinorida	Polyplicarium__f	NA	NA
ASV_8819	Unknown	NA	NA	NA	NA	NA	NA
ASV_882	Eukaryota	Choanoflagellata__p	Choanoflagellata	Acanthoecida	Stephanoecidae	Diaphanoeca	Diaphanoeca undulata
ASV_8820	Eukaryota	Dinophyceae__p	Dinophyceae	Peridiniales	Ensiculiferaceae	Pentapharsodinium	NA
ASV_883	Eukaryota	Ciliophora	Spirotrichea	Choreotrichida	Leegaardiellidae	Leegaardiella	Leegaardiella sp_
ASV_884	Eukaryota	Bigyra__p	Bigyra	Nanomonadea	Incisomonas__f	Incisomonas	NA
