x	MP_E1053_SKQ2021	MP_E1054_SKQ2021	MP_E1055_SKQ2021	MP_E1056_SKQ2021	MP_E1057_SKQ2021	MP_E1058_SKQ2021	MP_E1059_SKQ2021	MP_E1060_SKQ2021	MP_E1061_SKQ2021	MP_E1062_SKQ2021	MP_E1063_SKQ2021	MP_E1064_SKQ2021	MP_E1065_SKQ2021	MP_E1066_SKQ2021	MP_E1067_SKQ2021	MP_E1068_SKQ2021	MP_E1069_SKQ2021	MP_E1070_SKQ2021	MP_E1071_SKQ2021	MP_E1072_SKQ2021	MP_E1073_SKQ2021	MP_E1074_SKQ2021	MP_E1075_SKQ2021	MP_E1076_SKQ2021	MP_E1077_SKQ2021	MP_E1078_SKQ2021	MP_E1079_SKQ2021	MP_E1080_SKQ2021	MP_E1081_SKQ2021	MP_E1082_SKQ2021	MP_E1083_SKQ2021	MP_E1084_SKQ2021	MP_E1085_SKQ2021	MP_E1086_SKQ2021	MP_E1087_SKQ2021	MP_E1088_SKQ2021	MP_E1089_SKQ2021	MP_E1090_SKQ2021	MP_E1091_SKQ2021	MP_E1092_SKQ2021	MP_E1093_SKQ2021	MP_E1094_SKQ2021	MP_E1095_SKQ2021	MP_E1096_SKQ2021	MP_E1097_SKQ2021	MP_E1098_SKQ2021	MP_E1099_SKQ2021	MP_E1100_SKQ2021	MP_E1101_SKQ2021	MP_E1102_SKQ2021	MP_E1103_SKQ2021	MP_E1104_SKQ2021	MP_E1105_SKQ2021	MP_E1106_SKQ2021	MP_E1107_SKQ2021	MP_E1108_SKQ2021	MP_E1109_SKQ2021	MP_E1110_SKQ2021	MP_E1111_SKQ2021	MP_E1112_SKQ2021	MP_E1113_SKQ2021	MP_E1114_SKQ2021	MP_E1115_SKQ2021	MP_E1116_SKQ2021	MP_E1117_SKQ2021	MP_E1118_SKQ2021	MP_E1119_SKQ2021	MP_E1120_SKQ2021	MP_E1121_SKQ2021	MP_E1122_SKQ2021	MP_E1123_SKQ2021	MP_E1124_SKQ2021	MP_E1125_SKQ2021	MP_E1126_SKQ2021	MP_E1127_SKQ2021	MP_E1128_SKQ2021	MP_E1129_SKQ2021	MP_E1130_SKQ2021	MP_E1131_SKQ2021	MP_E1132_SKQ2021	MP_E1133_SKQ2021	MP_E1134_SKQ2021	MP_E1135_SKQ2021	MP_E1136_SKQ2021	MP_E1137_SKQ2021	MP_E1138_SKQ2021	MP_E1139_SKQ2021	MP_E1140_SKQ2021	MP_E1141_SKQ2021	MP_E1142_SKQ2021	MP_E1143_SKQ2021	MP_E1144_SKQ2021	MP_E1145_SKQ2021	MP_E1146_SKQ2021	MP_POSITIVE
ASV_21	16	0	0	5847	983	0	0	0	0	34	31	13695	2258	1190	12797	1665	101	3948	4091	4460	15248	6934	8177	25632	0	3039	0	35	317	0	2926	25	4353	4888	2221	2405	7878	704	2173	4424	1461	96	609	8298	51	0	16	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	438	0	0	9850	4575	4723	265	3944	8624	2819	5725	0	4	5708	0	11863	9595	13702	4	2340	316	10	700	2227	18786	23859	19151	10	0	0
ASV_22	572	575	3293	0	2260	3971	0	0	0	0	0	0	0	0	48	0	0	23	0	0	183	0	0	1470	0	0	0	4460	26754	0	0	62178	0	0	60565	0	0	48925	0	0	16276	162	206	11578	0	0	6215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_23	12857	3464	19422	223	227	196	406	813	1004	730	582	3281	68	119	4830	123	300	742	31	25	1358	3	11	743	2876	4177	4976	377	234	655	659	578	559	470	944	292	495	1130	22870	17580	10119	4265	416	7543	19442	3950	2459	141	110	50	21	8	10	20	8	42	15	51	62	47	126	107	0	446	507	114	690	710	1443	1141	1163	1429	5713	7726	8739	3880	635	710	5410	9169	605	1449	817	231	366	259	612	461	393	2392	2234	900	406	334	0
ASV_24	2413	459	1221	223	1678	1614	1157	443	885	681	1015	64	852	927	0	337	550	0	667	1269	135	970	832	137	4696	2148	1210	4910	3162	348	700	3744	1044	598	1166	383	460	2166	2645	2266	1486	0	841	2960	999	8052	6616	9179	5853	5541	3159	4921	7146	4012	4555	6375	806	10083	7657	1810	2557	2337	0	1833	3151	2772	1498	2268	6182	1698	1477	4680	763	980	3051	2187	5652	3078	2830	2517	716	1305	2025	1902	2910	3463	0	189	3757	935	2160	1721	2322	1796	0
ASV_25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10177	0	0	17499	8389	5730	16740	15035	15395	18308	2243	1136	23777	0	0	74	0	0	0	0	0	0	0	0	31516	0	0	0	0	0	32761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_26	34	973	10929	0	98	69	62	1705	130	235	339	1283	15	93	309	113	555	117	100	78	150	43	40	227	830	774	291	3792	1130	1590	1464	2270	1666	1872	2113	763	1352	1107	455	280	7076	0	722	6000	478	505	6847	1840	2800	1629	3829	5023	4862	3971	4491	4549	1639	3453	2347	982	1637	1011	0	1299	1908	146	3751	2425	30	1577	1448	288	12005	5747	6313	5135	1326	1619	5266	7046	1221	950	2683	1477	2938	2422	2572	2871	2355	192	431	761	1164	959	0
ASV_27	1344	120	1081	304	1319	1095	489	877	587	390	803	104	270	530	77	194	234	0	0	109	31	163	95	0	4047	1676	533	4289	3002	411	391	3375	1151	787	1228	498	422	1741	2186	1733	1646	16	684	2262	1233	7514	6976	6941	4149	4737	3495	4371	5757	4469	4244	5174	828	6386	4291	1406	1525	1693	0	1245	1958	2798	1787	1453	5246	1104	1196	4258	568	1059	2660	1875	5794	2773	2852	3739	703	1309	1725	1659	2786	2339	0	31	2952	913	2169	2033	1558	1627	0
ASV_28	0	0	0	94	268	349	10	0	216	0	0	0	123	206	0	190	147	0	292	851	0	235	240	181	47	770	824	544	419	114	20	500	100	0	336	0	0	120	38	0	310	0	0	269	0	25	252	1482	2857	4733	0	0	0	0	0	227	154	2072	2050	138	12199	9684	5	11422	13623	1572	10148	7857	551	11811	10285	38	3144	3391	4299	4519	159	27	143	4287	778	1034	2919	2231	3686	4103	174	58	2388	2927	4831	4877	1613	2986	0
ASV_29	581	0	57	2207	700	583	121	1076	440	17	0	7	767	509	0	747	219	0	570	1234	0	801	1041	0	333	507	421	190	58	906	931	0	605	910	15	378	284	9	551	787	130	234	382	75	210	567	420	3854	8869	4998	3499	7837	6192	3498	5407	5889	7630	8399	7690	5568	5717	3582	16	4305	3722	4068	3737	1100	2454	926	971	1530	1071	1230	597	418	3133	4513	313	90	1632	1377	1283	1838	2456	2252	1580	3202	1073	1318	2326	496	231	273	0
ASV_30	1702	0	1172	0	886	793	534	761	457	417	344	78	61	326	245	71	186	0	31	40	0	285	59	0	4070	1306	1029	4108	2258	174	608	3124	858	725	872	420	582	1599	1980	1809	1331	31	518	1804	950	5363	6079	6529	3659	3970	2966	3723	4891	4272	4734	5501	877	5066	4179	1373	1454	1246	0	1144	2111	2887	1508	1209	6121	1053	1152	3133	638	1143	2846	1813	5335	1851	3307	2130	432	887	1692	1597	2643	2848	5	150	2228	826	2063	1610	1009	1234	0
ASV_31	82	61	19	12897	1987	864	10700	17305	959	7892	9710	69	10051	4938	408	4257	2146	588	11140	17127	1563	15832	12837	10600	127	112	105	31	0	22	0	0	43	25	15	5	12	22	899	936	203	36	3	47	502	111	29	0	0	0	0	0	0	0	1	0	0	0	1	4	0	0	0	0	0	7	0	0	16	0	0	14	0	0	0	3	5	8	0	0	54	26	21	55	85	32	76	43	42	18	18	3	3	12	0
ASV_32	919	2157	119	1522	466	278	1909	5997	300	2348	963	457	2480	2075	397	3816	4002	65	1157	2232	209	1617	1528	1329	2322	1021	93	418	35	1730	1494	224	3600	3893	522	2942	3600	517	2294	2845	966	979	2692	358	1580	1487	376	1116	2154	725	2148	2253	1282	711	1287	1581	4090	1926	1051	5897	500	438	0	246	382	1292	188	230	1128	65	210	362	718	443	271	400	2278	5415	0	0	1896	2090	1138	1885	2243	2087	942	2827	1584	112	574	247	268	584	0
ASV_33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	8	18	0	0	0	0	0	0	0	0	10	0	6663	935	50	13024	11708	3347	14115	8730	10613	38017	953	291	17372	203	37	2	0	0	49	0	0	7	0	0	274	0	0	0	0	1525	2646	0	0	40	26	7	0	0	0	0	0	0	0	0	0	0	0	0
ASV_34	0	0	321	28	1014	1964	0	0	1589	0	0	40	0	33	393	0	0	0	24	25	0	14	57	0	10	2020	2615	4418	1932	452	351	3967	189	306	1711	22	32	1229	13	0	2130	0	0	1415	46	97	2142	3823	3909	3617	3930	5122	5062	6191	4825	5390	1425	7211	6208	217	1687	1564	0	1876	1719	261	1540	1046	68	1410	1000	0	1170	1590	2254	1752	40	0	18	3165	939	849	2467	394	1349	990	33	97	1017	1513	2727	2221	1071	1383	0
ASV_35	133	549	7579	15	289	432	1	8	107	0	0	180	56	332	0	94	417	4	93	245	25	157	68	430	32	465	1158	3167	1872	608	712	4424	267	500	3915	183	143	1700	108	18	2683	0	124	2427	47	36	2203	1148	2039	1611	5838	7506	8246	8111	10069	11162	1760	3117	1969	0	498	145	0	336	256	0	69	195	0	4	144	283	2054	3031	1918	1148	30	7	2772	2542	269	613	295	436	1027	1427	375	1040	437	132	51	160	1146	1689	0
