
Start of run:
Tue Jun 11 09:51:36 PDT 2024

Invoked script options:
/usr/bin/REVAMP/revamp.sh -p config_files/MiFish_config_file.txt -f config_files/figure_config_file.txt -s metadata/MiFish_metadata.txt -r renamed/MiFish -o MiFish_RUN1

Running Cutadapt: Tue Jun 11 09:51:40 PDT 2024
Finished Cutadapt: Tue Jun 11 09:57:45 PDT 2024
Sample	Passing Reads	Passing bp
MP_E1244_OC0922	94.0%	73.5%
MP_E1245_OC0922	96.0%	75.5%
MP_E1246_OC0922	96.5%	78.1%
MP_E1247_OC0922	94.0%	78.6%
MP_E1248_OC0922	93.7%	78.5%
MP_E1249_OC0922	96.6%	71.7%
MP_E1250_OC0922	97.6%	79.5%
MP_E1251_OC0922	99.0%	75.1%
MP_E1252_OC0922	99.4%	77.5%
MP_E1253_OC0922	98.5%	78.5%
MP_E1254_OC0922	95.8%	80.8%
MP_E1255_OC0922	95.2%	81.2%
MP_E1256_OC0922	97.5%	80.1%
MP_E1257_OC0922	98.5%	80.3%
MP_E1258_OC0922	97.7%	78.9%
MP_E1259_OC0922	98.2%	77.2%
MP_E1260_OC0922	97.9%	79.6%
MP_E1261_OC0922	99.6%	71.0%
MP_E1262_OC0922	97.1%	79.0%
MP_E1263_OC0922	97.3%	84.2%
MP_E1265_OC0922_PCR1	98.2%	84.0%
MP_E1265_OC0922_PCR2	98.1%	84.8%
MP_E1265_OC0922_PCR3	98.5%	86.4%
MP_E1266_OC0922_PCR1	97.9%	85.4%
MP_E1266_OC0922_PCR2	96.4%	86.7%
MP_E1266_OC0922_PCR3	97.7%	83.3%
MP_E1267_OC0922_PCR1	97.9%	84.0%
MP_E1267_OC0922_PCR2	97.3%	83.4%
MP_E1267_OC0922_PCR3	97.7%	79.1%
MP_E1275_OC1021	98.7%	73.8%
MP_E1276_OC1021	99.5%	68.7%
MP_E1277_OC1021	99.0%	71.8%
MP_E1278_OC1021	97.7%	76.8%
MP_E1279_OC1021	96.2%	83.7%
MP_E1280_OC1021	95.6%	78.1%
MP_E1281_OC1021	97.2%	84.3%
MP_E1282_OC1021	97.6%	78.0%
MP_E1283_OC1021	98.8%	74.7%
MP_E1284_OC1021	99.1%	71.7%
MP_E1285_OC1021	99.0%	73.4%
MP_E1286_OC1021	99.1%	79.2%
MP_E1287_OC1021	99.2%	79.0%
MP_E1288_OC1021	99.0%	80.6%
MP_E1289_OC1021	97.4%	77.7%
MP_E1290_OC1021	98.9%	74.7%
MP_E1291_OC1021	99.5%	72.2%
MP_E1292_OC1021	89.3%	80.3%
MP_E1293_OC1021	98.8%	72.0%
MP_E1294_OC1021	99.6%	68.5%
MP_E1295_OC1021	99.7%	68.6%
MP_E1296_OC1021	99.6%	69.6%
MP_E1297_OC1021	97.0%	87.5%
MP_E1298_OC1021	93.7%	83.0%
MP_E1299_OC1021	95.7%	84.7%
MP_E1300_OC1021	99.3%	89.5%
MP_E1301_OC1021	82.2%	73.1%
MP_E1302_OC1021	93.9%	84.1%
MP_E1303_OC1021	90.5%	81.0%
MP_E1304_OC1021	91.7%	81.6%
MP_E1305_OC1021	93.0%	75.6%
MP_E1306_OC1021	99.3%	89.1%
MP_E1307_OC1021	80.8%	71.8%
MP_E1308_OC1021	94.8%	81.7%
MP_E1309_OC1021	90.7%	81.3%
MP_E1310_OC1021	97.5%	86.4%
MP_E1312_OC1021	96.2%	85.9%
MP_E1313_OC1021	87.7%	78.6%
MP_E1315_OC1021	86.6%	76.7%
MP_E1316_OC1021	79.1%	71.4%
MP_E1317_OC1021	86.4%	76.2%
MP_E1318_OC1021	91.5%	82.1%
MP_E1319_OC1021	86.9%	77.7%
MP_E1320_OC1021	94.7%	84.1%
MP_E1321_OC1021	83.4%	75.1%
MP_E1322_OC1021	85.3%	74.6%
MP_E1323_OC1021_PCR1	97.9%	74.7%
