
Start of run:
Tue Jun 11 09:51:36 PDT 2024

Invoked script options:
/usr/bin/REVAMP/revamp.sh -p config_files/MiFish_config_file.txt -f config_files/figure_config_file.txt -s metadata/MiFish_metadata.txt -r renamed/MiFish -o MiFish_RUN1

Running Cutadapt: Tue Jun 11 09:51:40 PDT 2024
Finished Cutadapt: Tue Jun 11 09:57:45 PDT 2024
Sample	Passing Reads	Passing bp
MP_E446_3B_PCR2 91.5
MP_E446_3B_PCR3 88
MP_E447_1B_MiFishMod 94.7
MP_E447_1B_PCR2 93.6
MP_E447_1B_PCR3 94.2
MP_E447_2B_MiFishMod 93.6
MP_E447_2B_PCR2 92.4
MP_E447_2B_PCR3 93
MP_E447_3B_MiFishMod 96.4
MP_E447_3B_PCR2 96.2
MP_E447_3B_PCR3 96.1
MP_E448_1B_PCR2 92.3
MP_E448_1B_PCR3 92.2
MP_E448_2B_PCR2 92.8
MP_E448_2B_PCR3 94.3
MP_E448_3B_PCR2 92.5
MP_E448_3B_PCR3 91.7
MP_E449_1B_PCR2 91.7
MP_E449_1B_PCR3 92.5
MP_E449_2B_PCR2 90.6
MP_E449_2B_PCR3 91.7
MP_E449_3B_PCR2 90.2
MP_E449_3B_PCR3 90
MP_E450_1B_MiFishMod 92.8
MP_E450_1B_PCR2 84.4
MP_E450_1B_PCR3 89.5
MP_E450_2B_MiFishMod 95.8
MP_E450_2B_PCR2 89
MP_E450_2B_PCR3 91.3
MP_E450_3B_MiFishMod 92.4
MP_E450_3B_PCR2 86.8
MP_E450_3B_PCR3 89.7
MP_E474_MiFishMod 91.1
MP_E475_PCR2 92.2
MP_E475_PCR3 92.6
MP_E486_PCR2 88
MP_E486_PCR3 89.7
MP_E491_MiFishMod 92.2
MP_E492_1B_PCR2 93.7
MP_E492_1B_PCR3 95.1
MP_E494_PCR2 90.3
MP_E494_PCR3 91.3
MP_E496_1T_PCR2 92.7
MP_E496_1T_PCR3 93.2
MP_E496_3B_PCR2 93.8
MP_E496_3B_PCR3 93.3
MP_E498_1B_PCR2 91.3
MP_E498_1B_PCR3 90.6
MP_E498_2B_PCR2 91.1
MP_E498_2B_PCR3 91
MP_E498_3B_PCR2 89.3
MP_E498_3B_PCR3 91.7
MP_E573_1B_PCR2 85.7
MP_E573_1B_PCR3 89.1
MP_E573_2B_PCR2 88.9
MP_E573_2B_PCR3 89.3
MP_E573_3B_PCR2 87.3
MP_E573_3B_PCR3 86.5
MP_E574_1B_PCR2 87.8
MP_E574_1B_PCR3 87.8
MP_E574_2B_PCR2 91.3
MP_E574_2B_PCR3 90.2
MP_E574_3B_PCR2 92.3
MP_E574_3B_PCR3 93
MP_E575_1B_PCR2 95.7
MP_E575_1B_PCR3 95.8
MP_E575_2B_PCR2 92.5
MP_E575_2B_PCR3 92.2
MP_E575_3B_PCR2 94.4
MP_E575_3B_PCR3 90
MP_E598_1B_PCR2 91.5
MP_E598_1B_PCR3 89.5
MP_E598_2B_PCR2 91
MP_E598_2B_PCR3 92.2
MP_E598_3B_PCR2 92.2
MP_E598_3B_PCR3 90.4
MP_E600_1B_PCR2 93.8
MP_E600_1B_PCR3 93.5
MP_E600_2B_PCR2 92.3
MP_E600_2B_PCR3 90.9
MP_E600_3B_PCR2 90.8
MP_E600_3B_PCR3 92.3
MP_E610_NC 87.4
MP_E690_MiFishMod 94.8
MP_POSITIVE 92.4

Do you wish to Proceed? [y/n]
Continuing!

Running BLASTn: Thu Jun 13 14:25:09 PDT 2024
BLAST query/options error: File is not acessible: /temp/fail/taxdump/taxid_exclusion_list_leavesinUnclassified.txt
Please refer to the BLAST+ user manual.


NADA MiFish_RUN1/blast_results/ASV_blastn_nt.btab file!!



Reformatting BLAST output: Thu Jun 13 14:25:09 PDT 2024


Running ASV-2-Taxonomy Script: Thu Jun 13 14:25:10 PDT 2024
cat: MiFish_RUN1/blast_results/ASV_blastn_nt_formatted.txt: No such file or directory
