Sample	lat	long	replicates	sites	controls	group1	group2	group3	group4	group5	group6	samp_vol	depth
MP_E1132_SKQ2021	63.60483333	-172.5931667	E1132.SKQ2021	DBO1.10	NA	surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	10.5
MP_E1133_SKQ2021	64.67016667	-169.9187	E1133.SKQ2021	DBO2.1	NA	deep	2021	Nov	2021_Nov	SKQ21	Niskin	1000	42.6
MP_E1134_SKQ2021	64.67016667	-169.9187	E1134.SKQ2021	DBO2.1	NA	mid	2021	Nov	2021_Nov	SKQ21	Niskin	1000	30.1
MP_E1135_SKQ2021	64.67016667	-169.9187	E1135.SKQ2021	DBO2.1	NA	surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	10.4
MP_E1136_SKQ2021	64.68	-169.1006667	E1136.SKQ2021	DBO2.2	NA	deep	2021	Nov	2021_Nov	SKQ21	Niskin	1000	40.8
MP_E1137_SKQ2021	64.68	-169.1006667	E1137.SKQ2021	DBO2.2	NA	mid	2021	Nov	2021_Nov	SKQ21	Niskin	1000	30.2
MP_E1138_SKQ2021	64.68	-169.1006667	E1138.SKQ2021	DBO2.2	NA	surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	10
MP_E1139_SKQ2021	64.98983333	-169.1398333	E1139.SKQ2021	DBO2.5	NA	deep	2021	Nov	2021_Nov	SKQ21	Niskin	1000	44.4
MP_E1140_SKQ2021	64.98983333	-169.1398333	E1140.SKQ2021	DBO2.5	NA	mid	2021	Nov	2021_Nov	SKQ21	Niskin	1000	30.5
MP_E1141_SKQ2021	64.98983333	-169.1398333	E1141.SKQ2021	DBO2.5	NA	surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	10.4
MP_E1142_SKQ2021	64.95883333	-169.8803333	E1142.SKQ2021	DBO2.4	NA	deep	2021	Nov	2021_Nov	SKQ21	Niskin	1000	44
MP_E1143_SKQ2021	64.95883333	-169.8803333	E1143.SKQ2021	DBO2.4	NA	mid	2021	Nov	2021_Nov	SKQ21	Niskin	1000	30.4
MP_E1144_SKQ2021	64.95883333	-169.8803333	E1144.SKQ2021	DBO2.4	NA	surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	10.2
MP_E1145_SKQ2021	64.66983333	-168.2356667	E1145.SKQ2021	DBO2.3	NA	deep	2021	Nov	2021_Nov	SKQ21	Niskin	1000	33.7
MP_E1146_SKQ2021	64.66983333	-168.2356667	E1146.SKQ2021	DBO2.3	NA	surface	2021	Nov	2021_Nov	SKQ21	Niskin	1000	10.2
MP_E1172_OC0622	47.87831667	-124.73645	E1172.OC0622	TeahwhiteHead	NA	deep	2022	Jun	2022_Jun	OCNMS	Niskin	1000	32.4282
MP_E1173_OC0622	47.87831667	-124.73645	E1173.OC0622	TeahwhiteHead	NA	deep	2022	Jun	2022_Jun	OCNMS	Niskin	1000	32.1612
MP_E1174_OC0622	47.87831667	-124.73645	E1174.OC0622	TeahwhiteHead	NA	deep	2022	Jun	2022_Jun	OCNMS	Niskin	1000	32.4816
MP_E1229_OC0822_PCR1	47.87553333	-124.7332	E1229.OC0822	TeahwhiteHead	NA	deep	2022	Aug	2022_Aug	OCNMS	Niskin	1000	32.802
MP_E1229_OC0822_PCR2	47.87553333	-124.7332	E1229.OC0822	TeahwhiteHead	NA	deep	2022	Aug	2022_Aug	OCNMS	Niskin	1000	32.802
MP_E1229_OC0822_PCR3	47.87553333	-124.7332	E1229.OC0822	TeahwhiteHead	NA	deep	2022	Aug	2022_Aug	OCNMS	Niskin	1000	32.802
MP_E1230_OC0822_PCR1	47.87553333	-124.7332	E1230.OC0822	TeahwhiteHead	NA	deep	2022	Aug	2022_Aug	OCNMS	Niskin	1000	32.8554
MP_E1230_OC0822_PCR2	47.87553333	-124.7332	E1230.OC0822	TeahwhiteHead	NA	deep	2022	Aug	2022_Aug	OCNMS	Niskin	1000	32.8554
MP_E1230_OC0822_PCR3	47.87553333	-124.7332	E1230.OC0822	TeahwhiteHead	NA	deep	2022	Aug	2022_Aug	OCNMS	Niskin	1000	32.8554
MP_E1231_OC0822_PCR1	47.87553333	-124.7332	E1231.OC0822	TeahwhiteHead	NA	deep	2022	Aug	2022_Aug	OCNMS	Niskin	1000	33.0154
MP_E1231_OC0822_PCR2	47.87553333	-124.7332	E1231.OC0822	TeahwhiteHead	NA	deep	2022	Aug	2022_Aug	OCNMS	Niskin	1000	33.0154
MP_E1231_OC0822_PCR3	47.87553333	-124.7332	E1231.OC0822	TeahwhiteHead	NA	deep	2022	Aug	2022_Aug	OCNMS	Niskin	1000	33.0154
MP_E1240_OC0922	47.87445	-124.7345	E1240.OC0922	TeahwhiteHead	NA	deep	2022	Aug	2022_Aug	OCNMS	PPS	1000	34
MP_E1241_OC0922	47.87445	-124.7345	E1241.OC0922	TeahwhiteHead	NA	deep	2022	Aug	2022_Aug	OCNMS	PPS	1000	34
MP_E1242_OC0922	47.87445	-124.7345	E1242.OC0922	TeahwhiteHead	NA	deep	2022	Aug	2022_Aug	OCNMS	PPS	1000	34
MP_E1243_OC0922	47.87445	-124.7345	E1243.OC0922	TeahwhiteHead	NA	deep	2022	Aug	2022_Aug	OCNMS	PPS	1000	34
MP_E1244_OC0922	47.87445	-124.7345	E1244.OC0922	TeahwhiteHead	NA	deep	2022	Aug	2022_Aug	OCNMS	PPS	1000	34
MP_E1245_OC0922	47.87445	-124.7345	E1245.OC0922	TeahwhiteHead	NA	deep	2022	Aug	2022_Aug	OCNMS	PPS	1000	34
MP_E1246_OC0922	47.87445	-124.7345	E1246.OC0922	TeahwhiteHead	NA	deep	2022	Aug	2022_Aug	OCNMS	PPS	1000	34
