Sample	lat	long	replicates	controls	group1	group2	group3	group4	group5	group6	group7	group8	Depth	Altitude	rough_mi_offshore	hr_afterLD	CTDTEMP	CTDSAL	CTDOXY	DIC	TA	pH	Carbonate	Silicate	Phosphate	Nitrate	Nitrite	Ammonium	Methane	aragonite_sat	degLat	Chl_a	SYNECHOCOCCUS	EUK_PHYTOPLANKTON	LARGE_DIATOM	CRYPTOPHYTE	BACTERIA	BACTERIA_HNA	BACTERIA_LNA	mL_filt
NH45	44.653_44.652	-125.12_-125.123	E555_E557	NA	Line6	day	undersat_arg_oversat_arg	benthic_surface	deep_upper100	waySouth	offshore	slope	710.2_3.4	9.8_716.6	45	7.1_7.8	4.427_15.897	34.283_31.342	16.3_265	2348.9_1932.9	2337.7_2142.3	7.2839_7.9407	45.06701001_145.2941952	108.4_4.2	3.25_0.31	42.9_0	0.03	0.05_0.06	4.828_3.756	0.506587885_2.318977215	44.653_44.652	NA_0.5	NA	NA	NA	NA	NA	NA	NA	1000
NH55	44.651	-125.365	E552	NA	Line6	day	undersat_arg	benthic	deep	waySouth	offshore	plain	2848.8	11.2	55	3.5	1.723	34.645	85.4	2385	2437.2	7.4587	68.62542898	192.1	2.98	39.3	0.03	0.06	1.824	0.514287316	44.651	NA	NA	NA	NA	NA	NA	NA	NA	1000
PA3	38.895	-123.791	E675	NA	Line10	night	undersat_arg	benthic	upper100	waySouth	near	shelf	89.9	10.1	3	0.8	8.708	34.018	85.8	2230.3	2259.7	7.4067	56.91903794	39.7	2.4	29.1	0.25	0.64	5.257	0.780876488	38.895	NA	NA	NA	NA	NA	NA	NA	NA	1000
PR1	37.97	-122.829	E688_E689_E690	NA	Line11	day_night	undersat_arg_oversat_arg	benthic_pelagic_surface	upper100	waySouth	near	shelf	29_14.9_3.6	10_24.1_35.4	1	14.6_0_0.1	10.15_11.055_12.083	33.921_33.848_33.839	129.9_187.3_202	2212.4_2196.5_2176.7	2265.5_2266.6_2272.3	7.4654_7.5268_7.5996	NA	32.7_27_26.2	2.31_2.11_2.04	23_21.7_19	0.54_0.5_0.6	4.06_3.29	19.012_13.398_21.818	0.950157916_1.077151029_1.28312576	37.97	NA_8.3_5.2	NA	NA	NA	NA	NA	NA	NA	1000
PR10	37.892	-122.996	E685_E686	NA	Line11	day	undersat_arg	benthic_pelagic	upper100	waySouth	near	shelf	69.6_29.5	10.4_50.5	10	12.7_12.8	9.327_10.248	33.939_33.929	89.4_123.4	2231.5_2226.5	2259.9_2270.4	7.3903_7.434	NA	46.2_35	2.63_2.51	27.6_23.7	0.39_0.4	1.11_5.21	8.278_10.48	0.782903633_0.892768952	37.892	NA	NA	NA	NA	NA	NA	NA	NA	750_1000
PR15	37.861	-123.071	E694_E695_E696	NA	Line11	night	undersat_arg_oversat_arg	benthic_pelagic_surface	upper100	waySouth	near	shelf	84.8_84.4_84.6_50.4_49.7_50_3.9_4.3	10.2_10.6_10.4_44.6_45.3_45_91.1_90.7	15	7.7_7.8_8	9.413_9.414_9.74_9.741_9.742_11.592_11.594	33.976_33.932_33.872	99.9_100.9_99.8_121.3_259.9	2212.7_2197.4_2121	2258_2251.7_2265.8	7.4459_7.4837_7.7358	NA	38.4_29_13.1	2.25_2.06_1.51	26.8_25.6_16.4	0.12_0.04_0.45	0.06_0.07_0.95	9.863_10.224_5.206	0.881567801_0.946122559_1.683954639	37.861	NA_10.5	NA	NA	NA	NA	NA	NA	NA	1000
PR28	37.749	-123.32	E680_E681	NA	Line11	day	undersat_arg_oversat_arg	pelagic_surface	upper100	waySouth	offshore	slope	100_4.8	1050_1145.2	28	7.8_8.1	9.87_13.144	33.934_33.765	123.3_296.3	2196.2_2046.1	2256.5_2270.7	7.4855_7.9213	NA	27.6_2.5	2.09_0.69	25.3_6.1	0.05_0.38	0.02_1.25	12.596_5.291	0.979894303_2.432593307	37.749	NA_10.9	NA	NA	NA	NA	NA	NA	NA	1000
PR37	37.666	-123.488	E699_E700	NA	Line11	day	undersat_arg_oversat_arg	pelagic_surface	upper100	waySouth	offshore	plain	99.9_4.7	2700.1_2795.3	37	4_4.3	10.305_12.829	33.892_33.736	141.1_249.4	2183.4_2088.8	2247.2_2257.5	7.5167_7.8021	NA	24.7_7.5	1.91_1.02	23.8_10.5	0.09_0.4	0.04_1.26	15.069_5.68	1.003496307_1.906541642	37.666	NA_2.7	NA	NA	NA	NA	NA	NA	NA	1000
PR4	37.943	-122.881_-122.88	E691_E692_E693	NA	Line11	night	undersat_arg_oversat_arg	benthic_pelagic_surface	upper100	waySouth	near	shelf	44.5_44.2_44.3_15_15.4_4	10.5_10.8_10.7_40_39.6_51	4	1.1_1.2_1.3	9.455_9.46_9.453_10.096_10.099_10.103_12.794_12.792_12.793	33.95_33.948_33.812_33.813_33.82_33.752	81.4_82.9_81.2_170.8_166.7_248.7	2222.2_2176.5_2120.5	2260.3_2255.3_2271.8	7.4157_7.5491_7.7408	NA	42.6_22.2_18.5	2.52_1.86_1.52	26.6_22.1_16.3	0.54_0.47_0.58	1.77_1.32_0.89	7.723_6.233_15.577	0.845041758_1.129791966_1.757164236	37.943	NA_3.9_8.2	NA	NA	NA	NA	NA	NA	NA	1000
QC2	52.399_52.398	-129.051_-129.052	E378_E380	NA	Line1	day	oversat_arg	benthic_surface	upper100	wayNorth	near	shelf	35_3.6	10_41.4	2	10.7_10.8	9.569_12.933	31.86_30.422	258_306.3	2007.5_1867.6	2148.7_2060.7	7.7716_7.9227	NA	16_12	1.06_0.53	8.1_1.6	0.21_0.08	1.27_0.05	4.251_4.909	1.603220473_2.12667211	52.399_52.398	NA_4.5	47200_308000	3560_53800	176_2390	67.1_87.7	3030000_5040000	1920000_2940000	1420000_3040000	1000
