x	MP_E446_1B_PCR2	MP_E446_1B_PCR3	MP_E446_2B_PCR2	MP_E446_2B_PCR3	MP_E446_3B_PCR2	MP_E446_3B_PCR3	MP_E449_1B_PCR2	MP_E449_1B_PCR3	MP_E449_2B_PCR2	MP_E449_2B_PCR3	MP_E449_3B_PCR2	MP_E449_3B_PCR3	MP_E475_PCR2	MP_E475_PCR3	MP_E486_PCR2	MP_E486_PCR3	MP_E492_1B_PCR2	MP_E492_1B_PCR3	MP_E573_1B_PCR2	MP_E573_1B_PCR3	MP_E573_2B_PCR2	MP_E573_2B_PCR3	MP_E573_3B_PCR2	MP_E573_3B_PCR3	MP_E598_1B_PCR2	MP_E598_1B_PCR3	MP_E598_2B_PCR2	MP_E598_2B_PCR3	MP_E598_3B_PCR2	MP_E598_3B_PCR3
ASV_19	1.87857565336641	2.06998521439133	1.05065129378631	1.37463804607831	0.906610384915869	1.96794852876074	0	0.000739177517176638	0.00204265054334504	0.00533293040081416	0.000449634222559947	0.0048571787077476	0	0	3.94524137185027	5.13140694203266	3.37661504235475	4.64526637675369	2.19087663475288	1.80661818871392	1.5495433241197	1.43746771392196	2.13040863595496	2.16851116000569	3.43886532819126	5.20465424816681	2.64526043880587	7.81205544039345	6.13154437980859	6.17052023121387
ASV_194	0	0	0	0.118815309077175	0	0	0.0018740717488369	0	0.00306397581501757	0.00133323260020354	0	0	0	0	0	0	0	0	0	0	0	0	0.0774044501604654	0	0	0	0	0	0	0
ASV_200	0	0	0	0	0	0	0	0	0	0	0	0	0.0190837918097951	0.0142741390385108	0	0.0910515807204782	0	0	0	0	0.0799933902175219	0	0	0	0	0	0	0	0	0
ASV_201	0	0	0.0583083964090829	0.123536447186202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_202	0	0	0	0	0	0	0	0	0.0102132527167252	0	0	0	0	0	0	0	0	0	0	0.305600735192222	0	0	0	0	0	0	0	0	0	0
ASV_203	0	0	0	0.163272692937177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0931378440091335	0.0671143669488182	0	0	0	0	0	0	0	0
ASV_206	0	0	0	0	0.267610396576453	0	0.00702776905813839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_207	0.032452407497553	0	0	0.0369822485207101	0.0483914224746091	0.0968037068736535	0	0	0	0	0	0.0004047648923123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_208	0	0	0.0330047526843866	0	0.151587588474679	0.049582386447481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_21	0.0497254631010893	0.240950659876239	0.0313545150501672	0.216385496663729	0.941592136102333	0.782103119558481	0	0	0.00868126480921644	0.00799939560122124	0.00359707378047958	0.00728576806162141	0.113571834185122	0.0961405247005579	0.431482605481872	0.649067696850266	0.635321297167793	0.92352136699602	1.4503252933322	0.597343680483126	0.427382526138685	0.157006943286326	0.797265836652793	1.07932963340011	0.853310100065344	0.708177205658246	4.83356766831246	10.8482705361135	0.941389879276913	1.1952931461602
ASV_210	0.100497778056938	0	0	0	0	0	0.0192092354255783	0.0513728374437763	0.0158305417109241	0.0355528693387611	0.0184350031249578	0.0287383073541733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_214	0	0	0.188127090301003	0.0613747954173486	0	0.0259717262343948	0.00234258968604613	0.0291975119284772	0	0	0.0094423186737589	0.0510003764313499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_217	0.0533894445927485	0	0.00935134659390952	0.000393428175752235	0.0326496344407001	0.0371867898356108	0.0346703273534827	0	0.00970259008088896	0.00399969780061062	0.008543050228639	0.00566670849237221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_218	0.191050463493659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.64542732667587	0	0	0	0
ASV_222	0	0	0.0489570498151734	0	0.0658822980678413	0.0920815748310362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_226	0	0.0492853622474125	0	0.0483916656175249	0	0.0354159903196293	0	0	0	0	0	0	0	0	0	0	0.0759390776075982	0	0	0.117426535479589	0	0	0	0	0	0	0	0	0	0
ASV_227	0	0	0	0.227794913760544	0	0.234926069120208	0.0730887982046393	0.0236536805496524	0.0653648173870414	0.125768275285867	0.0215824426828775	0.00809529784624601	0.469647461855689	0.471046588270856	0.220548908373046	0.0995063703588083	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0787245422258012	0	0.23209549071618	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_23	0.00680453705593853	0	4.32692307692308	4.34698791388644	0.0122436129152625	0.0112150636012159	0.0112444304930214	0.0125660177920028	0.136346923768282	0.105769786282814	0.0638480596035125	0.0429050785851038	0.0195492501466194	0.00881637999437431	0.588931689933475	0.795400594436748	0	0	0	0	0	0	0	0	0	0	0	0	0	0
