ASV	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_809	Eukaryota	Echinodermata	Holothuroidea	Elasipodida	Elpidiidae	zzOther	zzOther
ASV_81	Eukaryota	Hemichordata	Enteropneusta	Harrimaniidae__o	Harrimaniidae	Saccoglossus	NA
ASV_810	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Acartiidae	Acartia	Acartia longiremis
ASV_811	Eukaryota	Arthropoda	Branchiopoda	Diplostraca	NA	NA	NA
ASV_812	Eukaryota	zzOther	zzOther	zzOther	zzOther	NA	NA
ASV_813	Eukaryota	Chordata	Chondrichthyes	Chimaeriformes	NA	NA	NA
ASV_814	Eukaryota	Bryozoa	Gymnolaemata	Cheilostomatida	zzOther	zzOther	zzOther
ASV_815	Eukaryota	Arthropoda	Malacostraca	Euphausiacea	Euphausiidae	Thysanoessa	NA
ASV_816	Eukaryota	Bryozoa	Gymnolaemata	Cheilostomatida	zzOther	NA	NA
ASV_817	Eukaryota	Nemertea	zzOther	zzOther	zzOther	zzOther	zzOther
ASV_818	Eukaryota	Chaetognatha	Sagittoidea	Aphragmophora	Sagittidae	NA	NA
ASV_819	Eukaryota	Mollusca	Bivalvia	Mytilida	Mytilidae	Mytilus	NA
ASV_82	Eukaryota	Echinodermata	Asteroidea	Forcipulatida	Zoroasteridae	Myxoderma	Myxoderma platyacanthum
ASV_820	Eukaryota	Mollusca	Bivalvia	Cardiida	Tellinidae	Macoma	zzOther
ASV_821	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_822	Eukaryota	Echinodermata	Echinoidea	NA	NA	NA	NA
ASV_823	Eukaryota	Chordata	Actinopteri	NA	NA	NA	NA
ASV_824	Eukaryota	Porifera	Demospongiae	Poecilosclerida	zzOther	zzOther	NA
ASV_826	Eukaryota	Chaetognatha	Sagittoidea	Aphragmophora	NA	NA	NA
ASV_827	Eukaryota	zzOther	zzOther	zzOther	NA	NA	NA
ASV_828	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_829	Eukaryota	Chaetognatha	Sagittoidea	Aphragmophora	NA	NA	NA
ASV_83	Eukaryota	Arthropoda	Branchiopoda	Diplostraca	Podonidae	NA	NA
ASV_830	Eukaryota	Bryozoa	Gymnolaemata	Cheilostomatida	zzOther	NA	NA
