x	E370	E378	E384	E388	E392	E396	E400	E404	E408	E411	E423	E427	E431	E435	E438	E442	E446	E449	E451	E455	E458	E467	E471	E472	E475	E486	E492	E499	E501	E506	E516	E520	E524	E528	E529	E532	E536	E540	E543	E552	E555	E560	E561	E562	E565	E566	E569	E570	E573	E579	E583	E588	E590	E594	E598	E601	E604	E607	E632	E635	E638	E655	E658	E661	E675	E685	E688	E691	E694	E707	E713	E716	E721	E725	E750	E758	E761	E768	E773	E811	E824	E829	E840	E846	E852	E856	E860	E872	E875
ASV_103	0	0	0	0	0.765937305019471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.509839235108722	3.397569718796	0	0	0	0	0	0	0	0	0	0.333366837538111	0	0	0	0	0	0	0.890780686594551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.424113307294749	0	0	0	0	0	0	0	0	0
ASV_1030	0	0	0.411820220863107	0	0	0	0	2.34077840564885	0.0360676009892828	7.65938704349422	0.00857638591097711	0.133802193913659	0.600913388350292	0.223942286014879	0	0	0.399697909141482	0.0172115947033393	0	0	0	0	0	0.000643944028385053	0	1.48083835736484	2.73090119739514	0.112814845512732	0.317322466430623	0	0	0	7.35907559838497	4.60212596860719	4.52667991842425	1.69746737538467	1.07853624304198	0.00137006946252175	0	0	1.28556983966489	0.104119435068097	0.00734654895862669	0	0	0	0.092320743888949	0.555511624229005	0.242634957299374	0	0	0	0	0.0374948737477298	0.208320635665613	0.146060494446526	1.87874828290951	0.30403643348726	0.00593781915777973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000873309055341595	0	0
ASV_1033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0637504588101202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.467869760336102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1039	0	0	0.0428979396732403	0	0	0	0.00909793931674476	0.205575362736238	0	0	0	0	0	0	0	0.085615152379951	0.00111419371371907	0	0	0	0.396970361169967	0	0	0	0	0	0	0	0	0	0	0	0.107073546142006	0	0	0	0	0	0	0	0	0	0.291413108692192	0	0	0.20128717853643	0.103964801676744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0774931347101531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0141852019972764	0.088990516324572	0	0	0	0	8.01553739882513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0664483689323049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1042	0	0	0.220617975462379	0	0	0	0	0	0.112324814509481	0	0.00791666391782503	0	0	0	0	0	0	0.00997037760104477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0280864239816959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.277466777004332	0	0	0.0659931443652405	0	0	0	0	0	0.0206548410816527	0	0	0	0	0	0	0	0	0	0	0.0200080032012805	0	0	0	0	0	0	0	0	0.0447392210763242
ASV_1043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.722230247002745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.681273471852649	0	0.0163129822968679	0.50258697618318	0.00123493380754792	0	0.00192553321223869	0.293935973077169	0.187520330648093	0.0300808422635834	0	0.00272719834913593	0.00926451343933481	0.0151077370498366	0	0.00359738110655443	0.000518260923644618	0	0	0.0535661676085384	0	0	0	0.926465619515595	0.16742615722377
