x	MP_E370	MP_E378	MP_E384_3B	MP_E388_1B	MP_E392	MP_E396	MP_E400	MP_E404	MP_E408	MP_E411_1T	MP_E423	MP_E427	MP_E431	MP_E435	MP_E438	MP_E442	MP_E446_1B_PCR1	MP_E446_2B_PCR1	MP_E446_3B_PCR1	MP_E449_1B_PCR1	MP_E449_2B_PCR1	MP_E449_3B_PCR1	MP_E451	MP_E455	MP_E458_1B	MP_E467	MP_E471	MP_E472	MP_E475_PCR1	MP_E486_PCR1	MP_E492_1B_PCR1	MP_E499	MP_E501	MP_E506	MP_E516	MP_E520_1B	MP_E524	MP_E528	MP_E529	MP_E532	MP_E536	MP_E540	MP_E543	MP_E552	MP_E555	MP_E560	MP_E561	MP_E562	MP_E565	MP_E566	MP_E569	MP_E570	MP_E573_1B_PCR1	MP_E573_2B_PCR1	MP_E573_3B_PCR1	MP_E579	MP_E583	MP_E588	MP_E590	MP_E594	MP_E598_1B_PCR1	MP_E598_2B_PCR1	MP_E598_3B_PCR1	MP_E601	MP_E604	MP_E607	MP_E632	MP_E635	MP_E638	MP_E655	MP_E658_1B	MP_E658_2T	MP_E658_3T	MP_E661	MP_E675_1B	MP_E685	MP_E688	MP_E691_1B	MP_E691_2B	MP_E691_3B	MP_E694_1B	MP_E694_2B	MP_E694_3B	MP_E707	MP_E713	MP_E716	MP_E721	MP_E725_1B	MP_E750	MP_E758	MP_E761	MP_E768_1B	MP_E773	MP_E811_1B	MP_E811_2B	MP_E811_3B	MP_E824	MP_E829	MP_E840	MP_E846	MP_E852	MP_E856	MP_E860_1B	MP_E860_2B	MP_E860_3B	MP_E872_1B	MP_E872_2B	MP_E872_3B	MP_E875
ASV_21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	98	0	0	47822	0	0	0	0	0	0	0	5232	68061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_22	42	396	3492	5	248	13	0	2529	3559	2466	226	849	1877	3893	912	796	4599	5373	5153	302	376	354	0	8	0	0	0	0	0	2031	893	640	1153	0	4	11	0	561	609	1408	2407	85	0	0	0	1413	1743	2373	1263	1071	632	743	3890	2321	2377	399	16	95	1697	897	1085	1777	4023	479	2220	1671	446	379	0	1557	2987	2216	2444	2231	729	776	121	1872	1633	1667	701	266	470	0	5	39	5468	2943	288	192	230	155	255	94	379	435	0	457	209	5	411	3	225	268	294	101	73	90	27
ASV_23	0	376	674	0	0	0	0	2318	4405	2935	130	5222	3170	4932	2704	90	0	174	563	0	7	85	0	30147	0	1	0	0	125	846	440	0	341	0	0	0	0	1468	776	1217	919	6	0	0	0	0	428	0	0	288	0	44	720	775	131	0	106	0	134	0	0	3882	50	789	192	598	22	21	0	1301	1299	256	3645	383	0	0	0	0	0	97	0	0	0	0	0	0	0	373	61	0	0	0	361	0	448	105	0	29932	0	134	0	0	0	0	0	0	0	0	0
ASV_24	0	579	0	0	0	0	0	432	302	134	51012	0	0	0	0	0	105	0	105	28001	37	11	0	0	0	0	0	1759	0	0	0	0	0	0	0	0	0	316	0	152	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5827	0	1422	0	4624	0	181	0	0	0	30	3573	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_25	0	0	0	0	0	0	0	0	2934	0	0	0	0	546	0	0	4059	879	10	0	0	0	0	0	0	0	0	29	0	10214	0	0	0	0	0	0	0	0	0	0	1504	187	30	0	0	0	0	0	0	0	0	0	5203	10895	11284	0	0	0	0	0	0	0	0	0	11571	0	770	561	0	0	1090	0	0	0	2475	1505	2	3977	4379	2992	3536	1015	0	0	0	33	10336	1332	0	4719	0	0	65	0	0	675	0	0	0	0	0	5	0	0	0	0	0	0	0
ASV_26	0	0	737	0	0	0	0	829	0	1398	0	7251	1159	3715	1088	765	254	133	0	0	0	0	0	0	0	0	0	0	533	0	5688	793	406	0	0	0	0	0	0	560	0	0	3741	0	0	1689	0	307	4273	275	1823	0	0	0	0	0	0	0	2973	2336	283	0	0	0	0	345	277	0	0	0	955	1010	234	5206	2273	1005	0	0	0	0	8605	5366	5637	0	0	0	0	328	6966	0	1970	0	0	0	0	518	0	247	513	0	417	0	0	0	0	0	0	0	0
ASV_27	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	33113	18562	23050	6220	314	417	0	0	0	33	0	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1502	59585	19613	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_29	0	0	0	0	0	0	0	0	0	24841	555	0	0	0	0	0	0	627	1891	713	1031	1011	0	535	0	145	101	91	38	0	2619	0	0	0	0	0	0	0	0	2554	0	0	144	0	0	0	0	0	0	0	0	0	0	0	0	297	0	0	0	0	0	0	0	0	5828	30855	0	0	235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65762	2718	552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
